uniprot_id,enzyme_name,organism,pdb_id,ligand_ccd,ligand_name,original_class,final_class,confidence,audit_date,audit_method,notes
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5ESG,1YN,"2-[(2R)-butan-2-yl]-4-{4-[4-(4-{[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazin-1-yl]phenyl}-2,4-dihydro-3H-1,2,4-triazol-3-one",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAD,5L9,"(2~{S})-2-(1-chloranylcyclopropyl)-1-(2-chlorophenyl)-3-(1,2,4-triazol-1-yl)propan-2-ol",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5ESM,TPF,"2-(2,4-DIFLUOROPHENYL)-1,3-DI(1H-1,2,4-TRIAZOL-1-YL)PROPAN-2-OL",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,4ZE1,X2N,POSACONAZOLE,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5HS1,VOR,Voriconazole,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAE,5L8,"(2~{R})-2-(1-chloranylcyclopropyl)-1-(2-chlorophenyl)-3-(1,2,4-triazol-1-yl)propan-2-ol",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5UL0,VT1,"(R)-2-(2,4-Difluorophenyl)-1,1-difluoro-3-(1H-tetrazol-1-yl)-1-(5-(4-(2,2,2-trifluoroethoxy)phenyl)pyridin-2-yl)propan-2-ol",product,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal) | CORRECTED from PRODUCT
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAC,TBQ,"(3~{R})-1-(4-chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl)pentan-3-ol",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAG,5LU,Prochloraz,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAH,5LZ,"1-[[(2~{S},4~{R})-2-[2-chloranyl-4-(4-chloranylphenoxy)phenyl]-4-methyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAH,5LY,"1-[[(2~{R},4~{R})-2-[2-chloranyl-4-(4-chloranylphenoxy)phenyl]-4-methyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAH,5LX,"1-[[(2~{R},4~{S})-2-[2-chloranyl-4-(4-chloranylphenoxy)phenyl]-4-methyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAH,5LW,"1-[[(2~{S},4~{S})-2-[2-chloranyl-4-(4-chloranylphenoxy)phenyl]-4-methyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAB,TBX,"(3~{S})-1-(4-chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl)pentan-3-ol",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
A6ZSR0,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,5EAF,FQC,"3-(2,4-dichlorophenyl)-6-fluoranyl-2-(1,2,4-triazol-1-yl)quinazolin-4-one",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB+Gemini web search,Type-II Fe-coordinator (azole/tetrazole antifungal)
