uniprot_id,enzyme_name,organism,pdb_id,ligand_ccd,ligand_name,original_class,final_class,confidence,audit_date,audit_method,notes
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,2XC3,RT8,NALPHA-[(TRANS-4-METHYLCYCLOHEXYL)CARBONYL]-N-PYRIDIN-4-YL-D-TRYPTOPHANAMIDE,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,2X5W,K2B,"(8ALPHA,9BETA)-CHOLEST-4-EN-3-ONE",substrate,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7ZQR,JK9,4-(4-methoxyphenyl)pyridine,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7YXF,I6Y,1-(2-piperazin-1-ylethyl)-5-pyridin-4-yl-indole,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7R3U,2QC,"1-[4-(1,2,3-thiadiazol-4-yl)phenyl]methanamine",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7ZLZ,JFC,ethyl 1-(2-morpholin-4-ylethyl)-5-pyridin-4-yl-indole-2-carboxylate,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7ZLT,JFI,~{N}-(2-morpholin-4-ylethyl)-4-(pyridin-4-ylmethyl)benzamide,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7ZIC,5YG,~{N}-[(4-methoxyphenyl)methyl]-4-(pyridin-4-ylmethyl)aniline,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7QWN,DQE,ethyl 5-pyridin-4-yl-1~{H}-indole-2-carboxylate,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7ZT0,JUR,1-(2-piperazin-1-ylethyl)-5-pyridin-4-yl-indole-2-carboxamide,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,3IW1,ASD,4-ANDROSTENE-3-17-DIONE,unknown,SUBSTRATE,medium,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7ZXD,KB9,1-[1-(2-piperidin-4-ylethyl)-5-pyridin-4-yl-indol-2-yl]butan-1-one,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,8S4M,A1H47,~{N}-(1~{H}-indol-5-ylmethyl)-3-(pyridin-4-ylamino)benzamide,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,3IW2,EKO,"4-[(2R)-2-[(4-chlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethyl]-1H-imidazole",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7ZSU,JV3,methyl 3-pyridin-4-ylbenzoate,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7R1I,HIH,ethyl 1-(2-piperidin-4-ylethyl)-5-pyridin-4-yl-indole-2-carboxylate,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7QKE,E1V,ethyl 1-(cyclohexylmethyl)-5-pyridin-4-yl-indole-2-carboxylate,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7QNN,E93,ethyl 1-(cyclopentylmethyl)-5-pyridin-4-yl-indole-2-carboxylate,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
P9WPP1,CYP125 (CYP125A1),Mycobacterium tuberculosis H37Rv,7ZGL,EIQ,~{N}-[4-(pyridin-4-ylmethyl)phenyl]benzenesulfonamide,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,
