uniprot_id,enzyme_name,organism,pdb_id,ligand_ccd,ligand_name,original_class,final_class,confidence,audit_date,audit_method,notes
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,4C27,26N,Nalpha-(2-fluoro-4-{4-[4-(trifluoromethyl)phenyl]piperazin-1-yl}benzoyl)-N-pyridin-4-yl-D-tryptophanamide,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,4C28,TW5,(R)-N-(3-(1H-indol-3-yl)-1-oxo-1-(pyridin-4-ylamino)propan-2-yl)-4-(4-(4-chlorophenyl)piperazin-1-yl)-2-fluorobenzamide,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,4C0C,WVH,"4-[4-[2,4-bis(fluoranyl)phenyl]piperazin-1-yl]-2-fluoranyl-N-[(2R)-3-(1H-indol-3-yl)-1-oxidanylidene-1-(pyridin-4-ylamino)propan-2-yl]benzamide",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,4COH,T9H,2-fluoranyl-N-[(2R)-3-(1H-indol-3-yl)-1-oxidanylidene-1-(pyridin-4-ylamino)propan-2-yl]-4-(4-thiophen-2-ylsulfonylpiperazin-1-yl)benzamide,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,2WX2,TPF,"2-(2,4-DIFLUOROPHENYL)-1,3-DI(1H-1,2,4-TRIAZOL-1-YL)PROPAN-2-OL",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,4UQH,25S,"(R)-N-(3-(1H-indol-3-yl)-1-oxo-1-(pyridin-4-ylamino)propan-2-yl)-4-(4-(3,4-difluorophenyl)piperazin-1-yl)-2-fluorobenzamide",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,4UVR,J5Y,Nalpha-{4-[4-(5-chloro-2-methylphenyl)piperazin-1-yl]-2-fluorobenzoyl}-N-pyridin-4-yl-D-tryptophanamide,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,4CK8,LFD,"(1R)-1-(2,4-dichlorophenyl)-2-(1H-imidazol-1-yl)ethyl {4-[4-(3,4-dichlorophenyl)piperazin-1-yl]phenyl}carbamate",unknown,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,4CKA,LFS,(1S)-1-(4-fluorophenyl)-2-(1H-imidazol-1-yl)ethyl 4-isopropylphenylcarbamate,unknown,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
Q7Z1V1,CYP51 (T. cruzi),Trypanosoma cruzi,4CK9,LFT,(1S)-1-(4-chlorophenyl)-2-(1H-imidazol-1-yl)ethyl [4-(propan-2-yl)phenyl]carbamate,unknown,INHIBITOR,high,2026-01-25,Codex PDB analysis,CYP51 inhibitor for Chagas disease
