uniprot_id,enzyme_name,organism,pdb_id,ligand_ccd,ligand_name,original_class,final_class,confidence,audit_date,audit_method,notes
P18326,CYP105A1 (vitamin D hydroxylase),Streptomyces griseolus,9JHW,DIF,"2-[2,6-DICHLOROPHENYL)AMINO]BENZENEACETIC ACID",unknown,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini web,Diclofenac (NSAID)
P18326,CYP105A1 (vitamin D hydroxylase),Streptomyces griseolus,9JI1,FLF,2-[[3-(TRIFLUOROMETHYL)PHENYL]AMINO] BENZOIC ACID,unknown,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini web,Flufenamic acid
P18326,CYP105A1 (vitamin D hydroxylase),Streptomyces griseolus,3CV9,VDX,"5-{2-[1-(5-HYDROXY-1,5-DIMETHYL-HEXYL)-7A-METHYL-OCTAHYDRO-INDEN-4-YLIDENE]-ETHYLIDENE}-4-METHYLENE-CYCLOHEXANE-1,3-DIOL",product,PRODUCT,high,2026-01-25,Codex PDB + Gemini web,"1,25-dihydroxy vitamin D3"
P18326,CYP105A1 (vitamin D hydroxylase),Streptomyces griseolus,9KW2,KTN,"CIS-1-ACETYL-4-(4-((2-(2,4-DICHLOROPHENYL)-2-(1H-IMIDAZOL-1-YLMETHYL)-1,3-DIOXOLAN-4-YL)METHOXY)PHENYL)PIPERAZINE",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,"Ketoconazole, Fe-N=2.09A"
P18326,CYP105A1 (vitamin D hydroxylase),Streptomyces griseolus,9KW3,A1L6Q,"(2~{E})-2-[(4~{R})-4-(2-chlorophenyl)-1,3-dithiolan-2-ylidene]-2-imidazol-1-yl-ethanenitrile",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,"Lanoconazole, Fe-N=2.09A"
P18326,CYP105A1 (vitamin D hydroxylase),Streptomyces griseolus,9KW4,A1L6X,"1-[(2S)-2-(2,4-dichlorophenyl)-2-[(2,4-dichlorophenyl)methoxy]ethyl]imidazole",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,"Miconazole, Fe-N=2.10A"
P18326,CYP105A1 (vitamin D hydroxylase),Streptomyces griseolus,5X7E,7ZU,"(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5S)-5,6-dimethyl-6-oxidanyl-hept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydr o-1H-inden-4-ylidene]ethylidene]-4-methylidene-cyclohexane-1,3-diol",unknown,PRODUCT,high,2026-01-25,Codex PDB + Gemini web,"1,25-dihydroxyvitamin D2"
P18326,CYP105A1 (vitamin D hydroxylase),Streptomyces griseolus,9JKW,114,"(3R,5R)-3,5-dihydroxy-7-[(1S,2S,8S,8aR)-2-methyl-8-{[(2S)-2-methylbutanoyl]oxy}-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]h eptanoic acid",product,SUBSTRATE,medium,2026-01-25,Codex PDB + Gemini web,Mevastatin acid
P18326,CYP105A1 (vitamin D hydroxylase),Streptomyces griseolus,9JKZ,SIM,Simvastatin acid,unknown,SUBSTRATE,medium,2026-01-25,Codex PDB + Gemini web,Simvastatin acid
P10614,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,8VK6,A1AB6,"N-[(2S)-2-(2,4-difluorophenyl)-2-hydroxy-3-(1H-1,2,4-triazol-1-yl)propyl]-4'-(trifluoromethoxy)[1,1'-biphenyl]-4-carboxamide",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,"Azole, Fe-N=2.01A"
P10614,CYP51 (S. cerevisiae),Saccharomyces cerevisiae,4LXJ,OXY,OXYGEN MOLECULE,unknown,EXCLUDE,high,2026-01-25,Codex PDB + Gemini web,O2 cofactor
P10614,CYP51 (S. cerevisiae),Saccharomyces cerevisiae,4LXJ,LAN,LANOSTEROL,unknown,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini web,Lanosterol (native CYP51 substrate)
P10614,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,8DL4,SKX,"7-(diethylamino)-N-[(2S)-2-(2,4-difluorophenyl)-2-hydroxy-3-(1H-1,2,4-triazol-1-yl)propyl]-2-oxo-2H-1-benzopyran-3-carboxamide",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,"Azole, Fe-N=2.00A"
P10614,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,8DL4,BGC,beta-D-glucopyranose,inhibitor,EXCLUDE,high,2026-01-25,Codex PDB + Gemini web,Glucose crystallization additive
P10614,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,7RY8,VOR,Voriconazole,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,"Voriconazole, Fe-N=2.19A"
P10614,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,7RYX,81H,"(2R)-2-(2,4-difluorophenyl)-1,1-difluoro-3-(1H-tetrazol-1-yl)-1-{5-[4-(trifluoromethoxy)phenyl]pyridin-2-yl}propan-2-ol",product,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,"VT-1129 (quilseconazole), Fe-N=2.14A"
P10614,CYP51 (S. cerevisiae),Saccharomyces cerevisiae YJM789,7RYA,1YN,"2-[(2R)-butan-2-yl]-4-{4-[4-(4-{[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazin-1-yl]phenyl}-2,4-dihydro-3H-1,2,4-triazol-3-one",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,"Itraconazole, Fe-N=2.17A"
Q9FCA6,CYP158A2 (biflaviolin synthase),Streptomyces coelicolor A3(2),1S1F,PIM,4-PHENYL-1H-IMIDAZOLE,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,"Phenyl-imidazole, Fe-N=2.25A"
Q9FCA6,CYP158A2 (biflaviolin synthase),Streptomyces coelicolor A3(2),1S1F,HG,MERCURY (II) ION,unknown,EXCLUDE,high,2026-01-25,Codex PDB + Gemini web,Mercury ion (crystallography)
Q9FCA6,CYP158A2 (biflaviolin synthase),Streptomyces coelicolor A3(2),1S1F,MLA,MALONIC ACID,unknown,EXCLUDE,high,2026-01-25,Codex PDB + Gemini web,Malonic acid artifact
