uniprot_id,enzyme_name,organism,pdb_id,ligand_ccd,ligand_name,original_class,final_class,confidence,audit_date,audit_method,notes
A0A076MY51,GcoA (lignin O-demethylase),Amycolatopsis sp. ATCC 39116,5NCB,JZ3,Guaiacol,unknown,SUBSTRATE,high,2026-01-25,Codex PDB deep analysis,Guaiacol
A0A076MY51,GcoA (lignin O-demethylase),Amycolatopsis sp. ATCC 39116,5OMU,3DM,"2,6-dimethoxyphenol",unknown,SUBSTRATE,high,2026-01-25,Codex PDB deep analysis,Syringol
A0A368UNN3,CYP153A (fatty acid hydroxylase),Marinobacter nauticus,8HGE,12H,12-HYDROXYDODECANOIC ACID,unknown,PRODUCT,high,2026-01-25,Codex PDB deep analysis,12-hydroxydodecanoic acid
A0A368UNN3,CYP153A (fatty acid hydroxylase),Marinobacter nauticus,9IXL,DAO,LAURIC ACID,substrate,SUBSTRATE,high,2026-01-25,Codex PDB deep analysis,Lauric acid
P24462,CYP3A7 (human steroid metabolism),Homo sapiens,7MK8,DTV,"(2S,3S)-1,4-DIMERCAPTOBUTANE-2,3-DIOL",unknown,EXCLUDE,high,2026-01-25,Codex PDB deep analysis,Dithiothreitol (artifact)
P24462,CYP3A7 (human steroid metabolism),Homo sapiens,8GK3,ZWY,17-oxoandrost-5-en-3beta-yl hydrogen sulfate,unknown,SUBSTRATE,high,2026-01-25,Codex PDB deep analysis,DHEA sulfate
C0XPZ5,OleT-like (fatty acid decarboxylase),Corynebacterium lipophiloflavum,8W1K,OLA,OLEIC ACID,substrate,SUBSTRATE,high,2026-01-25,Codex PDB deep analysis,Oleic acid
C0XPZ5,OleT-like (fatty acid decarboxylase),Corynebacterium lipophiloflavum,8W1J,PLM,PALMITIC ACID,substrate,SUBSTRATE,high,2026-01-25,Codex PDB deep analysis,Palmitic acid
Q82GL5,CYP154C2 (steroid hydroxylase),Streptomyces avermitilis MA-4680 = NBRC 14893,7CL8,TES,TESTOSTERONE,substrate,SUBSTRATE,high,2026-01-25,Codex PDB deep analysis,Testosterone
Q82GL5,CYP154C2 (steroid hydroxylase),Streptomyces avermitilis MA-4680 = NBRC 14893,7CL9,ASD,4-ANDROSTENE-3-17-DIONE,unknown,SUBSTRATE,high,2026-01-25,Codex PDB deep analysis,Androstenedione
