uniprot_id,enzyme_name,organism,pdb_id,ligand_ccd,ligand_name,original_class,final_class,confidence,audit_date,audit_method,notes
O53937,P450_O53937,Mycobacterium tuberculosis H37Rv,8AMQ,F3S,FE3-S4 CLUSTER,unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Fe3-S4 cluster
P9WPL3,P450_P9WPL3,Mycobacterium tuberculosis H37Rv,8AMQ,F3S,FE3-S4 CLUSTER,unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Fe3-S4 cluster
C7SFP5,P450_C7SFP5,Rhodococcus sp. ECU0066,6KBH,FES,FE2/S2 (INORGANIC) CLUSTER,unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Fe2-S2 cluster
D5DF35,P450_D5DF35,Priestia megaterium DSM 319,7ZZL,OXY,OXYGEN MOLECULE,unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Molecular oxygen
A0A4V8GZW5,P450_A0A4V8,Arthrobacter,6G71,PP9,PROTOPORPHYRIN IX,unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Protoporphyrin IX
Q746J6,P450_Q746J6,Thermus thermophilus HB27,1N97,SRT,"S,R MESO-TARTARIC ACID",unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Tartaric acid buffer
G3LGZ6,P450_G3LGZ6,Pseudomonas sp. 19-rlim,6HQD,SRT,"S,R MESO-TARTARIC ACID",unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Tartaric acid buffer
G0LWB2,P450_G0LWB2,Streptomyces himastatinicus ATCC 53653,5Z9J,TAM,TRIS(HYDROXYETHYL)AMINOMETHANE,unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Tris buffer
Q8GGM6,P450_Q8GGM6,Streptomyces atroolivaceus,4Z5Q,P33,"3,6,9,12,15,18-HEXAOXAICOSANE-1,20-DIOL",unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,PEG additive
F4F6Q5,P450_F4F6Q5,Micromonospora maris AB-18-032,7QAN,P33,"3,6,9,12,15,18-HEXAOXAICOSANE-1,20-DIOL",unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,PEG additive
A0A1H9KM06,P450_A0A1H9,Actinokineospora terrae,9CJG,1BO,1-BUTANOL,unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,1-Butanol solvent
G0L713,P450_G0L713,Zobellia galactanivorans,6G5Q,EMZ,6-O-methyl-beta-D-galactopyranose,unknown,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Sugar additive
B2HH81,P450_B2HH81,Mycobacterium marinum,7TEF,BTB,"2-[BIS-(2-HYDROXY-ETHYL)-AMINO]-2-HYDROXYMETHYL-PROPANE-1,3-DIOL",product,EXCLUDE,high,2026-01-25,Codex PDB batch analysis,Bis-Tris buffer (NOT product)
Q9KZR7,P450_Q9KZR7,Streptomyces coelicolor A3(2),1ODO,PIM,4-PHENYL-1H-IMIDAZOLE,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB batch analysis,"4-phenylimidazole, Fe-N=2.29A"
P05177,P450_P05177,Homo sapiens,2HI4,BHF,2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE,unknown,INHIBITOR,high,2026-01-25,Codex PDB batch analysis,Alpha-naphthoflavone (CYP1A2)
Q16678,P450_Q16678,Homo sapiens,3PM0,BHF,2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE,unknown,INHIBITOR,high,2026-01-25,Codex PDB batch analysis,Alpha-naphthoflavone (CYP1B1)
F2YRY7,P450_F2YRY7,Streptomyces sp. Acta 2897,4PXH,KH4,"S-[2-({N-[(2R)-2-hydroxy-3,3-dimethyl-4-(phosphonooxy)butanoyl]-beta-alanyl}amino)ethyl] 1H-imidazole-4-carbothioate",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB batch analysis,"ACP phosphopantetheine, Fe-N=1.99A"
P15128,P450_P15128,Oryctolagus cuniculus,6C94,V16,N-(4-butyl-2-methylphenyl)-N'-hydroxyimidoformamide,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB batch analysis,"N-hydroxyimidoyl compound, Fe-N=2.01A"
P50859,P450_P50859,Nakaseomyces glabratus CBS 138,5JLC,1YN,"2-[(2R)-butan-2-yl]-4-{4-[4-(4-{[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazin-1-yl]phenyl}-2,4-dihydro-3H-1,2,4-triazol-3-one",unknown,INHIBITOR,high,2026-01-25,Codex PDB batch analysis,"Itraconazole analog, Fe-N=2.04A"
W5VH56,P450_W5VH56,Amycolatopsis orientalis,4OQR,2UO,"Mevastatin, Compactin",unknown,INHIBITOR,high,2026-01-25,Codex PDB batch analysis,Compactin/mevastatin
I3DZK9,P450_I3DZK9,Bacillus methanolicus,6FYJ,MYR,MYRISTIC ACID,unknown,SUBSTRATE,high,2026-01-25,Codex PDB batch analysis,Myristic acid
A9ERX9,P450_A9ERX9,Sorangium cellulosum So ce56,6GK6,MYR,MYRISTIC ACID,unknown,SUBSTRATE,high,2026-01-25,Codex PDB batch analysis,Myristic acid
A0A5P2W9N6,P450_A0A5P2,Streptomyces nodosus,8FZ8,OCA,OCTANOIC ACID (CAPRYLIC ACID),unknown,SUBSTRATE,high,2026-01-25,Codex PDB batch analysis,Octanoic acid
