Dock Index,Enzyme Index,Substrate Index,Label
0,19,0,1
1,19,1,1
2,131,2,1
3,131,4,1
4,246,5,1
5,246,7,1
6,246,8,1
7,246,9,1
8,246,10,1
9,200,11,1
10,133,12,1
11,181,13,1
12,181,14,1
13,181,15,1
14,242,17,1
15,146,18,1
16,47,19,1
17,209,20,1
18,143,21,1
19,143,22,1
20,97,23,1
21,259,24,1
22,175,25,1
23,36,26,1
24,216,27,1
25,157,28,1
26,118,39,1
27,24,40,1
28,19,46,1
29,19,47,1
30,44,48,1
31,114,49,1
32,26,50,1
33,27,51,1
34,27,52,1
35,27,53,1
36,291,54,1
37,291,55,1
38,291,56,1
39,290,50,1
40,178,15,1
41,178,58,1
42,10,1,1
43,10,59,1
44,99,60,1
45,230,60,1
46,230,61,1
47,63,75,1
48,248,12,1
49,102,75,1
50,104,76,1
51,103,77,1
52,13,78,1
53,225,60,1
54,203,79,1
55,132,25,1
56,132,80,1
57,115,12,1
58,35,81,1
59,198,48,1
60,6,82,1
61,177,83,1
62,177,24,1
63,177,84,1
64,170,24,1
65,31,86,1
66,30,23,1
67,168,93,1
68,22,94,1
69,45,39,1
70,25,12,1
71,14,24,1
72,33,98,1
73,174,25,1
74,92,99,1
75,137,102,1
76,137,103,1
77,127,104,1
78,127,105,1
79,139,106,1
80,139,107,1
81,139,108,1
82,139,109,1
83,70,113,1
84,70,115,1
85,69,117,1
86,72,119,1
87,72,120,1
88,288,124,1
89,285,133,1
90,235,134,1
91,285,135,1
92,285,136,1
93,285,138,1
94,285,139,1
95,84,142,1
96,84,143,1
97,263,99,1
98,262,145,1
99,263,146,1
100,77,75,1
101,245,0,1
102,244,1,1
103,18,46,1
104,20,152,1
105,189,153,1
106,76,157,1
107,76,158,1
108,76,159,1
109,76,160,1
110,66,161,1
111,66,162,1
112,66,164,1
113,65,169,1
114,74,170,1
115,74,172,1
116,74,175,1
117,75,176,1
118,75,151,1
119,74,125,1
120,85,178,1
121,60,179,1
122,85,180,1
123,59,185,1
124,9,186,1
125,9,187,1
126,273,25,1
127,272,98,1
128,267,191,1
129,274,192,1
130,7,160,1
131,220,193,1
132,167,24,1
133,220,205,1
134,220,206,1
135,95,207,1
136,17,209,1
137,120,5,1
138,121,214,1
139,119,215,1
140,122,217,1
141,16,218,1
142,16,219,1
143,277,220,1
144,207,120,1
145,207,225,1
146,206,226,1
147,206,227,1
148,67,124,1
149,67,177,1
150,67,233,1
151,67,234,1
152,67,136,1
153,68,235,1
154,67,236,1
155,93,241,1
156,129,242,1
157,112,243,1
158,111,245,1
159,265,246,1
160,265,247,1
161,265,248,1
162,142,60,1
163,154,60,1
164,151,273,1
165,152,60,1
166,151,274,1
167,151,275,1
168,151,276,1
169,204,17,1
170,264,287,1
171,204,301,1
172,204,302,1
173,204,303,1
174,204,304,1
175,204,305,1
176,204,306,1
177,204,307,1
178,204,308,1
179,204,309,1
180,264,313,1
181,264,314,1
182,5,259,1
183,247,326,1
184,149,327,1
185,149,328,1
186,149,329,1
187,73,331,1
188,73,125,1
189,73,332,1
190,160,333,1
191,130,134,1
192,135,134,1
193,163,329,1
194,163,334,1
195,163,335,1
196,279,336,1
197,279,337,1
198,279,338,1
199,279,339,1
200,279,340,1
201,279,341,1
202,163,342,1
203,163,343,1
204,163,344,1
205,163,345,1
206,163,346,1
207,163,347,1
208,163,350,1
209,279,351,1
210,278,352,1
211,163,353,1
212,163,354,1
213,163,356,1
214,163,328,1
215,163,357,1
216,164,358,1
217,162,359,1
218,280,360,1
219,163,361,1
220,163,362,1
221,163,363,1
222,163,364,1
223,163,365,1
224,163,366,1
225,163,367,1
226,163,368,1
227,279,370,1
228,162,374,1
229,163,375,1
230,163,376,1
231,163,377,1
232,163,327,1
233,161,380,1
234,12,381,1
235,105,386,1
236,144,390,1
237,144,391,1
238,208,392,1
239,34,326,1
240,23,24,1
241,256,393,1
242,166,394,1
243,172,395,1
244,172,75,1
245,172,259,1
246,171,396,1
247,134,24,1
248,196,153,1
249,234,327,1
250,2,120,1
251,96,80,1
252,145,24,1
253,243,259,1
254,147,412,1
255,281,413,1
256,156,414,1
257,156,415,1
258,109,416,1
259,109,417,1
260,180,418,1
261,21,421,1
262,183,425,1
263,210,426,1
264,214,427,1
265,228,428,1
266,229,430,1
267,141,432,1
268,217,433,1
269,32,434,1
270,113,435,1
