Dock Index,Enzyme Index,Substrate Index,Label
0,19,0,1
1,19,1,1
2,131,2,1
3,131,4,1
4,246,5,1
5,246,7,1
6,246,8,1
7,246,9,1
8,246,10,1
9,200,11,1
10,133,12,1
11,181,13,1
12,181,14,1
13,181,15,1
14,242,17,1
15,146,18,1
16,47,19,1
17,209,20,1
18,143,21,1
19,143,22,1
20,97,23,1
21,259,24,1
22,175,25,1
23,36,26,1
24,216,27,1
25,157,28,1
26,79,29,0
27,79,30,0
28,79,31,0
29,79,32,0
30,79,33,0
31,79,34,0
32,79,35,0
33,79,36,0
34,79,37,0
35,118,39,1
36,24,40,1
37,24,41,0
38,24,42,0
39,24,43,0
40,24,44,0
41,24,45,0
42,19,46,1
43,19,47,1
44,44,48,1
45,114,49,1
46,26,50,1
47,27,51,1
48,27,52,1
49,27,53,1
50,291,54,1
51,291,55,1
52,291,56,1
53,290,50,1
54,24,57,0
55,178,15,1
56,178,58,1
57,10,1,1
58,10,59,1
59,99,60,1
60,230,60,1
61,230,61,1
62,159,62,0
63,185,29,0
64,190,63,0
65,190,64,0
66,190,65,0
67,190,66,0
68,188,67,0
69,190,68,0
70,190,69,0
71,190,70,0
72,190,71,0
73,190,72,0
74,184,33,0
75,187,30,0
76,38,31,0
77,38,73,0
78,63,74,0
79,63,75,1
80,248,12,1
81,102,75,1
82,104,76,1
83,103,77,1
84,13,78,1
85,225,60,1
86,203,79,1
87,132,25,1
88,132,80,1
89,115,12,1
90,35,81,1
91,198,48,1
92,6,82,1
93,177,83,1
94,177,24,1
95,177,84,1
96,170,85,0
97,170,24,1
98,31,86,1
99,30,23,1
100,41,87,0
101,41,31,0
102,55,88,0
103,56,89,0
104,88,90,0
105,275,91,0
106,148,92,0
107,168,93,1
108,22,94,1
109,45,39,1
110,25,12,1
111,125,95,0
112,80,96,0
113,80,97,0
114,80,73,0
115,14,24,1
116,33,98,1
117,174,25,1
118,92,99,1
119,90,100,0
120,91,101,0
121,137,102,1
122,137,103,1
123,127,104,1
124,127,105,1
125,139,106,1
126,139,107,1
127,139,108,1
128,139,109,1
129,70,95,0
130,70,111,0
131,70,112,0
132,70,113,1
133,70,115,1
134,69,117,1
135,70,118,0
136,72,119,1
137,72,120,1
138,285,121,0
139,237,122,0
140,288,123,0
141,288,124,1
142,286,125,0
143,285,126,0
144,285,127,0
145,285,128,0
146,285,129,0
147,285,130,0
148,255,131,0
149,283,132,0
150,285,133,1
151,235,134,1
152,285,135,1
153,285,136,1
154,285,138,1
155,285,139,1
156,84,140,0
157,84,141,0
158,84,142,1
159,84,143,1
160,263,99,1
161,262,145,1
162,263,146,1
163,101,140,0
164,64,147,0
165,64,148,0
166,64,149,0
167,64,150,0
168,64,151,0
169,77,75,1
170,245,0,1
171,244,1,1
172,18,46,1
173,20,152,1
174,54,29,0
175,54,73,0
176,50,33,0
177,189,153,1
178,186,31,0
179,191,33,0
180,189,154,0
181,190,155,0
182,190,156,0
183,76,157,1
184,76,158,1
185,76,159,1
186,76,160,1
187,66,161,1
188,66,162,1
189,66,163,0
190,66,164,1
191,66,165,0
192,66,166,0
193,66,167,0
194,66,168,0
195,65,169,1
196,74,170,1
197,74,171,0
198,74,172,1
199,74,173,0
200,74,174,0
201,74,175,1
202,75,176,1
203,75,151,1
204,74,125,1
205,74,177,0
206,85,178,1
207,60,179,1
208,85,180,1
209,60,181,0
210,60,182,0
211,60,183,0
212,60,184,0
213,59,185,1
214,9,186,1
215,9,187,1
216,273,25,1
217,221,188,0
218,272,98,1
219,276,189,0
220,266,190,0
221,267,191,1
222,274,192,1
223,218,130,0
224,275,31,0
225,275,30,0
226,7,160,1
227,220,193,1
228,167,24,1
229,220,194,0
230,220,195,0
231,220,196,0
232,220,197,0
233,220,198,0
234,220,199,0
235,220,200,0
236,220,201,0
237,220,202,0
238,220,203,0
239,220,204,0
240,220,205,1
241,220,206,1
242,95,207,1
243,220,208,0
244,17,209,1
245,8,210,0
246,0,211,0
247,120,5,1
248,121,212,0
249,121,213,0
250,121,214,1
251,119,215,1
252,123,216,0
253,122,217,1
254,16,218,1
255,16,219,1
256,277,220,1
257,46,221,0
258,89,222,0
259,98,130,0
260,207,120,1
261,207,225,1
262,206,226,1
263,206,227,1
264,206,228,0
265,206,229,0
266,206,230,0
267,67,95,0
268,67,231,0
269,67,232,0
270,67,115,0
271,67,124,1
272,67,177,1
273,67,233,1
274,67,234,1
275,67,136,1
276,68,235,1
277,67,236,1
278,94,237,0
279,107,238,0
280,94,239,0
281,94,96,0
282,94,240,0
283,93,241,1
284,129,242,1
285,112,243,1
286,112,244,0
287,112,96,0
288,111,245,1
289,43,33,0
290,265,246,1
291,265,247,1
292,265,248,1
293,29,249,0
294,29,250,0
295,29,251,0
296,142,60,1
297,29,252,0
298,142,231,0
299,155,253,0
300,158,254,0
301,158,255,0
302,232,256,0
303,232,257,0
304,232,32,0
305,154,60,1
