Dock Index,Enzyme Index,Substrate Index,Label
0,19,0,1
1,19,1,1
2,131,2,1
3,131,3,0
4,131,4,1
5,246,5,1
6,246,6,0
7,246,7,1
8,246,8,1
9,246,9,1
10,246,10,1
11,200,11,1
12,133,12,1
13,181,13,1
14,181,14,1
15,181,15,1
16,136,16,0
17,242,17,1
18,146,18,1
19,47,19,1
20,209,20,1
21,143,21,1
22,143,22,1
23,97,23,1
24,259,24,1
25,175,25,1
26,36,26,1
27,216,27,1
28,157,28,1
29,117,38,0
30,118,39,1
31,24,40,1
32,19,46,1
33,19,47,1
34,44,48,1
35,114,49,1
36,26,50,1
37,27,51,1
38,27,52,1
39,27,53,1
40,291,54,1
41,291,55,1
42,291,56,1
43,290,50,1
44,178,15,1
45,178,58,1
46,10,1,1
47,10,59,1
48,99,60,1
49,230,60,1
50,230,61,1
51,182,38,0
52,63,75,1
53,248,12,1
54,102,75,1
55,104,76,1
56,103,77,1
57,13,78,1
58,225,60,1
59,203,79,1
60,132,25,1
61,132,80,1
62,115,12,1
63,35,81,1
64,198,48,1
65,6,82,1
66,177,83,1
67,177,24,1
68,177,84,1
69,170,24,1
70,31,86,1
71,30,23,1
72,168,93,1
73,22,94,1
74,45,39,1
75,25,12,1
76,14,24,1
77,33,98,1
78,174,25,1
79,92,99,1
80,137,102,1
81,137,103,1
82,127,104,1
83,127,105,1
84,139,106,1
85,139,107,1
86,139,108,1
87,139,109,1
88,138,110,0
89,70,113,1
90,70,114,0
91,70,115,1
92,70,116,0
93,69,117,1
94,72,119,1
95,72,120,1
96,288,124,1
97,285,133,1
98,235,134,1
99,285,135,1
100,285,136,1
101,240,137,0
102,285,138,1
103,285,139,1
104,84,142,1
105,84,143,1
106,263,99,1
107,263,144,0
108,262,145,1
109,263,146,1
110,77,75,1
111,245,0,1
112,244,1,1
113,18,46,1
114,20,152,1
115,189,153,1
116,76,157,1
117,76,158,1
118,76,159,1
119,76,160,1
120,66,161,1
121,66,162,1
122,66,164,1
123,65,169,1
124,74,170,1
125,74,172,1
126,74,175,1
127,75,176,1
128,75,151,1
129,74,125,1
130,85,178,1
131,60,179,1
132,85,180,1
133,59,185,1
134,9,186,1
135,9,187,1
136,273,25,1
137,272,98,1
138,267,191,1
139,274,192,1
140,7,160,1
141,220,193,1
142,167,24,1
143,220,205,1
144,220,206,1
145,95,207,1
146,17,209,1
147,120,5,1
148,121,214,1
149,119,215,1
150,122,217,1
151,16,218,1
152,16,219,1
153,277,220,1
154,205,223,0
155,206,224,0
156,207,120,1
157,207,225,1
158,206,226,1
159,206,227,1
160,67,124,1
161,67,177,1
162,67,233,1
163,67,234,1
164,67,136,1
165,68,235,1
166,67,236,1
167,93,241,1
168,129,242,1
169,112,243,1
170,111,245,1
171,265,246,1
172,265,247,1
173,265,248,1
174,142,60,1
175,154,60,1
176,201,259,1
177,151,273,1
178,152,60,1
179,151,274,1
180,151,275,1
181,151,276,1
182,204,17,1
183,264,287,1
184,204,301,1
185,204,302,1
186,204,303,1
187,204,304,1
188,204,305,1
189,204,306,1
190,204,307,1
191,204,308,1
192,204,309,1
193,264,313,1
194,264,314,1
195,5,259,1
196,247,326,1
197,149,327,1
198,149,328,1
199,149,329,1
200,73,331,1
201,73,125,1
202,73,332,1
203,160,333,1
204,130,134,1
205,135,137,0
206,135,134,1
207,163,329,1
208,163,334,1
209,163,335,1
210,279,336,1
211,279,337,1
212,279,338,1
213,279,339,1
214,279,340,1
215,279,341,1
216,163,342,1
217,163,343,1
218,163,344,1
219,163,345,1
220,163,346,1
221,163,347,1
222,163,350,1
223,279,351,1
224,278,352,1
225,163,353,1
226,163,354,1
227,163,356,1
228,163,328,1
229,163,357,1
230,164,358,1
231,162,359,1
232,280,360,1
233,163,361,1
234,163,362,1
235,163,363,1
236,163,364,1
237,163,365,1
238,163,366,1
239,163,367,1
240,163,368,1
241,279,370,1
242,165,371,0
243,116,372,0
244,162,374,1
245,163,375,1
246,163,376,1
247,163,377,1
248,163,378,0
249,163,379,0
250,163,327,1
251,161,380,1
252,12,381,1
253,105,386,1
254,144,389,0
255,144,390,1
256,144,391,1
257,208,392,1
258,34,326,1
259,23,24,1
260,256,393,1
261,166,394,1
262,172,395,1
263,172,75,1
264,172,259,1
265,171,396,1
266,134,24,1
267,196,153,1
268,234,327,1
269,2,120,1
270,96,80,1
271,145,24,1
272,243,259,1
273,147,412,1
274,281,413,1
275,156,414,1
276,156,415,1
277,109,416,1
278,109,417,1
279,180,418,1
280,257,419,0
281,249,420,0
282,21,421,1
283,62,424,0
284,183,425,1
285,210,426,1
286,214,427,1
287,228,428,1
288,227,429,0
289,229,430,1
290,199,431,0
291,141,432,1
292,217,433,1
293,32,434,1
294,113,435,1
