Substrate_Index,Substrate_SMILES,status,reason,num_atoms
0,COc1ccccc1O,ok,OK,9
1,COc1cccc(OC)c1O,ok,OK,11
2,CN[C@H](C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12)C(C)C,ok,OK,22
3,CC(C)[C@H](O)C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12,ok,OK,21
4,CC(C)[C@H](S)C(=O)N[C@H](CO)Cc1c[nH]c2cccc(F)c12,ok,OK,22
5,Cc1ccccc1,ok,OK,7
6,OCc1ccccc1,ok,OK,8
7,Cc1ccc(Cl)cc1,ok,OK,8
8,Cc1ccccc1Cl,ok,OK,8
9,Cc1ccc(Br)cc1,ok,OK,8
10,Cc1cccc(Cl)c1,ok,OK,8
11,CO[C@H]1C[C@H](C[C@H](C)[C@@H]2CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C/C=C(/C)[C@H](OC)C[C@H]3CC[C@H](C)[C@](O)(O3)C(=O)C(=O)N3CCCC[C@@H]3C(=O)O2)CC[C@H]1OCCO,ok,OK,68
12,CCCCCCCCCCCCCC(=O)O,ok,OK,16
13,CC[C@@H]1C[C@@H]2C[C@@H]3[C@H]4C/C=C\C(=O)NCC[C@H](O)[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4CC(=O)[C@H]3[C@@H]2[C@H]1C)C5=O,ok,OK,37
14,CC[C@@H]1C[C@@H]2C[C@@H]3[C@H]4C/C=C\C(=O)NCCC[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4C[C@H](O)[C@H]3[C@@H]2[C@H]1C)C5=O,ok,OK,36
15,CC[C@H]1[C@@H]2C=C[C@@H]3[C@H]4C/C=C\C(=O)NCCC[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4C[C@@H]3[C@H]2C[C@H]1C)C5=O,ok,OK,35
16,CC[C@H]1[C@H]2[C@H](C[C@H]1C)[C@H]1C[C@H]3/C=C/C(O)=C4/C(=O)N[C@@H](CCCNC(=O)/C=C\C[C@@H]3[C@H]1[C@@H]1O[C@@H]12)C4=O,ok,OK,36
17,O=C1N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]1Cc1ccc(O)cc1,ok,OK,24
18,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(OC(=O)CO)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,ok,OK,54
19,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3,ok,OK,22
20,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,ok,OK,25
21,CN[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12,ok,OK,26
22,CN[C@H](C(=O)N[C@H](CO)Cc1csc2ccccc12)C(C)C,ok,OK,22
23,CCCCCCCCCCCCCCCCCCCC(=O)O,ok,OK,22
24,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,ok,OK,21
25,CCCCCCCCCCCCCCCC(=O)O,ok,OK,18
26,C/C=C(\C)[C@H]1CC=C/C=C(\C)CC[C@@H](O)[C@@](C)(O)C(=S)/C=C2\N[C@@](C)(C3=N[C@@H](CS3)C(=O)O1)[C@@H](O)S2,ok,OK,36
27,COC(=O)[C@@H]1[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C\C=C(/C)C(=O)Nc2c(C)c(OC(C)=O)c3c(c(OC)c(C)c(O)c3c2O)C(=O)/C(C)=C/[C@@](C)(O)C(O)[C@@H](C)[C@H]1O,ok,OK,55
28,CS[C@H](Cc1c[nH]c2ccccc12)C(=O)O,ok,OK,16
29,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,ok,OK,51
30,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,ok,OK,22
