Dock Index,Enzyme Index,Substrate Index,Label,score,logit,prob,Predicted,Error_Type
1,19,1,1,-1.0784562,-1.0784562,0.25379828,0,False Negative
2,131,2,1,-2.1094036,-2.1094036,0.10818619,0,False Negative
3,131,3,0,2.2034726,2.2034726,0.9005609,1,False Positive
4,131,4,1,-4.8361616,-4.8361616,0.007874955,0,False Negative
5,246,5,1,-0.0184571,-0.0184571,0.49538586,0,False Negative
11,200,11,1,-7.843688,-7.843688,0.00039206608,0,False Negative
12,133,12,1,-5.313701,-5.313701,0.004899546,0,False Negative
13,181,13,1,-5.4774213,-5.4774213,0.004162695,0,False Negative
14,181,14,1,-3.00594,-3.00594,0.047158245,0,False Negative
15,181,15,1,-3.822987,-3.822987,0.02139466,0,False Negative
17,242,17,1,-0.75510067,-0.75510067,0.3197109,0,False Negative
18,146,18,1,-2.3195887,-2.3195887,0.08951358,0,False Negative
19,47,19,1,-4.7893963,-4.7893963,0.0082488675,0,False Negative
22,143,22,1,-3.974708,-3.974708,0.018438423,0,False Negative
23,97,23,1,-3.2354064,-3.2354064,0.037854843,0,False Negative
24,259,24,1,-2.368082,-2.368082,0.08563921,0,False Negative
25,175,25,1,-2.8851185,-2.8851185,0.05289413,0,False Negative
27,216,27,1,-11.323631,-11.323631,1.2083818e-05,0,False Negative
28,157,28,1,-4.140343,-4.140343,0.015667994,0,False Negative
39,118,39,1,-5.00647,-5.00647,0.006649974,0,False Negative
40,24,40,1,-0.77087176,-0.77087176,0.31629056,0,False Negative
46,19,46,1,-0.08942562,-0.08942562,0.47765848,0,False Negative
48,44,48,1,-2.8269706,-2.8269706,0.05588402,0,False Negative
49,114,49,1,-5.2009487,-5.2009487,0.005481125,0,False Negative
50,26,50,1,-5.7491646,-5.7491646,0.0031753262,0,False Negative
51,27,51,1,-8.968835,-8.968835,0.00012730024,0,False Negative
52,27,52,1,-4.2522135,-4.2522135,0.014032968,0,False Negative
53,27,53,1,-9.036912,-9.036912,0.00011892341,0,False Negative
54,291,54,1,-0.60429716,-0.60429716,0.3533612,0,False Negative
55,291,55,1,-2.3063087,-2.3063087,0.09060182,0,False Negative
56,291,56,1,-1.7539704,-1.7539704,0.14754711,0,False Negative
57,290,50,1,-5.4437604,-5.4437604,0.004304586,0,False Negative
59,178,15,1,-2.3629737,-2.3629737,0.086040065,0,False Negative
60,178,58,1,-3.6887565,-3.6887565,0.024393171,0,False Negative
61,10,1,1,-0.6098419,-0.6098419,0.35209528,0,False Negative
62,10,59,1,-0.05883515,-0.05883515,0.48529544,0,False Negative
63,99,60,1,-8.195686,-8.195686,0.00027576482,0,False Negative
64,230,60,1,-8.079189,-8.079189,0.00030982617,0,False Negative
65,230,61,1,-5.6244497,-5.6244497,0.0035955734,0,False Negative
84,63,75,1,-2.0957112,-2.0957112,0.10951436,0,False Negative
85,248,12,1,-4.7973094,-4.7973094,0.008184383,0,False Negative
86,102,75,1,-6.9417033,-6.9417033,0.00096568826,0,False Negative
87,104,76,1,-3.8500423,-3.8500423,0.02083548,0,False Negative
88,103,77,1,-1.6943696,-1.6943696,0.15520206,0,False Negative
