Substrate_Index,SMILES,N_samples,N_positive,N_negative,AUC-ROC,Mean_prob_positive,Mean_prob_negative
0,COc1ccccc1O,2,2,0,,0.779362525,
1,COc1cccc(OC)c1O,3,3,0,,0.2912559733333333,
5,Cc1ccccc1,2,2,0,,0.298927913,
12,CCCCCCCCCCCCCC(=O)O,4,4,0,,0.01054810875,
15,CC[C@H]1[C@@H]2C=C[C@@H]3[C@H]4C/C=C\C(=O)NCCC[C@@...,2,2,0,,0.0537173625,
17,O=C1N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]1Cc1ccc(O)cc1,2,2,0,,0.358598035,
23,CCCCCCCCCCCCCCCCCCCC(=O)O,2,2,0,,0.023593429,
24,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]...,8,8,0,,0.098195215675,
25,CCCCCCCCCCCCCCCC(=O)O,4,4,0,,0.04998124355,
29,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@...,4,0,4,,,6.724242300000001e-05
30,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,7,0,7,,,0.0005740990528571428
31,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,5,0,5,,,2.2391696999999996e-05
32,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(C...,2,0,2,,,0.0559244505
33,CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@]...,5,0,5,,,0.00020149968768
38,O=C(O)CCCCCCCCCCCO,2,0,2,,,0.0113978175
39,CCCCCCCCCCCC(=O)O,3,2,1,1.0,0.0171144695,0.00026735
46,COc1cc(C=O)ccc1O,2,2,0,,0.44405355999999996,
48,CCCCCCCC(=O)O,2,2,0,,0.0543516675,
50,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N2CCC[C@@H]12,2,2,0,,0.0037399561,
57,c1ccc(-c2c[nH]cn2)cc1,2,0,2,,,0.003962933212
60,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C...,6,6,0,,0.0004289271333333333,
73,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(...,4,0,4,,,0.0057924699175
75,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C...,4,4,0,,0.052117756565000006,
80,CCCCCCCC/C=C\CCCCCCCC(=O)O,2,2,0,,0.0025429477450000003,
87,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-...,2,0,2,,,0.00038684288000000004
95,Clc1ccc(-c2cnc[nH]2)cc1,4,0,4,,,0.0027160541625
96,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,4,0,4,,,0.0010635874521125
98,CCCCCC/C=C\CCCCCCCC(=O)O,2,2,0,,0.008406034745,
99,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H]...,2,2,0,,0.06665834620000001,
115,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,2,1,1,0.0,0.015071432,0.026720615
120,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3,3,0,,0.32416840399999997,
125,CN1CCC[C@H]1c1cccnc1,3,2,1,1.0,0.00749204615,0.0021136065
129,c1ccc(-c2cnc[nH]2)cc1,6,0,6,,,0.018425826963333333
130,CC(C)(C(=O)c1cccnc1)c1cccnc1,3,0,3,,,0.00657066893
134,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,3,3,0,,0.2869757,
136,CC12CCC(CC1)C2(C)C,2,2,0,,0.2356927225,
137,CC1(C)[C@H]2CC(=O)[C@]1(C)C[C@H]2O,2,0,2,,,0.43900852
140,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,3,0,3,,,0.052976667
151,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,3,1,2,0.0,7.306459e-05,0.00034284630999999996
153,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)...,2,2,0,,0.085573702,
160,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@H]3SC(=O)...,2,2,0,,0.001040029815,
177,C=C1CC[C@@]2(C(C)C)C[C@@H]12,2,1,1,0.0,0.18466371,0.24424712
228,CC(=O)N1CCN(c2ccc(OC[C@H]3COC(Cn4ccnc4)(c4ccc(Cl)c...,2,0,2,,,0.016431082
231,c1ccc(Cc2ccncc2)cc1,2,0,2,,,0.29650786850000005
249,COc1ccc(CNc2ccc(Cc3ccncc3)cc2)cc1,2,0,2,,,0.1163453265
250,CCOC(=O)c1cc2cc(-c3ccncc3)ccc2[nH]1,2,0,2,,,0.0009564319699999999
251,O=S(=O)(Nc1ccc(Cc2ccncc2)cc1)c1ccccc1,2,0,2,,,0.0006180618635000001
259,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)C...,4,3,1,1.0,0.06819130233333333,0.0013632715
326,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C...,2,2,0,,0.40026732,
327,COc1ccc(C(=O)O)cc1,3,3,0,,0.0743868,
328,CCc1ccc(C(=O)O)cc1,2,2,0,,0.0312980015,
329,COc1ccc(C(=O)O)cc1OC,2,2,0,,0.6984889700000001,
