Dock Index,Enzyme Index,Substrate Index,Label,score,logit,prob,Predicted,Error_Type
1,19,1,1,-1.4967295,-1.4967295,0.18291381,0,False Negative
2,131,2,1,-1.9532924,-1.9532924,0.1241948,0,False Negative
3,131,3,0,1.3303664,1.3303664,0.79090124,1,False Positive
4,131,4,1,-5.3957872,-5.3957872,0.004515169,0,False Negative
5,246,5,1,-0.14174011,-0.14174011,0.46462417,0,False Negative
11,200,11,1,-11.802786,-11.802786,7.4836244e-06,0,False Negative
12,133,12,1,-5.460404,-5.460404,0.004233836,0,False Negative
13,181,13,1,-9.109211,-9.109211,0.00011062974,0,False Negative
14,181,14,1,-7.357518,-7.357518,0.00063737284,0,False Negative
15,181,15,1,-7.8366036,-7.8366036,0.0003948524,0,False Negative
17,242,17,1,-0.6971839,-0.6971839,0.3324369,0,False Negative
18,146,18,1,-4.7302113,-4.7302113,0.008747414,0,False Negative
19,47,19,1,-5.700769,-5.700769,0.0033322526,0,False Negative
22,143,22,1,-4.364273,-4.364273,0.012564038,0,False Negative
23,97,23,1,-3.7030716,-3.7030716,0.024054807,0,False Negative
24,259,24,1,-4.543464,-4.543464,0.010524551,0,False Negative
25,175,25,1,-2.087007,-2.087007,0.1103661,0,False Negative
27,216,27,1,-13.919642,-13.919642,9.0110564e-07,0,False Negative
28,157,28,1,-5.136378,-5.136378,0.005844586,0,False Negative
39,118,39,1,-5.4269032,-5.4269032,0.004377444,0,False Negative
40,24,40,1,-0.99888396,-0.99888396,0.2691609,0,False Negative
46,19,46,1,-0.15645973,-0.15645973,0.46096468,0,False Negative
48,44,48,1,-2.8184855,-2.8184855,0.05633339,0,False Negative
49,114,49,1,-4.8902,-4.8902,0.00746379,0,False Negative
50,26,50,1,-6.8132915,-6.8132915,0.0010978627,0,False Negative
51,27,51,1,-10.952115,-10.952115,1.7520611e-05,0,False Negative
52,27,52,1,-5.347607,-5.347607,0.0047369804,0,False Negative
53,27,53,1,-12.5967045,-12.5967045,3.3831348e-06,0,False Negative
55,291,55,1,-2.1548352,-2.1548352,0.10388026,0,False Negative
56,291,56,1,-1.5485911,-1.5485911,0.17528984,0,False Negative
57,290,50,1,-6.1001143,-6.1001143,0.0022375933,0,False Negative
59,178,15,1,-5.4929733,-5.4929733,0.0040987204,0,False Negative
60,178,58,1,-6.834143,-6.834143,0.0010752318,0,False Negative
61,10,1,1,-1.0794876,-1.0794876,0.253603,0,False Negative
63,99,60,1,-8.965192,-8.965192,0.00012776478,0,False Negative
64,230,60,1,-8.854763,-8.854763,0.00014268007,0,False Negative
65,230,61,1,-6.080449,-6.080449,0.00228193,0,False Negative
84,63,75,1,-2.700344,-2.700344,0.062953055,0,False Negative
85,248,12,1,-4.669137,-4.669137,0.009293187,0,False Negative
86,102,75,1,-7.4265738,-7.4265738,0.0005948693,0,False Negative
87,104,76,1,-6.5697613,-6.5697613,0.0014001689,0,False Negative
88,103,77,1,-5.3033786,-5.3033786,0.004950132,0,False Negative
89,13,78,1,-4.427473,-4.427473,0.011803645,0,False Negative
90,225,60,1,-8.803319,-8.803319,0.00015021105,0,False Negative
91,203,79,1,-5.0462923,-5.0462923,0.0063920207,0,False Negative
92,132,25,1,-3.0713487,-3.0713487,0.044304688,0,False Negative
93,132,80,1,-6.253725,-6.253725,0.0019195846,0,False Negative
94,115,12,1,-3.7043784,-3.7043784,0.024024148,0,False Negative
95,35,81,1,-1.4562145,-1.4562145,0.18904698,0,False Negative
96,198,48,1,-2.7020512,-2.7020512,0.06285243,0,False Negative
97,6,82,1,-7.0088162,-7.0088162,0.00090306165,0,False Negative
98,177,83,1,-1.8471622,-1.8471622,0.13620643,0,False Negative
99,177,24,1,-7.324968,-7.324968,0.000658447,0,False Negative
100,177,84,1,-0.17674313,-0.17674313,0.4559289,0,False Negative
102,170,24,1,-3.2887037,-3.2887037,0.03596076,0,False Negative
103,31,86,1,-4.4775705,-4.4775705,0.011233359,0,False Negative
104,30,23,1,-4.5879326,-4.5879326,0.010071405,0,False Negative
112,168,93,1,-2.5411532,-2.5411532,0.07302307,0,False Negative
113,22,94,1,-3.4659474,-3.4659474,0.030296816,0,False Negative
114,45,39,1,-3.0928059,-3.0928059,0.043404985,0,False Negative
115,25,12,1,-4.098688,-4.098688,0.016323552,0,False Negative
120,14,24,1,-2.7729075,-2.7729075,0.058805883,0,False Negative
121,33,98,1,-9.230136,-9.230136,9.80303e-05,0,False Negative
122,174,25,1,-5.316863,-5.316863,0.004884154,0,False Negative
123,92,99,1,-5.7393456,-5.7393456,0.0032065578,0,False Negative
128,127,104,1,-2.9823012,-2.9823012,0.04823188,0,False Negative
129,127,105,1,-2.95152,-2.95152,0.049664725,0,False Negative
132,139,108,1,-7.4068127,-7.4068127,0.0006067343,0,False Negative
134,138,110,0,1.800299,1.800299,0.85818535,1,False Positive
138,70,113,1,-4.8481636,-4.8481636,0.0077817366,0,False Negative
140,70,115,1,-3.5987077,-3.5987077,0.026630472,0,False Negative
142,69,117,1,-1.3095952,-1.3095952,0.21255459,0,False Negative
144,72,119,1,-14.093536,-14.093536,7.572767e-07,0,False Negative
145,72,120,1,-4.9770327,-4.9770327,0.006847282,0,False Negative
146,285,121,0,0.3770002,0.3770002,0.59314936,1,False Positive
149,288,124,1,-6.6565175,-6.6565175,0.0012839651,0,False Negative
156,255,131,0,0.75066733,0.75066733,0.6793241,1,False Positive
159,235,134,1,-1.5939405,-1.5939405,0.16883022,0,False Negative
161,285,136,1,-4.445532,-4.445532,0.011594848,0,False Negative
164,285,139,1,-3.926681,-3.926681,0.019328041,0,False Negative
167,84,142,1,-9.755027,-9.755027,5.7998997e-05,0,False Negative
168,84,143,1,-8.642218,-8.642218,0.00017646392,0,False Negative
169,263,99,1,-1.8110052,-1.8110052,0.14051668,0,False Negative
171,262,145,1,-1.6219233,-1.6219233,0.16493979,0,False Negative
172,263,146,1,-2.4812124,-2.4812124,0.0771858,0,False Negative
179,77,75,1,-3.1601698,-3.1601698,0.040692423,0,False Negative
181,244,1,1,-1.4262089,-1.4262089,0.19369008,0,False Negative
182,18,46,1,-0.29707772,-0.29707772,0.426272,0,False Negative
183,20,152,1,-0.5772786,-0.5772786,0.35955903,0,False Negative
187,189,153,1,-3.993309,-3.993309,0.018104773,0,False Negative
193,76,157,1,-10.388524,-10.388524,3.0782787e-05,0,False Negative
194,76,158,1,-6.592875,-6.592875,0.0013682207,0,False Negative
195,76,159,1,-11.376853,-11.376853,1.1457518e-05,0,False Negative
196,76,160,1,-9.852907,-9.852907,5.2591306e-05,0,False Negative
197,66,161,1,-7.6732907,-7.6732907,0.00046486864,0,False Negative
198,66,162,1,-5.5982413,-5.5982413,0.003690701,0,False Negative
200,66,164,1,-4.866567,-4.866567,0.007640919,0,False Negative
205,65,169,1,-7.8047333,-7.8047333,0.00040763395,0,False Negative
206,74,170,1,-3.8411136,-3.8411136,0.021018421,0,False Negative
208,74,172,1,-11.679244,-11.679244,8.467692e-06,0,False Negative
211,74,175,1,-7.3166585,-7.3166585,0.0006639374,0,False Negative
212,75,176,1,-3.2394624,-3.2394624,0.037707392,0,False Negative
213,75,151,1,-11.688952,-11.688952,8.385883e-06,0,False Negative
214,74,125,1,-5.6052904,-5.6052904,0.0036648714,0,False Negative
216,85,178,1,-6.630794,-6.630794,0.0013173774,0,False Negative
217,60,179,1,-5.8687344,-5.8687344,0.002818482,0,False Negative
218,85,180,1,-8.302595,-8.302595,0.00024781132,0,False Negative
223,59,185,1,-8.963731,-8.963731,0.00012795157,0,False Negative
224,9,186,1,-3.1279202,-3.1279202,0.041970156,0,False Negative
226,273,25,1,-2.1759224,-2.1759224,0.1019336,0,False Negative
228,272,98,1,-3.8488889,-3.8488889,0.020859025,0,False Negative
231,267,191,1,-0.9680078,-0.9680078,0.27527776,0,False Negative
232,274,192,1,-7.803002,-7.803002,0.00040834004,0,False Negative
236,7,160,1,-9.295966,-9.295966,9.178534e-05,0,False Negative
237,220,193,1,-0.2951327,-0.2951327,0.42674777,0,False Negative
238,167,24,1,-0.038853705,-0.038853705,0.49028778,0,False Negative
250,220,205,1,-1.1525897,-1.1525897,0.24001639,0,False Negative
251,220,206,1,-0.733321,-0.733321,0.32446638,0,False Negative
252,95,207,1,-1.9384142,-1.9384142,0.12582217,0,False Negative
254,17,209,1,-1.8755965,-1.8755965,0.13289548,0,False Negative
257,120,5,1,-3.106101,-3.106101,0.042856295,0,False Negative
260,121,214,1,-4.6021347,-4.6021347,0.009930791,0,False Negative
261,119,215,1,-2.9632497,-2.9632497,0.04911402,0,False Negative
263,122,217,1,-3.982822,-3.982822,0.018292146,0,False Negative
266,277,220,1,-0.9565176,-0.9565176,0.27757597,0,False Negative
272,207,120,1,-0.045691058,-0.045691058,0.4885792,0,False Negative
273,207,225,1,-2.2047765,-2.2047765,0.09932237,0,False Negative
274,206,226,1,-0.97415763,-0.97415763,0.27405256,0,False Negative
275,206,227,1,-1.8205285,-1.8205285,0.13937047,0,False Negative
284,67,177,1,-1.6381987,-1.6381987,0.16271031,0,False Negative
285,67,233,1,-1.8868977,-1.8868977,0.13159859,0,False Negative
286,67,234,1,-2.0997965,-2.0997965,0.1091166,0,False Negative
288,68,235,1,-4.4178457,-4.4178457,0.011916471,0,False Negative
296,129,242,1,-1.674376,-1.674376,0.15784161,0,False Negative
297,112,243,1,-6.1739197,-6.1739197,0.002078725,0,False Negative
300,111,245,1,-5.7072315,-5.7072315,0.003310858,0,False Negative
308,142,60,1,-9.376331,-9.376331,8.4698215e-05,0,False Negative
312,158,254,0,2.6898494,2.6898494,0.93642503,1,False Positive
317,154,60,1,-8.191943,-8.191943,0.0002767987,0,False Negative
336,151,273,1,-3.0988784,-3.0988784,0.043153543,0,False Negative
337,152,60,1,-7.6435175,-7.6435175,0.00047891066,0,False Negative
339,151,275,1,-7.963047,-7.963047,0.00034796973,0,False Negative
345,204,17,1,-0.3914152,-0.3914152,0.40337667,0,False Negative
353,264,287,1,-1.6916143,-1.6916143,0.15556367,0,False Negative
367,204,301,1,-0.73927087,-0.73927087,0.3231636,0,False Negative
368,204,302,1,-0.8999442,-0.8999442,0.28906196,0,False Negative
369,204,303,1,-0.9877391,-0.9877391,0.27135888,0,False Negative
370,204,304,1,-0.46040463,-0.46040463,0.38688985,0,False Negative
371,204,305,1,-0.07163565,-0.07163565,0.48209873,0,False Negative
372,204,306,1,-5.326567,-5.326567,0.004837215,0,False Negative
373,204,307,1,-1.7824436,-1.7824436,0.14400166,0,False Negative
374,204,308,1,-1.0896312,-1.0896312,0.25168774,0,False Negative
375,204,309,1,-0.29548645,-0.29548645,0.42666122,0,False Negative
379,264,313,1,-0.724813,-0.724813,0.326334,0,False Negative
380,264,314,1,-0.11082582,-0.11082582,0.47232187,0,False Negative
387,194,319,0,1.1786915,1.1786915,0.76471245,1,False Positive
391,193,323,0,2.1236115,2.1236115,0.893177,1,False Positive
394,5,259,1,-6.903145,-6.903145,0.0010036129,0,False Negative
396,247,326,1,-1.7044431,-1.7044431,0.15388586,0,False Negative
397,149,327,1,-3.1296206,-3.1296206,0.041901838,0,False Negative
398,149,328,1,-3.2613404,-3.2613404,0.03692152,0,False Negative
