uniprot_id,protein_families,cc_cofactor,xref_interpro,is_p450_by_family,is_p450_by_interpro,has_heme
A0A011UI67,Peptidase S11 family,,IPR012338;IPR015956;IPR018044;IPR012907;IPR037167;IPR001967;,False,False,False
A0A014N5A5,Myo-inositol 1-phosphate synthase family,COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000256|ARBA:ARBA00001911};,IPR002587;IPR013021;IPR036291;,False,False,False
A0A016TQN6,Glutamate--cysteine ligase type 3 family,,IPR004308;IPR014746;,False,False,False
A0A016V4F0,Class-III pyridoxal-phosphate-dependent aminotransferase family,"COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933, ECO:0000256|RuleBase:RU365036};",IPR005814;IPR049704;IPR050103;IPR010164;IPR015424;IPR015421;IPR015422;,False,False,False
A0A016VAH2,,,IPR036412;IPR023214;IPR049063;IPR041064;,False,False,False
A0A021X0B0,,,,False,False,False
A0A022LGW9,,,,False,False,False
A0A023DFE8,Metallo-beta-lactamase superfamily,COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|ARBA:ARBA00001947};,IPR051013;IPR001279;IPR036866;,False,False,False
A0A023H3G4,Chloroperoxidase family,COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344; Evidence={ECO:0000256|ARBA:ARBA00001970};,IPR000028;IPR036851;,False,False,True
A0A023H437,Chloroperoxidase family,COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344; Evidence={ECO:0000256|ARBA:ARBA00001970};,IPR000028;IPR036851;,False,False,True
A0A023I7E1,Glycosyl hydrolase 81 family,,IPR005200;IPR040720;IPR040451;,False,False,False
A0A023J7X1,Choline monooxygenase family,COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; Evidence={ECO:0000256|ARBA:ARBA00001962}; COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:190135; Evidence={ECO:0000256|ARBA:ARBA00034078};,IPR017941;IPR036922;IPR015879;IPR001663;,False,False,False
A0A023J8T6,Peptidase C59 family,,IPR047711;IPR029132;IPR029055;IPR052193;,False,False,False
A0A023MIF8,Glycosyl hydrolase 1 family,,IPR001360;IPR017853;,False,False,False
A0A023NFQ4,Glycosyltransferase 28 family,,IPR010610;IPR050426;IPR004276;IPR002213;,False,False,False
A0A023PKP7,Diacylglycerol acyltransferase family,,IPR007130;,False,False,False
A0A023QSS7,Complex I subunit 5 family,,IPR010934;IPR018393;IPR001750;IPR003945;IPR001516;,False,False,False
A0A023R7W0,Group II decarboxylase family,"COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933, ECO:0000256|PIRSR:PIRSR602129-50, ECO:0000256|RuleBase:RU000382};",IPR010107;IPR002129;IPR015424;IPR015421;,False,False,False
A0A023U990,Terpene cyclase/mutase family,,IPR032696;IPR032697;IPR018333;IPR002365;IPR008930;,False,False,False
A0A023UHK6,Catalase family,"COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000256|ARBA:ARBA00001971, ECO:0000256|PIRSR:PIRSR038928-2};",IPR018028;IPR040333;IPR024708;IPR024711;IPR011614;IPR010582;IPR020835;,False,False,True
A0A023WPH5,,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000256|PIRSR:PIRSR000294-1}; Note=Binds 2 heme groups. {ECO:0000256|PIRSR:PIRSR000294-1};,IPR009056;IPR036909;IPR051395;IPR004852;IPR026259;,False,False,True
A0A023XI92,,,,False,False,False
A0A024A3Z2,"Fatty acid desaturase type 1 family, AlkB subfamily",,IPR033885;IPR005804;,False,False,False
A0A024A6V9,Glycosyl hydrolase 43 family,,IPR013320;IPR041542;IPR006710;IPR023296;IPR051795;,False,False,False
A0A024A7F1,,,IPR044094;IPR001279;IPR036866;,False,False,False
A0A024AGD6,"LDH/MDH superfamily, MDH type 2 family",,IPR001557;IPR022383;IPR001236;IPR015955;IPR001252;IPR011274;IPR010945;IPR036291;,False,False,False
A0A024B710,,,IPR005804;IPR012171;,False,False,False
A0A024BK76,"AB hydrolase superfamily, FaeA family",,IPR029058;IPR051299;IPR002921;,False,False,False
A0A024BSC8,"Thiolase-like superfamily, HMG-CoA synthase family",,IPR000590;IPR013528;IPR010122;IPR016039;,False,False,False
A0A024CJ54,"AB hydrolase superfamily, Lipase family",,IPR029058;IPR048264;IPR017395;,False,False,False
A0A024FB95,GMC oxidoreductase family,,IPR036188;IPR000172;IPR007867;,False,False,False
A0A024FS29,Glycosyl hydrolase 33 family,,IPR011040;IPR026856;IPR036278;,False,False,False
A0A024FS83,Glycosyl hydrolase 10 (cellulase F) family,,IPR035971;IPR000254;IPR044846;IPR031158;IPR001000;IPR017853;,False,False,False
A0A024H9P5,Beta-class carbonic anhydrase family,COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|PIRSR:PIRSR601765-1}; Note=Binds 1 zinc ion per subunit. {ECO:0000256|PIRSR:PIRSR601765-1};,IPR045066;IPR001765;IPR015892;IPR036874;,False,False,False
A0A024JUE5,Trehalose phosphatase family,COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|RuleBase:RU361117};,IPR036412;IPR006379;IPR023214;IPR044651;IPR003337;,False,False,False
A0A024L419,Glycosyl hydrolase 65 family,,IPR008928;IPR012341;IPR011013;IPR037018;IPR005194;IPR005195;IPR005196;IPR017045;,False,False,False
A0A024L996,Thymidine/pyrimidine-nucleoside phosphorylase family,,IPR000312;IPR017459;IPR036320;IPR035902;IPR036566;IPR013102;IPR018090;IPR017872;IPR000053;IPR013465;,False,False,False
A0A024R048,,,,False,False,False
A0A024R0K3,,,,False,False,False
A0A024R1Z6,,,,False,False,False
A0A024R222,,,,False,False,False
A0A024R2U7,,,,False,False,False
A0A024R329,,,,False,False,False
A0A024R4F6,,,,False,False,False
A0A024R6A0,,,,False,False,False
A0A024R718,,,,False,False,False
A0A024R737,,,,False,False,False
A0A024R819,,,,False,False,False
A0A024R8B5,,,,False,False,False
A0A024R8Z4,FMO family,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000256|ARBA:ARBA00001974};,IPR036188;IPR000960;IPR020946;IPR002255;IPR050346;,False,False,False
A0A024RA32,"Glycosyltransferase 31 family, Beta3-Gal-T subfamily",COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|ARBA:ARBA00001936};,IPR026050;IPR003378;,False,False,False
A0A024RAG3,,,,False,False,False
A0A024RB79,,,,False,False,False
A0A024RBG4,,,,False,False,False
A0A024RBY9,,,,False,False,False
A0A024RCG3,,,,False,False,False
A0A024RUF8,"Glycosyl hydrolase 2 family, Beta-mannosidase A subfamily",,IPR036156;IPR054593;IPR050887;IPR041625;IPR008979;IPR006102;IPR017853;IPR013783;IPR041447;,False,False,False
