uniprot_id,enzyme_name,organism,pdb_id,ligand_ccd,ligand_name,original_class,final_class,confidence,audit_date,audit_method,notes
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,9DOE,ANN,4-METHOXYBENZOIC ACID,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,8D39,QDB,4-benzoylbenzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7R8S,8ZU,4-propylbenzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7R8T,EGM,4-ethylbenzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7TZX,L3C,4-(chloromethyl)benzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7TRT,KQF,4-(furan-2-yl)benzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7TQM,4MI,4-methylsulfanylbenzoic acid,unknown,SUBSTRATE,med-high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7TRU,KQR,4-(thiophen-2-yl)benzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7TZW,174,4-CHLORO-BENZOIC ACID,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,9DX9,5R0,4-~{tert}-butylbenzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7TZM,KZ6,4-iodobenzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7JW5,Z7Z,biphenyl-4-carboxylic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,8VOT,E5X,4-(hydroxymethyl)benzoic acid,unknown,PRODUCT,med-high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7N14,ZRS,"4-(1H-1,2,4-triazol-1-yl)benzoic acid",unknown,INHIBITOR,med-high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,8VOK,PHB,P-HYDROXYBENZOIC ACID,unknown,SUBSTRATE,med-high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,8HGB,L6X,4-methoxy-3-oxidanyl-benzoic acid,product,PRODUCT,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,5UVB,8QM,4-cyclopropylbenzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,8VOC,M4F,4-(trifluoromethoxy)benzoic acid,unknown,SUBSTRATE,medium,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,6U31,PQP,4-(1H-imidazol-1-yl)benzoic acid,unknown,INHIBITOR,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,7TNU,EH1,4-cyclohexylbenzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,6PQS,4MA,4-METHYLBENZOIC ACID,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,5KDB,4IA,4-propan-2-ylbenzoic acid,unknown,SUBSTRATE,high,2026-01-25,Codex PDB analysis,
Q2IU02,CYP199A4,Rhodopseudomonas palustris HaA2,6WZP,MW7,4-ethenylbenzoic acid,unknown,SUBSTRATE,med-high,2026-01-25,Codex PDB analysis,
