uniprot_id,enzyme_name,organism,pdb_id,ligand_ccd,ligand_name,original_class,final_class,confidence,audit_date,audit_method,notes
P20813,CYP2B6,Homo sapiens,5UFG,85D,"(1S,5R)-2-(bromomethyl)-6,6-dimethylbicyclo[3.1.1]hept-2-ene",unknown,SUBSTRATE,medium,2026-01-25,Codex PDB + Gemini web,Myrtenyl bromide
P20813,CYP2B6,Homo sapiens,5UFG,CM5,5-CYCLOHEXYL-1-PENTYL-BETA-D-MALTOSIDE,unknown,EXCLUDE,high,2026-01-25,Codex PDB + Gemini web,Detergent (Cymal-5)
P20813,CYP2B6,Homo sapiens,5UDA,CAE,CAMPHANE,unknown,SUBSTRATE,medium,2026-01-25,Codex PDB + Gemini web,Camphane (bornane)
P20813,CYP2B6,Homo sapiens,3IBD,CPZ,4-(4-CHLOROPHENYL)IMIDAZOLE,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,Type-II Fe-N=2.37Å
P20813,CYP2B6,Homo sapiens,4I91,FRU,beta-D-fructofuranose,unknown,EXCLUDE,high,2026-01-25,Codex PDB + Gemini web,Crystallization additive
P20813,CYP2B6,Homo sapiens,4I91,TMH,(+)-alpha-Pinene,unknown,SUBSTRATE,medium,2026-01-25,Codex PDB + Gemini web,α-Pinene
P20813,CYP2B6,Homo sapiens,5UAP,82S,"(1R,2R,4R)-2-bromo-1,7,7-trimethylbicyclo[2.2.1]heptane",unknown,SUBSTRATE,medium,2026-01-25,Codex PDB + Gemini web,Bornyl bromide
P20813,CYP2B6,Homo sapiens,3QOA,3QO,4-benzylpyridine,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,Type-II Fe-N=2.36Å
P20813,CYP2B6,Homo sapiens,4RQL,SNE,Sabinene,unknown,SUBSTRATE,medium,2026-01-25,Codex PDB + Gemini web,Sabinene
P20813,CYP2B6,Homo sapiens,4RRT,3V4,(+)-3-carene,unknown,SUBSTRATE,medium,2026-01-25,Codex PDB + Gemini web,(+)-3-carene
P20813,CYP2B6,Homo sapiens,3QU8,3QU,4-(4-nitrobenzyl)pyridine,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini web,Type-II Fe-N=2.25-2.37Å
