uniprot_id,enzyme_name,organism,pdb_id,ligand_ccd,ligand_name,original_class,final_class,confidence,audit_date,audit_method,notes
O64989,CYP90B1 (brassinosteroid biosynthesis),Arabidopsis thaliana,6A15,CLR,CHOLESTEROL,substrate,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini literature,Cholesterol
O64989,CYP90B1 (brassinosteroid biosynthesis),Arabidopsis thaliana,6A16,UCZ,"(1E,3S)-1-(4-chlorophenyl)-4,4-dimethyl-2-(1H-1,2,4-triazol-1-yl)pent-1-en-3-ol",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini literature,"Uniconazole, Fe-N=2.22A"
O64989,CYP90B1 (brassinosteroid biosynthesis),Arabidopsis thaliana,6A17,9RL,"(2R,3S)-4-(4-chlorophenyl)-2-phenyl-3-(1H-1,2,4-triazol-1-yl)butan-2-ol",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini literature,"Brassinazole, Fe-N=2.45A"
O64989,CYP90B1 (brassinosteroid biosynthesis),Arabidopsis thaliana,6A18,HEZ,"HEXANE-1,6-DIOL",unknown,EXCLUDE,high,2026-01-25,Codex PDB + Gemini literature,"Hexane-1,6-diol (solvent)"
A0A8I3B043,NzeB (DKP dimerase),Streptomyces sp. NRRL F-5053,6XAL,UYG,"(3S,6S)-3-[(1H-indol-3-yl)methyl]-6-(propan-2-yl)piperazine-2,5-dione",unknown,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini literature,cyclo-Trp-Val
A0A8I3B043,NzeB (DKP dimerase),Streptomyces sp.,7S3T,QRP,"(3S,8aS)-3-(1H-indol-3-ylmethyl)hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",unknown,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini literature,cyclo-Trp-Pro
A0A8I3B043,NzeB (DKP dimerase),Streptomyces sp. NRRL F-5053,6XAK,UYM,"(3S,6S)-3,6-bis[(1H-indol-3-yl)methyl]piperazine-2,5-dione",unknown,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini literature,cyclo-Trp-Trp
A0A8I3B043,NzeB (DKP dimerase),Streptomyces sp. NRRL F-5053,6XAM,WMA,"(3S,6S)-3-ethyl-6-[(1H-indol-3-yl)methyl]piperazine-2,5-dione",unknown,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini literature,cyclo-Trp-homoalanine
P48635,EryK (erythromycin C-12 hydroxylase),Saccharopolyspora erythraea,2XFH,CL6,1-[(2-CHLOROPHENYL)(DIPHENYL)METHYL]-1H-IMIDAZOLE,inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini literature,"Clotrimazole, Fe-N=2.10A"
P48635,EryK (erythromycin C-12 hydroxylase),Saccharopolyspora erythraea,2JJO,EY5,Erythromycin D,inhibitor,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini literature,Erythromycin D (native substrate)
P48635,EryK (erythromycin C-12 hydroxylase),Saccharopolyspora erythraea NRRL 2338,3ZKP,ERB,Erythromycin B,inhibitor,SUBSTRATE,high,2026-01-25,Codex PDB + Gemini literature,Erythromycin B (alternative substrate)
P48635,EryK (erythromycin C-12 hydroxylase),Saccharopolyspora erythraea,2JJP,KLN,"1-ACETYL-4-(4-{[(2S,4R)-2-(2,4-DICHLOROPHENYL)-2-(1H-IMIDAZOL-1-YLMETHYL)-1,3-DIOXOLAN-4-YL]METHOXY}PHENYL)PIPERAZINE",inhibitor,INHIBITOR,high,2026-01-25,Codex PDB + Gemini literature,"Ketoconazole analog, Fe-N=1.96A"
