ccd_code,smiles,source,validation_status,error_message
010,OCc1ccccc1,API,VALID,
06X,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,API,VALID,
0BV,O=CCc1cc2ccccc2c2ccccc12,API,VALID,
0GV,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,API,VALID,
0PY,c1ccncc1,API,VALID,
0QA,CN(CCCC(=O)c1cccnc1)N=O,API,VALID,
114,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,API,VALID,
12H,O=C(O)CCCCCCCCCCCO,API,VALID,
140,CCCCCCCCCCCCCCCC(=O)NCC(=O)O,API,VALID,
16A,CCCCCCCCCCCCCCCC[N+](C)(C)C,API,VALID,
16N,c1ccc2c(c1)CCC2,API,VALID,
174,O=C(O)c1ccc(Cl)cc1,API,VALID,
17Q,CN(C)CCCCCOC1CCCCCCCCCCC1,API,VALID,
18I,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cccc(F)c2)cc1F,API,VALID,
1BO,CCCCO,API,VALID,
1C6,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,API,VALID,
1CM,CC[C@@H](C(=O)Nc1ccncc1)c1ccccc1,API,VALID,
1D2,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OC2CCCCCCCCCCC2)O1,API,VALID,
1D4,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OC2CCCCCCCCCCCC2)O1,API,VALID,
1ED,O=C1N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]1Cc1ccccc1,API,VALID,
1F1,O=C(O)c1ccc2cc[nH]c2c1,API,VALID,
1G4,O=C1N[C@@H](Cc2ccc(O)cc2)CN[C@H]1Cc1ccc(O)cc1,API,VALID,
1G7,O=C1N[C@@H](Cc2ccc(O)c(O)c2)C(=O)N[C@H]1Cc1ccc(O)cc1,API,VALID,
1G9,C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,API,VALID,
1GB,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H]1Cc1ccc(O)cc1,API,VALID,
