Dock Index,Enzyme Index,Substrate Index,Label
0,19,0,1
1,19,1,1
2,131,2,1
3,131,3,0
4,131,4,1
5,246,5,1
6,246,6,0
7,246,7,1
8,246,8,1
9,246,9,1
10,246,10,1
11,200,11,1
12,133,12,1
13,181,13,1
14,181,14,1
15,181,15,1
16,136,16,0
17,242,17,1
18,146,18,1
19,47,19,1
20,209,20,1
21,143,21,1
22,143,22,1
23,97,23,1
24,259,24,1
25,175,25,1
26,36,26,1
27,216,27,1
28,157,28,1
29,79,29,0
30,79,30,0
31,79,31,0
32,79,32,0
33,79,33,0
34,79,34,0
35,79,35,0
36,79,36,0
37,79,37,0
38,117,38,0
39,118,39,1
40,24,40,1
41,24,41,0
42,24,42,0
43,24,43,0
44,24,44,0
45,24,45,0
46,19,46,1
47,19,47,1
48,44,48,1
49,114,49,1
50,26,50,1
51,27,51,1
52,27,52,1
53,27,53,1
54,291,54,1
55,291,55,1
56,291,56,1
57,290,50,1
58,24,57,0
59,178,15,1
60,178,58,1
61,10,1,1
62,10,59,1
63,99,60,1
64,230,60,1
65,230,61,1
66,159,62,0
67,182,38,0
68,185,29,0
69,190,63,0
70,190,64,0
71,190,65,0
72,190,66,0
73,188,67,0
74,190,68,0
75,190,69,0
76,190,70,0
77,190,71,0
78,190,72,0
79,184,33,0
80,187,30,0
81,38,31,0
82,38,73,0
83,63,74,0
84,63,75,1
85,248,12,1
86,102,75,1
87,104,76,1
88,103,77,1
89,13,78,1
90,225,60,1
91,203,79,1
92,132,25,1
93,132,80,1
94,115,12,1
95,35,81,1
96,198,48,1
97,6,82,1
98,177,83,1
99,177,24,1
100,177,84,1
101,170,85,0
102,170,24,1
103,31,86,1
104,30,23,1
105,41,87,0
106,41,31,0
107,55,88,0
108,56,89,0
109,88,90,0
110,275,91,0
111,148,92,0
112,168,93,1
113,22,94,1
114,45,39,1
115,25,12,1
116,125,95,0
117,80,96,0
118,80,97,0
119,80,73,0
120,14,24,1
121,33,98,1
122,174,25,1
123,92,99,1
124,90,100,0
125,91,101,0
126,137,102,1
127,137,103,1
128,127,104,1
129,127,105,1
130,139,106,1
131,139,107,1
132,139,108,1
133,139,109,1
134,138,110,0
135,70,95,0
136,70,111,0
137,70,112,0
138,70,113,1
139,70,114,0
140,70,115,1
141,70,116,0
142,69,117,1
143,70,118,0
144,72,119,1
145,72,120,1
146,285,121,0
147,237,122,0
148,288,123,0
149,288,124,1
150,286,125,0
151,285,126,0
152,285,127,0
153,285,128,0
154,285,129,0
155,285,130,0
156,255,131,0
157,283,132,0
158,285,133,1
159,235,134,1
160,285,135,1
161,285,136,1
162,240,137,0
163,285,138,1
164,285,139,1
165,84,140,0
166,84,141,0
167,84,142,1
168,84,143,1
169,263,99,1
170,263,144,0
171,262,145,1
172,263,146,1
173,101,140,0
174,64,147,0
175,64,148,0
176,64,149,0
177,64,150,0
178,64,151,0
179,77,75,1
180,245,0,1
181,244,1,1
182,18,46,1
183,20,152,1
184,54,29,0
185,54,73,0
186,50,33,0
187,189,153,1
188,186,31,0
189,191,33,0
190,189,154,0
191,190,155,0
192,190,156,0
193,76,157,1
194,76,158,1
195,76,159,1
196,76,160,1
197,66,161,1
198,66,162,1
199,66,163,0
200,66,164,1
201,66,165,0
202,66,166,0
203,66,167,0
204,66,168,0
205,65,169,1
206,74,170,1
207,74,171,0
208,74,172,1
209,74,173,0
210,74,174,0
211,74,175,1
212,75,176,1
213,75,151,1
214,74,125,1
215,74,177,0
216,85,178,1
217,60,179,1
218,85,180,1
219,60,181,0
220,60,182,0
221,60,183,0
222,60,184,0
223,59,185,1
224,9,186,1
225,9,187,1
226,273,25,1
227,221,188,0
228,272,98,1
229,276,189,0
230,266,190,0
231,267,191,1
232,274,192,1
233,218,130,0
234,275,31,0
235,275,30,0
236,7,160,1
237,220,193,1
238,167,24,1
239,220,194,0
240,220,195,0
241,220,196,0
242,220,197,0
243,220,198,0
244,220,199,0
245,220,200,0
246,220,201,0
247,220,202,0
248,220,203,0
249,220,204,0
250,220,205,1
251,220,206,1
252,95,207,1
253,220,208,0
254,17,209,1
255,8,210,0
256,0,211,0
257,120,5,1
258,121,212,0
259,121,213,0
260,121,214,1
261,119,215,1
262,123,216,0
263,122,217,1
264,16,218,1
265,16,219,1
266,277,220,1
267,46,221,0
268,89,222,0
269,98,130,0
270,205,223,0
271,206,224,0
272,207,120,1
273,207,225,1
274,206,226,1
275,206,227,1
276,206,228,0
277,206,229,0
278,206,230,0
279,67,95,0
280,67,231,0
281,67,232,0
282,67,115,0
283,67,124,1
284,67,177,1
285,67,233,1
286,67,234,1
287,67,136,1
288,68,235,1
289,67,236,1
290,94,237,0
291,107,238,0
292,94,239,0
293,94,96,0
294,94,240,0
295,93,241,1
296,129,242,1
297,112,243,1
298,112,244,0
299,112,96,0
300,111,245,1
301,43,33,0
302,265,246,1
303,265,247,1
304,265,248,1
305,29,249,0
