Substrate_Index,Substrate_SMILES
0,COc1ccccc1O
1,COc1cccc(OC)c1O
2,CN[C@H](C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12)C(C)C
3,CC(C)[C@H](O)C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12
4,CC(C)[C@H](S)C(=O)N[C@H](CO)Cc1c[nH]c2cccc(F)c12
5,Cc1ccccc1
6,OCc1ccccc1
7,Cc1ccc(Cl)cc1
8,Cc1ccccc1Cl
9,Cc1ccc(Br)cc1
10,Cc1cccc(Cl)c1
11,CO[C@H]1C[C@H](C[C@H](C)[C@@H]2CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C/C=C(/C)[C@H](OC)C[C@H]3CC[C@H](C)[C@](O)(O3)C(=O)C(=O)N3CCCC[C@@H]3C(=O)O2)CC[C@H]1OCCO
12,CCCCCCCCCCCCCC(=O)O
13,CC[C@@H]1C[C@@H]2C[C@@H]3[C@H]4C/C=C\C(=O)NCC[C@H](O)[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4CC(=O)[C@H]3[C@@H]2[C@H]1C)C5=O
14,CC[C@@H]1C[C@@H]2C[C@@H]3[C@H]4C/C=C\C(=O)NCCC[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4C[C@H](O)[C@H]3[C@@H]2[C@H]1C)C5=O
15,CC[C@H]1[C@@H]2C=C[C@@H]3[C@H]4C/C=C\C(=O)NCCC[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4C[C@@H]3[C@H]2C[C@H]1C)C5=O
16,CC[C@H]1[C@H]2[C@H](C[C@H]1C)[C@H]1C[C@H]3/C=C/C(O)=C4/C(=O)N[C@@H](CCCNC(=O)/C=C\C[C@@H]3[C@H]1[C@@H]1O[C@@H]12)C4=O
17,O=C1N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]1Cc1ccc(O)cc1
18,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(OC(=O)CO)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
19,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3
20,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
21,CN[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12
22,CN[C@H](C(=O)N[C@H](CO)Cc1csc2ccccc12)C(C)C
23,CCCCCCCCCCCCCCCCCCCC(=O)O
24,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
25,CCCCCCCCCCCCCCCC(=O)O
26,C/C=C(\C)[C@H]1CC=C/C=C(\C)CC[C@@H](O)[C@@](C)(O)C(=S)/C=C2\N[C@@](C)(C3=N[C@@H](CS3)C(=O)O1)[C@@H](O)S2
27,COC(=O)[C@@H]1[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C\C=C(/C)C(=O)Nc2c(C)c(OC(C)=O)c3c(c(OC)c(C)c(O)c3c2O)C(=O)/C(C)=C/[C@@](C)(O)C(O)[C@@H](C)[C@H]1O
28,CS[C@H](Cc1c[nH]c2ccccc12)C(=O)O
29,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
30,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
31,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
32,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
33,CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
34,O=C(O[C@H](Cn1ccnc1)c1ccc(F)cc1)c1cccc(C(F)(F)F)c1
35,O=C(O[C@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1cccc(C(F)(F)F)c1
36,O=C(O[C@H](Cn1ccnc1)c1ccc(F)cc1)c1cc(Cl)cc(Cl)c1
37,O=C(N[C@@H](Cn1ccnc1)c1c(F)cc(-c2ccc(F)cc2)cc1F)c1ccc(-c2nnc(-c3ccccc3)o2)cc1
38,O=C(O)CCCCCCCCCCCO
39,CCCCCCCCCCCC(=O)O
40,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC1=O
41,COc1ccc2[nH]c3c(c2c1)CCNC3
42,NCc1c[nH]c2ccccc12
43,c1ccc2c3c([nH]c2c1)CNCC3
44,OB(O)c1cccnc1
45,NCc1ccc2[nH]ccc2c1
46,COc1cc(C=O)ccc1O
47,CCOc1ccccc1O
48,CCCCCCCC(=O)O
49,CCCCCCCC/C=C/CCCCCCCC(=O)O
50,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N2CCC[C@@H]12
51,O=C1N[C@@H](Cc2c[nH]c3cccc(F)c23)C(=O)N2CCC[C@@H]12
52,O=C1N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N2CCC[C@@H]12
53,O=C1N[C@@H](Cc2c[nH]c3c(F)cccc23)C(=O)N2CCC[C@@H]12
54,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H]1Cc1c[nH]c2ccccc12
55,CC(C)[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O
56,CC[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O
57,c1ccc(-c2c[nH]cn2)cc1
58,CC[C@@H]1C[C@@H]2C[C@@H]3C/C=C/CC(=O)NCCC[C@@H]4NC(=O)/C(=C(O)/C=C/C=C/[C@H](O)[C@H]3[C@@H]2[C@H]1C)C4=O
59,COc1cc(C)cc(OC)c1O
60,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
61,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C
62,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
63,CC(C)(C)[C@@](O)(CCc1ccc(Cl)cc1)Cn1cncn1
64,CC(C)(C)[C@](O)(CCc1ccc(Cl)cc1)Cn1cncn1
65,O[C@@](Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1
66,O[C@](Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1
67,O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl
68,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1
69,C[C@H]1CO[C@@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
70,C[C@H]1CO[C@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
71,C[C@@H]1CO[C@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
72,C[C@@H]1CO[C@@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
73,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1
