Dock Index,Enzyme Index,Substrate Index,Label
0,79,29,0
1,79,30,0
2,79,31,0
3,79,32,0
4,79,33,0
5,79,34,0
6,79,35,0
7,79,36,0
8,79,37,0
9,24,41,0
10,24,42,0
11,24,43,0
12,24,44,0
13,24,45,0
14,24,57,0
15,159,62,0
16,185,29,0
17,190,63,0
18,190,64,0
19,190,65,0
20,190,66,0
21,188,67,0
22,190,68,0
23,190,69,0
24,190,70,0
25,190,71,0
26,190,72,0
27,184,33,0
28,187,30,0
29,38,31,0
30,38,73,0
31,63,74,0
32,170,85,0
33,41,87,0
34,41,31,0
35,55,88,0
36,56,89,0
37,88,90,0
38,275,91,0
39,148,92,0
40,125,95,0
41,80,96,0
42,80,97,0
43,80,73,0
44,90,100,0
45,91,101,0
46,70,95,0
47,70,111,0
48,70,112,0
49,70,118,0
50,285,121,0
51,237,122,0
52,288,123,0
53,286,125,0
54,285,126,0
55,285,127,0
56,285,128,0
57,285,129,0
58,285,130,0
59,255,131,0
60,283,132,0
61,84,140,0
62,84,141,0
63,101,140,0
64,64,147,0
65,64,148,0
66,64,149,0
67,64,150,0
68,64,151,0
69,54,29,0
70,54,73,0
71,50,33,0
72,186,31,0
73,191,33,0
74,189,154,0
75,190,155,0
76,190,156,0
77,66,163,0
78,66,165,0
79,66,166,0
80,66,167,0
81,66,168,0
82,74,171,0
83,74,173,0
84,74,174,0
85,74,177,0
86,60,181,0
87,60,182,0
88,60,183,0
89,60,184,0
90,221,188,0
91,276,189,0
92,266,190,0
93,218,130,0
94,275,31,0
95,275,30,0
96,220,194,0
97,220,195,0
98,220,196,0
99,220,197,0
100,220,198,0
101,220,199,0
102,220,200,0
103,220,201,0
104,220,202,0
105,220,203,0
106,220,204,0
107,220,208,0
108,8,210,0
109,0,211,0
110,121,212,0
111,121,213,0
112,123,216,0
113,46,221,0
114,89,222,0
115,98,130,0
116,206,228,0
117,206,229,0
118,206,230,0
119,67,95,0
120,67,231,0
121,67,232,0
122,67,115,0
123,94,237,0
124,107,238,0
125,94,239,0
126,94,96,0
127,94,240,0
128,112,244,0
129,112,96,0
130,43,33,0
131,29,249,0
132,29,250,0
133,29,251,0
134,29,252,0
135,142,231,0
136,155,253,0
137,158,254,0
138,158,255,0
139,232,256,0
140,232,257,0
141,232,32,0
142,153,258,0
143,201,260,0
144,252,261,0
145,252,262,0
146,253,250,0
147,254,263,0
148,254,264,0
149,254,265,0
150,254,251,0
151,254,249,0
152,254,266,0
153,254,267,0
154,254,268,0
155,254,269,0
156,254,270,0
157,254,271,0
158,254,272,0
159,152,277,0
160,151,278,0
161,204,279,0
162,204,30,0
163,264,280,0
164,264,281,0
165,204,282,0
166,204,283,0
167,204,284,0
168,204,285,0
169,204,286,0
170,204,288,0
171,204,289,0
172,204,290,0
173,204,291,0
174,204,292,0
175,204,293,0
176,204,294,0
177,204,295,0
178,204,296,0
179,204,297,0
180,204,298,0
181,204,299,0
182,204,300,0
183,204,310,0
184,204,311,0
185,204,312,0
186,204,315,0
187,204,316,0
188,204,317,0
189,192,129,0
190,192,30,0
191,194,318,0
192,194,319,0
193,194,320,0
194,194,321,0
195,194,322,0
196,193,323,0
197,194,324,0
198,5,325,0
199,289,228,0
200,87,330,0
201,83,140,0
202,73,151,0
203,163,348,0
204,163,349,0
205,163,355,0
206,163,369,0
207,162,373,0
208,53,30,0
209,52,29,0
210,39,87,0
211,40,382,0
212,78,383,0
213,11,384,0
214,11,385,0
215,260,57,0
216,251,129,0
217,251,387,0
218,251,95,0
219,251,388,0
220,208,96,0
221,37,397,0
222,51,30,0
223,42,398,0
224,1,399,0
225,1,400,0
226,81,401,0
227,81,402,0
228,86,403,0
229,86,404,0
230,1,405,0
231,1,406,0
232,1,407,0
233,82,408,0
234,57,409,0
235,81,410,0
236,81,411,0
237,1,73,0
238,124,39,0
239,179,129,0
240,61,422,0
241,62,423,0
242,212,129,0
243,100,129,0
