Dock Index,Enzyme Index,Substrate Index,Label,score,logit,prob,Predicted,Error_Type
1,19,1,1,-0.7926159,-0.7926159,0.31160727,0,False Negative
2,131,2,1,-2.0328631,-2.0328631,0.11579545,0,False Negative
3,131,3,0,1.071197,1.071197,0.74482447,1,False Positive
4,131,4,1,-4.5435295,-4.5435295,0.0105238715,0,False Negative
11,200,11,1,-8.42633,-8.42633,0.00021897595,0,False Negative
12,133,12,1,-4.5319195,-4.5319195,0.010645458,0,False Negative
13,181,13,1,-6.0262165,-6.0262165,0.002408796,0,False Negative
14,181,14,1,-2.8802345,-2.8802345,0.053139336,0,False Negative
15,181,15,1,-4.031365,-4.031365,0.017440515,0,False Negative
17,242,17,1,-0.7176971,-0.7176971,0.3279003,0,False Negative
18,146,18,1,-4.3380804,-4.3380804,0.012893172,0,False Negative
19,47,19,1,-6.2780914,-6.2780914,0.001873463,0,False Negative
22,143,22,1,-3.4549499,-3.4549499,0.030621586,0,False Negative
23,97,23,1,-2.893657,-2.893657,0.052468013,0,False Negative
24,259,24,1,-3.2904642,-3.2904642,0.035899777,0,False Negative
25,175,25,1,-2.235112,-2.235112,0.096641436,0,False Negative
27,216,27,1,-10.630087,-10.630087,2.4176945e-05,0,False Negative
28,157,28,1,-5.1615763,-5.1615763,0.0056999805,0,False Negative
39,118,39,1,-4.375019,-4.375019,0.012431417,0,False Negative
40,24,40,1,-0.9676871,-0.9676871,0.27534175,0,False Negative
46,19,46,1,-0.45720774,-0.45720774,0.38764843,0,False Negative
47,19,47,1,-0.36231348,-0.36231348,0.41039965,0,False Negative
48,44,48,1,-3.5634892,-3.5634892,0.02755876,0,False Negative
49,114,49,1,-3.7589157,-3.7589157,0.022778068,0,False Negative
50,26,50,1,-5.585469,-5.585469,0.0037379658,0,False Negative
51,27,51,1,-7.4395485,-7.4395485,0.0005872054,0,False Negative
52,27,52,1,-3.9640777,-3.9640777,0.018631805,0,False Negative
53,27,53,1,-7.391695,-7.391695,0.0006159707,0,False Negative
54,291,54,1,-2.0869453,-2.0869453,0.110372156,0,False Negative
55,291,55,1,-2.7677174,-2.7677174,0.059093803,0,False Negative
56,291,56,1,-3.131904,-3.131904,0.041810267,0,False Negative
57,290,50,1,-5.149515,-5.149515,0.0057687457,0,False Negative
59,178,15,1,-3.0429242,-3.0429242,0.04552394,0,False Negative
60,178,58,1,-3.809479,-3.809479,0.021679314,0,False Negative
61,10,1,1,-0.7441321,-0.7441321,0.32210124,0,False Negative
62,10,59,1,-0.1759282,-0.1759282,0.45613104,0,False Negative
63,99,60,1,-6.682146,-6.682146,0.0012515176,0,False Negative
64,230,60,1,-6.367204,-6.367204,0.0017140099,0,False Negative
65,230,61,1,-3.4844916,-3.4844916,0.029756729,0,False Negative
84,63,75,1,-2.5691311,-2.5691311,0.0711517,0,False Negative
85,248,12,1,-3.769007,-3.769007,0.02255452,0,False Negative
86,102,75,1,-7.472707,-7.472707,0.0005680648,0,False Negative
87,104,76,1,-3.1844056,-3.1844056,0.039756805,0,False Negative
88,103,77,1,-2.991824,-2.991824,0.04779661,0,False Negative
89,13,78,1,-3.088226,-3.088226,0.043595538,0,False Negative
90,225,60,1,-6.582039,-6.582039,0.0013831069,0,False Negative
91,203,79,1,-2.7344663,-2.7344663,0.060969952,0,False Negative
92,132,25,1,-3.1586573,-3.1586573,0.04075151,0,False Negative
93,132,80,1,-5.1898966,-5.1898966,0.0055417013,0,False Negative
94,115,12,1,-3.862757,-3.862757,0.02057766,0,False Negative
95,35,81,1,-0.81347406,-0.81347406,0.3071507,0,False Negative
96,198,48,1,-3.5986745,-3.5986745,0.026631331,0,False Negative
97,6,82,1,-6.8950667,-6.8950667,0.0010117447,0,False Negative
98,177,83,1,-2.7575912,-2.7575912,0.059659354,0,False Negative
99,177,24,1,-4.0905757,-4.0905757,0.016454326,0,False Negative
100,177,84,1,-1.4772029,-1.4772029,0.18585028,0,False Negative
102,170,24,1,-3.6021168,-3.6021168,0.026542244,0,False Negative
103,31,86,1,-3.0980268,-3.0980268,0.043188725,0,False Negative
104,30,23,1,-2.5646517,-2.5646517,0.07144831,0,False Negative
112,168,93,1,-1.8056662,-1.8056662,0.14116272,0,False Negative
113,22,94,1,-3.9296656,-3.9296656,0.019271553,0,False Negative
114,45,39,1,-3.9742153,-3.9742153,0.018447343,0,False Negative
115,25,12,1,-3.0362337,-3.0362337,0.04581554,0,False Negative
120,14,24,1,-2.7518473,-2.7518473,0.059982408,0,False Negative
121,33,98,1,-7.0089335,-7.0089335,0.0009029558,0,False Negative
122,174,25,1,-4.6195235,-4.6195235,0.00976127,0,False Negative
123,92,99,1,-5.554722,-5.554722,0.003854232,0,False Negative
128,127,104,1,-2.0790877,-2.0790877,0.11114606,0,False Negative
129,127,105,1,-1.8640078,-1.8640078,0.13423659,0,False Negative
132,139,108,1,-6.461218,-6.461218,0.0015604523,0,False Negative
134,138,110,0,1.6857512,1.6857512,0.8436646,1,False Positive
138,70,113,1,-6.0088196,-6.0088196,0.0024509646,0,False Negative
140,70,115,1,-3.3236063,-3.3236063,0.034770176,0,False Negative
142,69,117,1,-1.673506,-1.673506,0.1579573,0,False Negative
144,72,119,1,-11.818257,-11.818257,7.368734e-06,0,False Negative
145,72,120,1,-3.6402354,-3.6402354,0.02557492,0,False Negative
148,288,123,0,0.11747266,0.11747266,0.5293344,1,False Positive
149,288,124,1,-4.50161,-4.50161,0.010969464,0,False Negative
156,255,131,0,1.7056265,1.7056265,0.8462682,1,False Positive
159,235,134,1,-1.5427864,-1.5427864,0.17613058,0,False Negative
160,285,135,1,-0.3408838,-0.3408838,0.41559482,0,False Negative
161,285,136,1,-3.1743767,-3.1743767,0.04014144,0,False Negative
164,285,139,1,-3.5386012,-3.5386012,0.028233642,0,False Negative
167,84,142,1,-7.3628154,-7.3628154,0.0006340076,0,False Negative
168,84,143,1,-8.767586,-8.767586,0.00015567479,0,False Negative
169,263,99,1,-1.4809841,-1.4809841,0.18527882,0,False Negative
171,262,145,1,-1.7951248,-1.7951248,0.14244556,0,False Negative
172,263,146,1,-2.5291917,-2.5291917,0.0738369,0,False Negative
179,77,75,1,-2.3358767,-2.3358767,0.08819494,0,False Negative
181,244,1,1,-0.6763049,-0.6763049,0.33708653,0,False Negative
182,18,46,1,-0.3451268,-0.3451268,0.41456464,0,False Negative
183,20,152,1,-1.0767031,-1.0767031,0.25413042,0,False Negative
187,189,153,1,-4.523097,-4.523097,0.010738779,0,False Negative
193,76,157,1,-11.429797,-11.429797,1.0866694e-05,0,False Negative
194,76,158,1,-5.4172144,-5.4172144,0.004419874,0,False Negative
195,76,159,1,-6.4764047,-6.4764047,0.0015369692,0,False Negative
196,76,160,1,-6.1614604,-6.1614604,0.0021047315,0,False Negative
197,66,161,1,-5.9951215,-5.9951215,0.0024846853,0,False Negative
198,66,162,1,-4.490686,-4.490686,0.011088613,0,False Negative
200,66,164,1,-3.1982908,-3.1982908,0.039230093,0,False Negative
205,65,169,1,-7.5804014,-7.5804014,0.00051009597,0,False Negative
206,74,170,1,-3.8900743,-3.8900743,0.020034252,0,False Negative
208,74,172,1,-9.023915,-9.023915,0.000120478915,0,False Negative
211,74,175,1,-7.3356857,-7.3356857,0.0006514321,0,False Negative
212,75,176,1,-2.7082207,-2.7082207,0.06249001,0,False Negative
213,75,151,1,-10.207307,-10.207307,3.689835e-05,0,False Negative
214,74,125,1,-6.678808,-6.678808,0.0012556968,0,False Negative
216,85,178,1,-6.0813828,-6.0813828,0.0022798055,0,False Negative
217,60,179,1,-4.289535,-4.289535,0.013525842,0,False Negative
218,85,180,1,-7.8517566,-7.8517566,0.00038891664,0,False Negative
223,59,185,1,-7.782626,-7.782626,0.0004167421,0,False Negative
224,9,186,1,-2.5097234,-2.5097234,0.07517934,0,False Negative
225,9,187,1,-0.37042117,-0.37042117,0.40843925,0,False Negative
226,273,25,1,-2.3229215,-2.3229215,0.08924232,0,False Negative
228,272,98,1,-3.103902,-3.103902,0.042946585,0,False Negative
231,267,191,1,-1.337704,-1.337704,0.2078879,0,False Negative
232,274,192,1,-5.4151306,-5.4151306,0.004429053,0,False Negative
236,7,160,1,-7.188092,-7.188092,0.0007549587,0,False Negative
238,167,24,1,-0.2067704,-0.2067704,0.4484908,0,False Negative
250,220,205,1,-1.2344383,-1.2344383,0.22540556,0,False Negative
251,220,206,1,-0.28239536,-0.28239536,0.4298666,0,False Negative
252,95,207,1,-1.5245836,-1.5245836,0.17878756,0,False Negative
254,17,209,1,-2.2713203,-2.2713203,0.093526214,0,False Negative
257,120,5,1,-2.4580498,-2.4580498,0.07885187,0,False Negative
260,121,214,1,-2.863363,-2.863363,0.053994663,0,False Negative
261,119,215,1,-2.413126,-2.413126,0.08217724,0,False Negative
263,122,217,1,-2.341947,-2.341947,0.087708,0,False Negative
266,277,220,1,-0.5246032,-0.5246032,0.3717765,0,False Negative
272,207,120,1,-0.8766993,-0.8766993,0.29386222,0,False Negative
273,207,225,1,-2.152319,-2.152319,0.104114726,0,False Negative
274,206,226,1,-1.9402742,-1.9402742,0.12561773,0,False Negative
275,206,227,1,-1.2175909,-1.2175909,0.22836068,0,False Negative
284,67,177,1,-2.7482803,-2.7482803,0.060183845,0,False Negative
285,67,233,1,-1.4483874,-1.4483874,0.19024988,0,False Negative
286,67,234,1,-3.9252634,-3.9252634,0.01935493,0,False Negative
287,67,136,1,-0.11087047,-0.11087047,0.47231075,0,False Negative
288,68,235,1,-4.4395313,-4.4395313,0.011663818,0,False Negative
296,129,242,1,-0.6729244,-0.6729244,0.33784232,0,False Negative
297,112,243,1,-4.431075,-4.431075,0.0117617035,0,False Negative
300,111,245,1,-3.81059,-3.81059,0.021655763,0,False Negative
308,142,60,1,-7.0428877,-7.0428877,0.0008728377,0,False Negative
310,142,231,0,0.7709826,0.7709826,0.6837334,1,False Positive
312,158,254,0,2.284248,2.284248,0.90756404,1,False Positive
317,154,60,1,-6.624198,-6.624198,0.0013260841,0,False Negative
336,151,273,1,-1.9222665,-1.9222665,0.12760904,0,False Negative
337,152,60,1,-5.948881,-5.948881,0.0026019698,0,False Negative
339,151,275,1,-5.992324,-5.992324,0.002491629,0,False Negative
340,151,276,1,-0.14418934,-0.14418934,0.46401498,0,False Negative
345,204,17,1,-0.42041925,-0.42041925,0.39641643,0,False Negative
353,264,287,1,-1.145927,-1.145927,0.24123383,0,False Negative
367,204,301,1,-0.89090216,-0.89090216,0.29092368,0,False Negative
368,204,302,1,-0.8054193,-0.8054193,0.30886745,0,False Negative
369,204,303,1,-0.55581874,-0.55581874,0.36451548,0,False Negative
370,204,304,1,-0.49685758,-0.49685758,0.37827942,0,False Negative
371,204,305,1,-0.27576905,-0.27576905,0.43149135,0,False Negative
372,204,306,1,-4.2369447,-4.2369447,0.0142458035,0,False Negative
373,204,307,1,-1.3044838,-1.3044838,0.21341138,0,False Negative
374,204,308,1,-1.0383894,-1.0383894,0.26146087,0,False Negative
375,204,309,1,-0.5075345,-0.5075345,0.37577167,0,False Negative
379,264,313,1,-0.4037663,-0.4037663,0.4004078,0,False Negative
380,264,314,1,-0.25517887,-0.25517887,0.43654922,0,False Negative
387,194,319,0,0.8292351,0.8292351,0.69619316,1,False Positive
391,193,323,0,1.6304816,1.6304816,0.8362356,1,False Positive
394,5,259,1,-5.715726,-5.715726,0.0032829456,0,False Negative
396,247,326,1,-0.74372405,-0.74372405,0.32219034,0,False Negative
397,149,327,1,-1.600322,-1.600322,0.16793661,0,False Negative
398,149,328,1,-1.7397367,-1.7397367,0.14934638,0,False Negative
402,73,331,1,-4.7479525,-4.7479525,0.008594915,0,False Negative
404,73,125,1,-6.3459325,-6.3459325,0.0017507959,0,False Negative
405,73,332,1,-5.2842093,-5.2842093,0.005045455,0,False Negative
406,160,333,1,-5.2941537,-5.2941537,0.0049957787,0,False Negative
407,130,134,1,-0.7244339,-0.7244339,0.32641736,0,False Negative
409,135,134,1,-1.2166318,-1.2166318,0.22852974,0,False Negative
411,163,334,1,-3.3461192,-3.3461192,0.034022477,0,False Negative
412,163,335,1,-1.8015319,-1.8015319,0.14166468,0,False Negative
413,279,336,1,-1.863917,-1.863917,0.13424715,0,False Negative
414,279,337,1,-1.356972,-1.356972,0.20473288,0,False Negative
416,279,339,1,-0.4639988,-0.4639988,0.38603762,0,False Negative
417,279,340,1,-4.8365507,-4.8365507,0.0078719165,0,False Negative
418,279,341,1,-2.6290302,-2.6290302,0.067293294,0,False Negative
419,163,342,1,-0.12125413,-0.12125413,0.46972355,0,False Negative
420,163,343,1,-3.7879403,-3.7879403,0.022140874,0,False Negative
421,163,344,1,-2.3785357,-2.3785357,0.08482417,0,False Negative
422,163,345,1,-1.1434718,-1.1434718,0.2416835,0,False Negative
423,163,346,1,-0.97256106,-0.97256106,0.2743703,0,False Negative
424,163,347,1,-0.38201502,-0.38201502,0.405641,0,False Negative
427,163,350,1,-1.6627705,-1.6627705,0.15939043,0,False Negative
428,279,351,1,-1.2818358,-1.2818358,0.21723789,0,False Negative
429,278,352,1,-1.9758133,-1.9758133,0.12176585,0,False Negative
430,163,353,1,-3.2205546,-3.2205546,0.038399503,0,False Negative
431,163,354,1,-4.720364,-4.720364,0.008833212,0,False Negative
433,163,356,1,-2.9709196,-2.9709196,0.048757054,0,False Negative
434,163,328,1,-2.9771273,-2.9771273,0.048469946,0,False Negative
435,163,357,1,-1.1733377,-1.1733377,0.2362522,0,False Negative
436,164,358,1,-2.635541,-2.635541,0.0668858,0,False Negative
437,162,359,1,-3.585807,-3.585807,0.026966922,0,False Negative
438,280,360,1,-3.5867445,-3.5867445,0.026942333,0,False Negative
439,163,361,1,-4.9796605,-4.9796605,0.0068294345,0,False Negative
440,163,362,1,-0.40000623,-0.40000623,0.40131083,0,False Negative
441,163,363,1,-4.1330895,-4.1330895,0.015780257,0,False Negative
442,163,364,1,-4.74151,-4.74151,0.008649986,0,False Negative
443,163,365,1,-3.2549531,-3.2549531,0.03714931,0,False Negative
444,163,366,1,-5.0164065,-5.0164065,0.0065846574,0,False Negative
445,163,367,1,-2.4403677,-2.4403677,0.0801458,0,False Negative
446,163,368,1,-3.4848392,-3.4848392,0.029746693,0,False Negative
448,279,370,1,-3.832767,-3.832767,0.021190854,0,False Negative
450,116,372,0,0.4535976,0.4535976,0.61149424,1,False Positive
452,162,374,1,-2.5000656,-2.5000656,0.075853586,0,False Negative
453,163,375,1,-5.448535,-5.448535,0.0042841705,0,False Negative
454,163,376,1,-0.27262717,-0.27262717,0.43226224,0,False Negative
455,163,377,1,-5.300874,-5.300874,0.004962483,0,False Negative
458,163,327,1,-2.30683,-2.30683,0.09055889,0,False Negative
459,161,380,1,-0.47848344,-0.47848344,0.3826103,0,False Negative
463,12,381,1,-6.099863,-6.099863,0.0022381544,0,False Negative
468,105,386,1,-1.7605706,-1.7605706,0.14671889,0,False Negative
475,144,390,1,-0.7132477,-0.7132477,0.32888162,0,False Negative
476,144,391,1,-3.276675,-3.276675,0.0363801,0,False Negative
478,208,392,1,-1.9237133,-1.9237133,0.12744805,0,False Negative
479,34,326,1,-1.2109901,-1.2109901,0.22952591,0,False Negative
480,23,24,1,-5.4898605,-5.4898605,0.004111446,0,False Negative
481,256,393,1,-2.9823885,-2.9823885,0.048227873,0,False Negative
482,166,394,1,-3.0068693,-3.0068693,0.047116503,0,False Negative
483,172,395,1,-3.8376973,-3.8376973,0.021088833,0,False Negative
484,172,75,1,-4.22888,-4.22888,0.0143595,0,False Negative
485,172,259,1,-2.9399393,-2.9399393,0.05021417,0,False Negative
486,171,396,1,-0.7845062,-0.7845062,0.31334952,0,False Negative
487,134,24,1,-5.144707,-5.144707,0.0057963873,0,False Negative
488,196,153,1,-2.6926663,-2.6926663,0.06340749,0,False Negative
489,234,327,1,-3.0760818,-3.0760818,0.04410471,0,False Negative
505,81,411,0,0.5173553,0.5173553,0.62652916,1,False Positive
507,2,120,1,-1.137016,-1.137016,0.24286863,0,False Negative
508,96,80,1,-6.679188,-6.679188,0.0012552208,0,False Negative
509,145,24,1,-2.2393165,-2.2393165,0.096274994,0,False Negative
510,243,259,1,-1.9228746,-1.9228746,0.12754136,0,False Negative
512,147,412,1,-1.5180769,-1.5180769,0.17974488,0,False Negative
513,281,413,1,-5.5627174,-5.5627174,0.0038236554,0,False Negative
514,156,414,1,-6.0529504,-6.0529504,0.0023454018,0,False Negative
515,156,415,1,-4.287883,-4.287883,0.013547906,0,False Negative
516,109,416,1,-0.11604945,-0.11604945,0.47102016,0,False Negative
517,109,417,1,-0.50059336,-0.50059336,0.37740123,0,False Negative
518,180,418,1,-3.724845,-3.724845,0.023548914,0,False Negative
522,21,421,1,-2.9866476,-2.9866476,0.04803275,0,False Negative
526,183,425,1,-8.609911,-8.609911,0.00018225692,0,False Negative
528,210,426,1,-2.4059558,-2.4059558,0.08271966,0,False Negative
529,214,427,1,-5.915043,-5.915043,0.0026912815,0,False Negative
530,228,428,1,-3.990628,-3.990628,0.018152494,0,False Negative
532,229,430,1,-2.060791,-2.060791,0.112966545,0,False Negative
535,141,432,1,-0.0005763471,-0.0005763471,0.4998559,0,False Negative
536,217,433,1,-2.6851146,-2.6851146,0.06385744,0,False Negative
537,32,434,1,-10.96724,-10.96724,1.7257606e-05,0,False Negative
538,113,435,1,-1.9896992,-1.9896992,0.120288685,0,False Negative
