Dock_Index,success,error,protein_atoms,n_atom,n_hetatm,n_heme_atoms,n_fe_atoms
0,True,,344,301,43,43,1
1,True,,373,330,43,43,1
2,True,,442,399,43,43,1
3,True,,440,397,43,43,1
4,True,,441,398,43,43,1
5,True,,323,280,43,43,1
6,True,,328,285,43,43,1
7,True,,343,300,43,43,1
8,True,,329,286,43,43,1
9,True,,348,305,43,43,1
10,True,,348,305,43,43,1
11,True,,614,528,86,86,2
12,True,,468,425,43,43,1
13,True,,682,596,86,86,2
14,True,,682,596,86,86,2
15,True,,672,586,86,86,2
16,True,,665,579,86,86,2
17,True,,490,404,86,86,2
18,True,,429,386,43,43,1
19,True,,523,480,43,43,1
20,True,,386,343,43,43,1
21,True,,524,438,86,86,2
22,True,,493,407,86,86,2
23,True,,671,585,86,86,2
24,True,,423,380,43,43,1
25,True,,543,457,86,86,2
27,True,,509,424,85,85,2
28,True,,442,399,43,43,1
29,True,,629,586,43,43,1
30,True,,418,375,43,43,1
31,True,,450,407,43,43,1
32,True,,611,568,43,43,1
33,True,,631,588,43,43,1
34,True,,497,454,43,43,1
35,True,,510,467,43,43,1
36,True,,494,451,43,43,1
38,True,,435,392,43,43,1
39,True,,480,394,86,86,2
40,True,,476,433,43,43,1
41,True,,412,369,43,43,1
42,True,,364,321,43,43,1
43,True,,399,356,43,43,1
44,True,,343,300,43,43,1
45,True,,372,329,43,43,1
46,True,,389,346,43,43,1
47,True,,367,324,43,43,1
48,True,,323,280,43,43,1
49,True,,568,525,43,43,1
50,True,,499,456,43,43,1
51,True,,438,395,43,43,1
52,True,,440,397,43,43,1
53,True,,449,406,43,43,1
54,True,,489,403,86,86,2
55,True,,432,389,43,43,1
56,True,,424,381,43,43,1
57,True,,434,391,43,43,1
58,True,,324,281,43,43,1
59,True,,589,546,43,43,1
60,True,,514,471,43,43,1
61,True,,383,340,43,43,1
62,True,,411,368,43,43,1
63,True,,606,434,172,172,4
64,True,,615,443,172,172,4
65,True,,528,442,86,86,2
66,True,,447,404,43,43,1
67,True,,481,395,86,86,2
68,True,,617,574,43,43,1
