Dock_Index,success,error,protein_atoms,n_atom,n_hetatm,n_heme_atoms,n_fe_atoms
0,True,,64,64,0,0,0
1,True,,70,70,0,0,0
2,True,,100,100,0,0,0
3,True,,97,97,0,0,0
4,True,,94,94,0,0,0
5,True,,48,48,0,0,0
6,True,,47,47,0,0,0
7,True,,59,59,0,0,0
8,True,,51,51,0,0,0
9,True,,61,61,0,0,0
10,True,,58,58,0,0,0
11,True,,120,120,0,0,0
12,True,,110,110,0,0,0
13,True,,169,169,0,0,0
14,True,,165,165,0,0,0
15,True,,163,163,0,0,0
16,True,,163,163,0,0,0
17,True,,88,88,0,0,0
18,True,,93,93,0,0,0
19,True,,120,120,0,0,0
20,True,,81,81,0,0,0
21,True,,104,104,0,0,0
22,True,,95,95,0,0,0
23,True,,137,137,0,0,0
24,True,,82,82,0,0,0
25,True,,112,112,0,0,0
27,True,,109,109,0,0,0
28,True,,100,100,0,0,0
29,True,,161,161,0,0,0
30,True,,78,78,0,0,0
31,True,,90,90,0,0,0
32,True,,138,138,0,0,0
33,True,,173,173,0,0,0
34,True,,113,113,0,0,0
35,True,,118,118,0,0,0
36,True,,101,101,0,0,0
38,True,,87,87,0,0,0
39,True,,86,86,0,0,0
40,True,,103,103,0,0,0
41,True,,83,83,0,0,0
42,True,,70,70,0,0,0
43,True,,73,73,0,0,0
44,True,,48,48,0,0,0
45,True,,74,74,0,0,0
46,True,,66,66,0,0,0
47,True,,71,71,0,0,0
48,True,,55,55,0,0,0
49,True,,118,118,0,0,0
50,True,,116,116,0,0,0
51,True,,95,95,0,0,0
52,True,,102,102,0,0,0
53,True,,97,97,0,0,0
54,True,,90,90,0,0,0
55,True,,100,100,0,0,0
56,True,,96,96,0,0,0
57,True,,96,96,0,0,0
58,True,,49,49,0,0,0
59,True,,143,143,0,0,0
60,True,,108,108,0,0,0
61,True,,69,69,0,0,0
62,True,,72,72,0,0,0
63,True,,102,102,0,0,0
64,True,,108,108,0,0,0
65,True,,110,110,0,0,0
66,True,,79,79,0,0,0
67,True,,89,89,0,0,0
68,True,,172,172,0,0,0
69,True,,76,76,0,0,0
70,True,,81,81,0,0,0
