dock_index,status,affinity,pocket_atoms,fe_distance,runtime_sec,error
0,success,-6.415,364,3.26,7.7,
1,success,-5.483,410,9.27,10.2,
2,success,-8.706,475,3.31,71.5,
3,success,-8.755,461,3.87,67.5,
4,success,-6.181,344,3.36,4.2,
5,success,-6.710,350,3.71,5.2,
6,success,-6.309,347,5.58,5.0,
7,success,-6.809,353,3.52,5.1,
8,success,-6.313,342,4.09,4.9,
9,failed,,0,,300.3,Docking: Vina timed out after 300s
10,success,-6.889,456,2.66,75.6,
11,failed,,0,,300.4,Docking: Vina timed out after 300s
12,success,-9.993,603,3.21,280.4,
13,success,-7.920,588,3.45,251.2,
14,success,-9.355,488,4.22,64.9,
15,failed,,0,,300.3,Docking: Vina timed out after 300s
16,success,-10.820,492,3.14,20.2,
17,success,-6.961,447,2.79,71.7,
18,success,-9.178,490,3.19,109.2,
19,success,-8.179,469,4.04,70.3,
20,success,-7.304,569,2.78,180.9,
21,success,-10.090,440,3.29,10.8,
22,success,-7.217,549,2.91,88.1,
23,failed,,0,,300.2,Docking: Vina timed out after 300s
24,failed,,0,,303.7,Docking: Vina timed out after 300s
25,success,-7.915,411,3.40,24.1,
35,success,-5.624,449,3.49,54.2,
36,success,-7.333,450,3.54,18.2,
42,success,-4.983,394,3.60,12.1,
43,success,-6.938,390,2.10,8.5,
44,success,-5.726,360,2.82,20.5,
45,success,-7.765,529,3.60,129.3,
46,success,-10.330,473,4.14,24.8,
47,success,-10.380,478,4.00,27.9,
48,success,-10.650,480,4.23,25.6,
49,success,-10.460,477,4.23,27.2,
50,success,-10.870,532,3.96,92.8,
51,success,-8.666,467,3.99,37.6,
52,success,-8.408,433,3.98,32.3,
53,success,-10.320,474,4.14,25.2,
55,success,4.840,578,3.98,210.5,
56,failed,,0,,300.2,Docking: Vina timed out after 300s
57,success,-6.220,410,3.00,9.3,
58,success,-6.861,439,2.76,10.5,
59,success,-6.655,329,8.26,78.1,
60,success,-0.399,544,2.50,75.2,
61,success,3.519,563,10.15,127.5,
79,success,-9.324,470,3.36,20.9,
80,success,-5.478,430,3.31,80.9,
81,success,-12.450,504,3.67,15.5,
82,success,-6.765,495,4.04,69.6,
83,success,-6.489,470,3.44,52.4,
84,success,-4.140,550,2.92,79.7,
85,success,-6.892,439,10.02,80.7,
86,success,-8.194,501,3.49,24.5,
87,success,-6.994,485,3.50,96.5,
88,success,-7.417,515,3.42,120.1,
89,success,-6.828,427,2.96,78.5,
90,success,-7.840,397,3.61,22.2,
91,success,-4.919,402,4.62,19.6,
92,success,-8.137,557,2.21,76.4,
93,success,-5.403,357,4.05,10.3,
94,success,-8.990,459,4.42,12.2,
95,success,-6.535,410,3.20,18.5,
97,success,-9.196,411,4.77,12.9,
98,success,-8.583,556,3.14,125.1,
99,success,-7.550,559,2.63,165.7,
107,success,-5.176,348,4.34,20.0,
108,failed,,0,,300.3,Docking: Vina timed out after 300s
109,success,-6.882,470,5.67,50.7,
110,success,-7.223,467,2.92,66.4,
115,success,-9.435,376,2.67,11.7,
116,success,-7.994,549,3.24,94.1,
117,success,-7.313,530,2.53,109.4,
118,success,-11.550,564,3.69,59.3,
121,failed,,0,,300.1,Docking: Vina timed out after 300s
122,failed,,0,,300.1,Docking: Vina timed out after 300s
123,success,-5.496,491,3.05,219.1,
124,success,-4.752,485,3.67,198.6,
125,success,-5.383,525,2.58,261.9,
126,failed,,0,,300.1,Docking: Vina timed out after 300s
127,success,-4.361,492,3.52,203.1,
128,failed,,0,,300.1,Docking: Vina timed out after 300s
132,success,-7.611,424,4.53,16.4,
133,success,-4.770,309,9.24,112.4,
134,success,-8.007,479,3.49,42.0,
136,success,-7.494,530,3.92,48.3,
137,success,-7.802,458,3.65,37.6,
141,success,-7.583,389,3.71,4.8,
150,success,-6.830,340,2.89,4.4,
151,success,-7.904,384,3.99,5.1,
152,success,-7.428,359,3.94,5.3,
153,success,-6.834,350,2.84,4.4,
154,success,-5.513,326,4.45,4.2,
155,success,-7.002,367,3.87,4.9,
158,success,-9.325,607,3.87,156.7,
159,success,-11.670,570,4.74,68.6,
160,success,-8.593,570,3.10,77.4,
161,success,-8.668,602,3.46,101.3,
162,success,-10.580,574,3.76,87.1,
169,success,-10.080,475,2.96,24.6,
170,success,-6.049,372,3.39,7.4,
171,success,-6.318,398,3.44,10.2,
172,success,-7.119,393,3.00,10.5,
173,success,-6.387,387,3.68,12.3,
177,success,-8.211,629,4.14,78.3,
183,success,-8.090,471,3.38,61.2,
184,failed,,0,,300.1,Docking: Vina timed out after 300s
185,success,-7.256,441,4.30,69.6,
186,success,-9.478,493,4.81,154.9,
187,success,-7.086,516,2.84,64.7,
188,success,-7.256,478,6.03,39.1,
195,success,-7.143,517,2.74,114.6,
196,success,-8.345,363,3.86,5.9,
198,success,-7.426,452,2.63,18.8,
201,success,-6.733,416,2.81,17.2,
202,success,-6.890,451,3.81,14.0,
203,success,-8.271,421,2.34,16.0,
204,success,-7.744,405,3.32,8.6,
206,success,-7.393,462,3.53,46.0,
207,success,-7.716,421,3.74,27.2,
208,success,-8.427,468,6.31,93.6,
213,success,-9.133,532,2.19,149.1,
214,success,-7.048,542,4.78,178.6,
215,success,-6.191,618,4.76,266.7,
216,success,-6.503,514,3.15,120.5,
218,success,-5.666,453,7.19,101.9,
221,success,-5.309,342,4.32,5.6,
222,success,-7.864,536,4.37,71.5,
226,success,-6.793,311,7.74,154.7,
227,success,-6.844,397,7.64,117.7,
228,success,-10.490,484,3.48,13.1,
240,success,-5.152,502,3.67,268.7,
241,success,-4.942,372,8.22,96.0,
244,success,-5.610,337,3.05,6.3,
247,success,-5.409,316,2.81,4.3,
250,success,-6.195,367,3.18,5.9,
251,success,-5.556,358,4.44,8.1,
253,success,-6.330,350,3.33,4.3,
254,success,-5.780,377,4.28,27.0,
255,success,-6.831,398,3.43,18.9,
256,success,-7.592,485,2.63,59.1,
260,success,-7.147,414,4.30,40.4,
261,success,-7.962,428,3.06,40.9,
262,success,-7.690,539,2.86,226.0,
263,success,-8.288,575,4.60,250.5,
271,success,-6.969,370,5.01,4.5,
272,success,-6.704,375,6.03,6.0,
273,success,-7.254,372,6.48,4.6,
274,success,-7.460,365,5.01,5.1,
275,success,-6.891,357,5.72,4.4,
276,success,-7.383,381,5.55,7.1,
277,success,-8.538,496,3.49,21.6,
283,success,-8.801,483,3.52,37.2,
284,success,-6.937,370,3.53,9.2,
285,failed,,0,,300.1,Docking: Vina timed out after 300s
288,failed,,0,,300.1,Docking: Vina timed out after 300s
290,failed,,0,,300.1,Docking: Vina timed out after 300s
291,failed,,0,,300.1,Docking: Vina timed out after 300s
292,failed,,0,,300.1,Docking: Vina timed out after 300s
296,success,-4.980,301,9.66,76.7,
305,success,-8.054,570,3.83,76.8,
307,success,-6.525,235,8.53,12.6,
324,success,-7.494,547,5.49,156.6,
325,success,-8.332,481,8.38,77.7,
326,success,-10.350,595,2.63,114.1,
327,success,-9.808,616,3.22,121.1,
328,success,-8.646,516,7.09,131.4,
333,success,-9.237,464,3.07,69.8,
341,success,-9.288,499,3.77,62.1,
355,success,-9.464,468,3.24,74.6,
356,success,-9.631,464,3.33,79.5,
357,success,-9.477,498,6.33,75.4,
358,success,-9.534,481,3.72,88.5,
359,success,-9.300,515,5.40,74.9,
360,success,-9.349,468,3.54,82.3,
361,success,-9.056,476,4.19,68.6,
362,success,-9.411,460,3.70,72.7,
363,success,-9.772,503,4.29,74.7,
367,success,-9.390,535,5.22,66.0,
368,success,-9.077,530,3.72,100.7,
382,success,-9.533,458,6.47,9.5,
384,success,-6.519,546,3.59,277.5,
385,success,-7.089,391,3.12,10.5,
386,success,-8.034,397,3.04,10.9,
387,success,-6.314,416,3.36,14.8,
390,success,-7.581,341,10.49,4.8,
392,success,-6.855,401,4.97,8.4,
393,success,-7.101,432,2.79,27.1,
394,success,-7.214,392,3.60,12.2,
395,success,-6.471,337,2.66,5.2,
396,success,-8.195,388,3.20,5.3,
397,success,-5.244,415,3.53,15.2,
398,success,-7.355,385,4.17,11.5,
399,success,-7.650,387,4.48,13.4,
400,success,-7.937,415,2.58,12.1,
401,success,-7.746,410,2.46,13.1,
402,success,-7.497,394,2.93,10.7,
403,success,-8.540,410,3.08,13.9,
404,success,-5.321,477,2.07,40.5,
405,success,-5.977,412,4.30,16.3,
406,success,-7.470,388,3.40,11.3,
407,success,-6.774,388,3.02,10.6,
408,success,-7.699,375,4.29,10.2,
409,success,-7.841,375,3.65,8.9,
410,success,-7.316,386,3.39,10.5,
411,success,-7.719,416,2.64,14.1,
414,success,-7.247,417,3.17,16.6,
415,success,-8.268,433,2.32,14.4,
416,success,-8.177,396,3.07,12.1,
417,success,-5.615,439,3.94,18.1,
418,success,-4.691,226,8.86,21.3,
420,success,-7.841,421,2.88,13.8,
421,success,-8.192,397,2.77,11.5,
422,success,-4.999,443,3.22,23.3,
423,success,-10.250,445,3.80,15.3,
424,success,-7.770,421,4.33,13.3,
425,success,-7.374,388,2.57,11.1,
426,success,-6.712,424,3.26,16.7,
427,success,-4.398,190,9.01,19.0,
428,success,-6.755,354,4.31,9.8,
429,success,-7.587,352,4.44,9.0,
430,success,-7.360,354,4.37,9.5,
431,success,-7.799,383,3.49,10.5,
432,success,-7.037,403,3.25,14.3,
433,success,-7.511,403,3.18,14.1,
435,success,-7.577,436,2.62,18.0,
437,success,-9.476,470,4.38,22.7,
438,success,-7.384,422,2.80,16.2,
439,success,-7.696,425,3.21,17.3,
440,success,-8.859,397,3.23,17.7,
441,success,-7.447,385,3.06,11.4,
442,success,-9.343,409,3.00,13.2,
446,success,-11.420,604,5.42,134.1,
451,success,-6.043,461,3.87,147.9,
457,failed,,0,,300.1,Docking: Vina timed out after 300s
458,failed,,0,,300.1,Docking: Vina timed out after 300s
460,success,-6.169,492,3.44,237.3,
461,success,-6.661,531,3.39,277.6,
462,success,-9.631,453,3.42,13.0,
463,success,-9.649,526,3.10,62.8,
464,success,-10.810,551,3.36,56.1,
465,success,-11.550,493,3.68,20.0,
466,success,-11.500,490,3.87,16.3,
467,success,-11.690,439,3.89,10.2,
468,success,-11.050,437,3.36,9.5,
469,success,-10.410,454,4.02,12.4,
470,success,-4.329,496,5.57,82.4,
471,success,-7.445,385,3.09,10.2,
489,success,-7.094,413,2.67,35.6,
490,success,-6.551,490,3.01,102.3,
491,success,-10.530,464,4.06,13.6,
492,success,-9.127,418,4.57,12.6,
494,failed,,0,,300.1,Docking: Vina timed out after 300s
495,success,-8.525,406,3.10,16.4,
496,success,-8.735,435,2.93,17.9,
497,success,-7.606,417,4.17,18.6,
498,success,-9.524,536,4.16,87.7,
499,success,-11.230,518,3.57,87.2,
500,failed,,0,,300.1,Docking: Vina timed out after 300s
502,success,-5.649,319,8.32,38.4,
505,failed,,0,,300.1,Docking: Vina timed out after 300s
507,success,-7.925,349,5.72,13.3,
508,success,-7.238,329,3.51,8.2,
509,failed,,0,,300.1,Docking: Vina timed out after 300s
510,success,-7.158,347,4.51,19.3,
512,failed,,0,,300.1,Docking: Vina timed out after 300s
513,success,-8.714,511,3.97,149.4,
514,success,-7.274,273,7.31,81.1,
515,success,-8.878,533,3.73,103.4,
1000,success,-5.557,321,3.64,7.2,
1001,success,-4.973,318,9.40,7.0,
1002,success,-5.100,312,5.41,7.1,
1003,success,-5.326,324,3.86,7.2,
1004,success,-5.263,323,3.92,6.9,
1005,success,-5.079,334,7.83,7.0,
1006,success,-5.790,317,3.70,7.2,
