Dock_Index,Substrate_Index,success,num_atoms_smiles,num_atoms_pdb,num_matched,error
0,0,True,9,17,9,
1,1,True,11,21,11,
2,2,True,22,47,22,
3,4,True,22,43,22,
4,5,True,7,15,7,
5,7,True,8,15,8,
6,8,True,8,15,8,
7,9,True,8,15,8,
8,10,True,8,15,8,
10,12,True,16,44,16,
11,13,True,37,75,37,
12,14,True,36,76,36,
13,15,True,35,73,35,
14,17,True,24,42,24,
16,19,True,22,52,22,
17,20,True,25,46,25,
18,21,True,26,51,26,
19,22,True,22,46,22,
20,23,True,22,62,22,
21,24,True,21,49,21,
22,25,True,18,50,18,
23,26,True,36,72,36,
25,28,True,16,29,16,
35,39,True,14,38,14,
36,40,True,16,38,16,
42,46,True,11,19,11,
43,47,True,10,20,10,
44,48,True,10,26,10,
45,49,True,20,54,20,
46,50,True,21,38,21,
47,51,True,22,38,22,
48,52,True,22,38,22,
49,53,True,22,38,22,
50,54,True,28,48,28,
51,55,True,21,40,21,
52,56,True,20,37,20,
53,50,True,21,38,21,
55,15,True,35,73,35,
56,58,True,36,76,36,
57,1,True,11,21,11,
58,59,True,12,24,12,
59,60,True,28,72,28,
60,60,True,28,72,28,
61,61,True,32,78,32,
79,75,True,23,53,23,
80,12,True,16,44,16,
81,75,True,23,53,23,
82,76,True,19,47,19,
83,77,True,16,42,16,
84,78,True,29,73,29,
85,60,True,28,72,28,
86,79,True,14,34,14,
87,25,True,18,50,18,
88,80,True,20,54,20,
89,12,True,16,44,16,
90,81,True,15,27,15,
91,48,True,10,26,10,
92,82,True,28,55,28,
93,83,True,8,20,8,
94,24,True,21,49,21,
95,84,True,12,32,12,
97,24,True,21,49,21,
98,86,True,22,52,22,
99,23,True,22,62,22,
107,93,True,13,27,13,
108,94,True,39,87,39,
109,39,True,14,38,14,
110,12,True,16,44,16,
115,24,True,21,49,21,
116,98,True,18,48,18,
117,25,True,18,50,18,
118,99,True,28,74,28,
121,102,True,36,83,36,
122,103,True,32,75,32,
123,104,True,25,66,25,
124,105,True,24,63,24,
125,106,True,27,62,27,
126,107,True,28,65,28,
127,108,True,21,60,21,
128,109,True,33,72,33,
132,113,True,17,31,17,
133,115,True,28,53,28,
134,117,True,21,37,21,
136,119,True,23,40,23,
