Dock_Index,success,error,protein_atoms,n_atom,n_hetatm,n_heme_atoms,n_fe_atoms
0,True,,364,364,0,0,0
1,True,,410,410,0,0,0
2,True,,475,475,0,0,0
3,True,,461,461,0,0,0
4,True,,344,344,0,0,0
5,True,,350,350,0,0,0
6,True,,347,347,0,0,0
7,True,,353,353,0,0,0
8,True,,342,342,0,0,0
10,True,,456,456,0,0,0
11,True,,571,571,0,0,0
12,True,,603,603,0,0,0
13,True,,588,588,0,0,0
14,True,,488,488,0,0,0
16,True,,492,492,0,0,0
17,True,,447,447,0,0,0
18,True,,490,490,0,0,0
19,True,,469,469,0,0,0
20,True,,569,569,0,0,0
21,True,,440,440,0,0,0
22,True,,549,549,0,0,0
23,True,,514,514,0,0,0
25,True,,411,411,0,0,0
35,True,,449,449,0,0,0
36,True,,450,450,0,0,0
42,True,,394,394,0,0,0
43,True,,390,390,0,0,0
44,True,,360,360,0,0,0
45,True,,529,529,0,0,0
46,True,,473,473,0,0,0
47,True,,478,478,0,0,0
48,True,,480,480,0,0,0
49,True,,477,477,0,0,0
50,True,,532,532,0,0,0
51,True,,467,467,0,0,0
52,True,,433,433,0,0,0
53,True,,474,474,0,0,0
55,True,,578,578,0,0,0
56,True,,586,586,0,0,0
57,True,,410,410,0,0,0
58,True,,439,439,0,0,0
59,True,,329,329,0,0,0
60,True,,544,544,0,0,0
61,True,,563,563,0,0,0
79,True,,470,470,0,0,0
80,True,,430,430,0,0,0
81,True,,504,504,0,0,0
82,True,,495,495,0,0,0
83,True,,470,470,0,0,0
84,True,,550,550,0,0,0
85,True,,439,439,0,0,0
86,True,,501,501,0,0,0
87,True,,485,485,0,0,0
88,True,,515,515,0,0,0
89,True,,427,427,0,0,0
90,True,,397,397,0,0,0
91,True,,402,402,0,0,0
92,True,,557,557,0,0,0
93,True,,357,357,0,0,0
94,True,,459,459,0,0,0
95,True,,410,410,0,0,0
97,True,,411,411,0,0,0
98,True,,556,556,0,0,0
99,True,,559,559,0,0,0
107,True,,348,348,0,0,0
108,True,,685,685,0,0,0
109,True,,470,470,0,0,0
110,True,,467,467,0,0,0
115,True,,376,376,0,0,0
116,True,,549,549,0,0,0
117,True,,530,530,0,0,0
118,True,,564,564,0,0,0
121,True,,594,594,0,0,0
122,True,,563,563,0,0,0
123,True,,491,491,0,0,0
124,True,,485,485,0,0,0
125,True,,525,525,0,0,0
126,True,,525,525,0,0,0
127,True,,492,492,0,0,0
128,True,,537,537,0,0,0
132,True,,424,424,0,0,0
133,True,,309,309,0,0,0
134,True,,479,479,0,0,0
136,True,,530,530,0,0,0
137,True,,458,458,0,0,0
141,True,,389,389,0,0,0
150,True,,340,340,0,0,0
151,True,,384,384,0,0,0
152,True,,359,359,0,0,0
153,True,,350,350,0,0,0
154,True,,326,326,0,0,0
155,True,,367,367,0,0,0
158,True,,607,607,0,0,0
159,True,,570,570,0,0,0
160,True,,570,570,0,0,0
161,True,,602,602,0,0,0
162,True,,574,574,0,0,0
169,True,,475,475,0,0,0
170,True,,372,372,0,0,0
171,True,,398,398,0,0,0
172,True,,393,393,0,0,0
173,True,,387,387,0,0,0
177,True,,629,629,0,0,0
183,True,,471,471,0,0,0
184,True,,569,569,0,0,0
185,True,,441,441,0,0,0
186,True,,493,493,0,0,0
187,True,,516,516,0,0,0
188,True,,478,478,0,0,0
195,True,,517,517,0,0,0
196,True,,363,363,0,0,0
198,True,,452,452,0,0,0
201,True,,416,416,0,0,0
202,True,,451,451,0,0,0
203,True,,421,421,0,0,0
204,True,,405,405,0,0,0
206,True,,462,462,0,0,0
207,True,,421,421,0,0,0
208,True,,468,468,0,0,0
213,True,,532,532,0,0,0
214,True,,542,542,0,0,0
215,True,,618,618,0,0,0
216,True,,514,514,0,0,0
218,True,,453,453,0,0,0
221,True,,342,342,0,0,0
222,True,,536,536,0,0,0
226,True,,311,311,0,0,0
227,True,,397,397,0,0,0
228,True,,484,484,0,0,0
240,True,,502,502,0,0,0
241,True,,372,372,0,0,0
244,True,,337,337,0,0,0
247,True,,316,316,0,0,0
250,True,,367,367,0,0,0
251,True,,358,358,0,0,0
253,True,,350,350,0,0,0
254,True,,377,377,0,0,0
255,True,,398,398,0,0,0
256,True,,485,485,0,0,0
260,True,,414,414,0,0,0
261,True,,428,428,0,0,0
262,True,,539,539,0,0,0
263,True,,575,575,0,0,0
271,True,,370,370,0,0,0
272,True,,375,375,0,0,0
273,True,,372,372,0,0,0
274,True,,365,365,0,0,0
275,True,,357,357,0,0,0
276,True,,381,381,0,0,0
277,True,,496,496,0,0,0
283,True,,483,483,0,0,0
284,True,,370,370,0,0,0
290,True,,634,634,0,0,0
291,True,,631,631,0,0,0
292,True,,703,703,0,0,0
296,True,,301,301,0,0,0
305,True,,570,570,0,0,0
307,True,,235,235,0,0,0
324,True,,547,547,0,0,0
325,True,,481,481,0,0,0
326,True,,595,595,0,0,0
327,True,,616,616,0,0,0
328,True,,516,516,0,0,0
333,True,,464,464,0,0,0
341,True,,499,499,0,0,0
355,True,,468,468,0,0,0
356,True,,464,464,0,0,0
357,True,,498,498,0,0,0
358,True,,481,481,0,0,0
359,True,,515,515,0,0,0
360,True,,468,468,0,0,0
361,True,,476,476,0,0,0
362,True,,460,460,0,0,0
363,True,,503,503,0,0,0
367,True,,535,535,0,0,0
368,True,,530,530,0,0,0
382,True,,458,458,0,0,0
384,True,,546,546,0,0,0
385,True,,391,391,0,0,0
386,True,,397,397,0,0,0
387,True,,416,416,0,0,0
390,True,,341,341,0,0,0
392,True,,401,401,0,0,0
393,True,,432,432,0,0,0
394,True,,392,392,0,0,0
395,True,,337,337,0,0,0
396,True,,388,388,0,0,0
397,True,,415,415,0,0,0
398,True,,385,385,0,0,0
399,True,,387,387,0,0,0
400,True,,415,415,0,0,0
401,True,,410,410,0,0,0
402,True,,394,394,0,0,0
403,True,,410,410,0,0,0
404,True,,477,477,0,0,0
405,True,,412,412,0,0,0
406,True,,388,388,0,0,0
407,True,,388,388,0,0,0
408,True,,375,375,0,0,0
409,True,,375,375,0,0,0
410,True,,386,386,0,0,0
411,True,,416,416,0,0,0
414,True,,417,417,0,0,0
415,True,,433,433,0,0,0
416,True,,396,396,0,0,0
417,True,,439,439,0,0,0
418,True,,226,226,0,0,0
420,True,,421,421,0,0,0
421,True,,397,397,0,0,0
422,True,,443,443,0,0,0
423,True,,445,445,0,0,0
424,True,,421,421,0,0,0
425,True,,388,388,0,0,0
426,True,,424,424,0,0,0
427,True,,190,190,0,0,0
428,True,,354,354,0,0,0
429,True,,352,352,0,0,0
430,True,,354,354,0,0,0
431,True,,383,383,0,0,0
432,True,,403,403,0,0,0
433,True,,403,403,0,0,0
435,True,,436,436,0,0,0
437,True,,470,470,0,0,0
438,True,,422,422,0,0,0
439,True,,425,425,0,0,0
440,True,,397,397,0,0,0
441,True,,385,385,0,0,0
442,True,,409,409,0,0,0
446,True,,604,604,0,0,0
451,True,,461,461,0,0,0
457,True,,644,644,0,0,0
458,True,,668,668,0,0,0
460,True,,492,492,0,0,0
461,True,,531,531,0,0,0
462,True,,453,453,0,0,0
463,True,,526,526,0,0,0
464,True,,551,551,0,0,0
465,True,,493,493,0,0,0
466,True,,490,490,0,0,0
467,True,,439,439,0,0,0
468,True,,437,437,0,0,0
469,True,,454,454,0,0,0
470,True,,496,496,0,0,0
471,True,,385,385,0,0,0
489,True,,413,413,0,0,0
490,True,,490,490,0,0,0
491,True,,464,464,0,0,0
492,True,,418,418,0,0,0
494,True,,611,611,0,0,0
495,True,,406,406,0,0,0
496,True,,435,435,0,0,0
497,True,,417,417,0,0,0
498,True,,536,536,0,0,0
499,True,,518,518,0,0,0
500,True,,833,833,0,0,0
502,True,,319,319,0,0,0
505,True,,637,637,0,0,0
507,True,,349,349,0,0,0
508,True,,329,329,0,0,0
509,True,,607,607,0,0,0
510,True,,347,347,0,0,0
512,True,,602,602,0,0,0
513,True,,511,511,0,0,0
514,True,,273,273,0,0,0
515,True,,533,533,0,0,0
1000,True,,321,321,0,0,0
1001,True,,318,318,0,0,0
1002,True,,312,312,0,0,0
1003,True,,324,324,0,0,0
1004,True,,323,323,0,0,0
1005,True,,334,334,0,0,0
1006,True,,317,317,0,0,0
1007,True,,328,328,0,0,0
1008,True,,339,339,0,0,0
1009,True,,324,324,0,0,0
1010,True,,337,337,0,0,0
1011,True,,366,366,0,0,0
1012,True,,342,342,0,0,0
1013,True,,319,319,0,0,0
1014,True,,340,340,0,0,0
1015,True,,367,367,0,0,0
1016,True,,329,329,0,0,0
1017,True,,344,344,0,0,0
1018,True,,326,326,0,0,0
1019,True,,360,360,0,0,0
1020,True,,347,347,0,0,0
1021,True,,366,366,0,0,0
1022,True,,292,292,0,0,0
1023,True,,350,350,0,0,0
1024,True,,387,387,0,0,0
