Dock_Index,Substrate_Index,success,num_atoms_smiles,num_atoms_pdb,num_matched,error
4001,30,True,22,34,22,
4002,31,True,25,39,25,
4003,32,True,36,64,36,
4005,34,True,27,41,27,
4006,35,True,28,41,28,
4007,36,True,25,38,25,
4008,37,True,42,64,42,
4009,41,True,15,29,15,
4010,42,True,11,21,11,
4011,43,True,13,25,13,
4013,45,True,11,21,11,
4014,57,True,11,19,11,
4015,62,True,24,39,24,
4017,63,True,21,43,21,
4018,64,True,21,43,21,
4019,65,True,20,35,20,
4020,66,True,20,35,20,
4021,67,True,25,33,25,
4022,68,True,23,39,23,
4023,69,True,27,44,27,
4024,70,True,27,44,27,
4025,71,True,27,44,27,
4026,72,True,27,44,27,
4028,30,True,22,34,22,
4029,31,True,25,39,25,
4030,73,True,37,53,37,
4031,74,True,26,57,26,
4032,85,True,25,55,25,
4033,87,True,35,54,35,
4034,31,True,25,39,25,
4036,89,True,42,61,42,
4037,90,True,24,56,24,
4038,91,True,23,36,23,
4040,95,True,12,19,12,
4041,96,True,25,42,25,
4042,97,True,31,48,31,
4043,73,True,37,53,37,
4045,101,True,23,41,23,
4046,95,True,12,19,12,
4047,111,True,24,42,24,
4048,112,True,18,32,18,
4049,118,True,24,44,24,
4050,121,True,6,12,6,
4051,123,True,9,12,9,
4052,125,True,12,26,12,
4053,126,True,22,44,22,
4054,127,True,11,19,11,
4055,128,True,11,19,11,
4056,129,True,11,19,11,
4057,130,True,17,31,17,
4058,131,True,11,12,11,
4059,132,True,6,13,6,
4060,140,True,21,33,21,
4061,141,True,25,47,25,
4062,140,True,21,33,21,
4063,147,True,6,12,6,
4064,148,True,9,15,9,
4065,149,True,17,39,17,
4066,150,True,15,33,15,
4067,151,True,15,31,15,
4069,73,True,37,53,37,
4071,31,True,25,39,25,
4073,154,True,36,50,36,
4074,155,True,36,61,36,
4075,156,True,37,56,37,
4076,165,True,25,43,25,
4077,166,True,24,40,24,
4078,167,True,25,43,25,
4079,168,True,26,46,26,
4080,171,True,16,24,16,
4081,173,True,14,26,14,
4082,174,True,13,23,13,
4083,177,True,10,26,10,
4084,181,True,24,38,24,
4085,182,True,28,40,28,
4086,183,True,30,42,30,
4087,184,True,25,37,25,
4088,188,True,27,64,27,
4089,189,True,11,22,11,
4090,190,True,13,25,13,
4091,130,True,17,31,17,
4092,31,True,25,39,25,
4093,30,True,22,34,22,
4094,194,True,4,13,4,
4095,195,True,4,13,4,
4096,196,True,7,21,7,
4097,197,True,11,24,11,
4098,198,True,11,24,11,
4099,199,True,9,20,9,
4100,200,True,11,24,11,
4101,201,True,10,21,10,
4102,202,True,3,10,3,
4103,203,True,2,7,2,
4104,204,True,9,20,9,
4105,208,True,30,64,30,
4106,210,True,12,16,12,
4107,211,True,12,16,12,
4108,212,True,2,5,2,
4109,213,True,23,44,23,
4110,216,True,24,47,24,
4111,221,True,15,33,15,
4112,222,True,17,30,17,
4113,130,True,17,31,17,
4114,228,True,36,64,36,
4115,229,True,20,30,20,
4116,230,True,25,39,25,
4117,95,True,12,19,12,
4118,231,True,13,24,13,
4119,232,True,16,26,16,
4120,115,True,28,53,28,
4122,238,True,32,64,32,
4124,96,True,25,42,25,
4125,240,True,34,52,34,
4126,244,True,36,64,36,
4127,96,True,25,42,25,
4129,249,True,23,43,23,
4130,250,True,20,34,20,
4131,251,True,23,39,23,
4132,252,True,13,22,13,
4133,231,True,13,24,13,
4134,253,True,24,39,24,
4135,254,True,26,41,26,
4136,255,True,17,30,17,
4137,256,True,30,52,30,
4138,257,True,22,48,22,
4139,32,True,36,64,36,
4140,258,True,30,58,30,
4141,260,True,24,39,24,
4142,261,True,27,53,27,
4143,262,True,26,50,26,
4144,250,True,20,34,20,
4145,263,True,28,55,28,
4146,264,True,13,22,13,
4147,265,True,23,45,23,
4148,251,True,23,39,23,
4149,249,True,23,43,23,
4150,266,True,24,47,24,
4151,267,True,28,53,28,
4152,268,True,14,25,14,
4153,269,True,16,27,16,
4154,270,True,26,49,26,
4155,271,True,28,57,28,
4156,272,True,26,44,26,
4157,277,True,16,38,16,
4158,278,True,16,36,16,
4159,279,True,6,9,6,
4160,30,True,22,34,22,
4161,280,True,16,25,16,
4162,281,True,19,30,19,
4163,282,True,13,23,13,
4164,283,True,12,22,12,
4165,284,True,13,21,13,
4166,285,True,12,19,12,
4167,286,True,20,32,20,
4168,288,True,27,47,27,
4169,289,True,26,44,26,
4170,290,True,19,33,19,
4171,291,True,27,45,27,
4172,292,True,26,43,26,
4173,293,True,28,47,28,
4174,294,True,20,33,20,
4175,295,True,23,44,23,
4176,296,True,23,44,23,
4177,297,True,25,43,25,
4178,298,True,24,39,24,
4179,299,True,27,43,27,
4180,300,True,27,44,27,
4181,310,True,22,37,22,
4182,311,True,21,36,21,
4183,312,True,22,35,22,
4184,315,True,17,30,17,
4185,316,True,23,43,23,
4186,317,True,24,43,24,
4187,129,True,11,19,11,
4188,30,True,22,34,22,
4189,318,True,21,45,21,
4190,319,True,18,34,18,
4191,320,True,29,44,29,
4192,321,True,16,26,16,
4193,322,True,24,51,24,
4195,324,True,24,43,24,
4196,325,True,15,26,15,
4197,228,True,36,64,36,
4198,330,True,15,30,15,
4199,140,True,21,33,21,
4200,151,True,15,31,15,
4201,348,True,15,24,15,
4202,349,True,14,22,14,
4203,355,True,14,21,14,
4204,369,True,17,27,17,
4205,373,True,15,24,15,
4206,30,True,22,34,22,
4208,87,True,35,54,35,
4209,382,True,36,58,36,
4210,383,True,37,59,37,
4211,384,True,35,53,35,
4212,385,True,41,64,41,
4213,57,True,11,19,11,
4214,129,True,11,19,11,
4215,387,True,12,19,12,
4216,95,True,12,19,12,
4217,388,True,12,19,12,
4218,96,True,25,42,25,
4220,30,True,22,34,22,
4222,399,True,32,53,32,
4223,400,True,33,53,33,
4224,401,True,38,59,38,
4225,402,True,44,73,44,
4227,404,True,43,73,43,
4228,405,True,39,64,39,
4229,406,True,27,49,27,
4230,407,True,27,49,27,
4232,409,True,22,39,22,
4233,410,True,44,73,44,
4234,411,True,44,76,44,
4235,73,True,37,53,37,
4236,39,True,14,38,14,
4237,129,True,11,19,11,
4238,422,True,21,51,21,
4239,423,True,21,53,21,
4240,129,True,11,19,11,
4241,129,True,11,19,11,
