dock_index,b6_dock_index,enzyme_index,substrate_index
4000,26,79,29
4001,27,79,30
4002,28,79,31
4003,29,79,32
4004,30,79,33
4005,31,79,34
4006,32,79,35
4007,33,79,36
4008,34,79,37
4009,37,24,41
4010,38,24,42
4011,39,24,43
4012,40,24,44
4013,41,24,45
4014,54,24,57
4015,62,159,62
4016,63,185,29
4017,64,190,63
4018,65,190,64
4019,66,190,65
4020,67,190,66
4021,68,188,67
4022,69,190,68
4023,70,190,69
4024,71,190,70
4025,72,190,71
4026,73,190,72
4027,74,184,33
4028,75,187,30
4029,76,38,31
4030,77,38,73
4031,78,63,74
4032,96,170,85
4033,100,41,87
4034,101,41,31
4035,102,55,88
4036,103,56,89
4037,104,88,90
4038,105,275,91
4039,106,148,92
4040,111,125,95
4041,112,80,96
4042,113,80,97
4043,114,80,73
4044,119,90,100
4045,120,91,101
4046,129,70,95
4047,130,70,111
4048,131,70,112
4049,135,70,118
4050,138,285,121
4051,140,288,123
4052,142,286,125
4053,143,285,126
4054,144,285,127
4055,145,285,128
4056,146,285,129
4057,147,285,130
4058,148,255,131
4059,149,283,132
4060,156,84,140
4061,157,84,141
4062,163,101,140
4063,164,64,147
4064,165,64,148
4065,166,64,149
4066,167,64,150
4067,168,64,151
4068,174,54,29
4069,175,54,73
4070,176,50,33
4071,178,186,31
4072,179,191,33
4073,180,189,154
4074,181,190,155
4075,182,190,156
4076,191,66,165
4077,192,66,166
4078,193,66,167
4079,194,66,168
4080,197,74,171
4081,199,74,173
4082,200,74,174
4083,205,74,177
4084,209,60,181
4085,210,60,182
4086,211,60,183
4087,212,60,184
4088,217,221,188
4089,219,276,189
4090,220,266,190
4091,223,218,130
4092,224,275,31
4093,225,275,30
4094,229,220,194
4095,230,220,195
4096,231,220,196
4097,232,220,197
4098,233,220,198
4099,234,220,199
4100,235,220,200
4101,236,220,201
4102,237,220,202
4103,238,220,203
4104,239,220,204
4105,243,220,208
4106,245,8,210
4107,246,0,211
4108,248,121,212
4109,249,121,213
4110,252,123,216
4111,257,46,221
4112,258,89,222
4113,259,98,130
4114,264,206,228
4115,265,206,229
4116,266,206,230
4117,267,67,95
4118,268,67,231
4119,269,67,232
4120,270,67,115
4121,278,94,237
4122,279,107,238
4123,280,94,239
4124,281,94,96
4125,282,94,240
4126,286,112,244
4127,287,112,96
4128,289,43,33
4129,293,29,249
4130,294,29,250
4131,295,29,251
4132,297,29,252
4133,298,142,231
4134,299,155,253
4135,300,158,254
4136,301,158,255
4137,302,232,256
4138,303,232,257
4139,304,232,32
4140,306,153,258
4141,308,201,260
4142,309,252,261
4143,310,252,262
4144,311,253,250
4145,312,254,263
4146,313,254,264
4147,314,254,265
4148,315,254,251
4149,316,254,249
4150,317,254,266
4151,318,254,267
4152,319,254,268
4153,320,254,269
4154,321,254,270
4155,322,254,271
4156,323,254,272
4157,329,152,277
4158,330,151,278
4159,331,204,279
4160,332,204,30
4161,334,264,280
4162,335,264,281
4163,336,204,282
4164,337,204,283
4165,338,204,284
4166,339,204,285
4167,340,204,286
4168,342,204,288
4169,343,204,289
4170,344,204,290
4171,345,204,291
4172,346,204,292
4173,347,204,293
4174,348,204,294
4175,349,204,295
4176,350,204,296
4177,351,204,297
4178,352,204,298
4179,353,204,299
4180,354,204,300
4181,364,204,310
4182,365,204,311
4183,366,204,312
4184,369,204,315
4185,370,204,316
4186,371,204,317
4187,372,192,129
4188,373,192,30
4189,374,194,318
4190,375,194,319
4191,376,194,320
4192,377,194,321
4193,378,194,322
4194,379,193,323
4195,380,194,324
4196,381,5,325
4197,383,289,228
4198,388,87,330
4199,389,83,140
4200,391,73,151
4201,412,163,348
4202,413,163,349
4203,419,163,355
4204,434,163,369
4205,436,162,373
4206,443,53,30
4207,444,52,29
4208,445,39,87
4209,447,40,382
4210,448,78,383
4211,449,11,384
4212,450,11,385
4213,452,260,57
4214,453,251,129
4215,454,251,387
4216,455,251,95
4217,456,251,388
4218,459,208,96
4219,472,37,397
4220,473,51,30
4221,474,42,398
4222,475,1,399
4223,476,1,400
4224,477,81,401
4225,478,81,402
4226,479,86,403
4227,480,86,404
4228,481,1,405
4229,482,1,406
4230,483,1,407
4231,484,82,408
4232,485,57,409
4233,486,81,410
4234,487,81,411
4235,488,1,73
4236,493,124,39
4237,501,179,129
4238,503,61,422
4239,504,62,423
4240,506,212,129
4241,511,100,129
