dock_index,b6_dock_index,pdb_id,enzyme_index,substrate_index,label
4000,26,5TL8,79,29,0
4001,27,5TL8,79,30,0
4002,28,5TL8,79,31,0
4003,29,5TL8,79,32,0
4004,30,5TL8,79,33,0
4005,31,5TL8,79,34,0
4006,32,5TL8,79,35,0
4007,33,5TL8,79,36,0
4008,34,5TL8,79,37,0
4009,37,7OW9,24,41,0
4010,38,7OW9,24,42,0
4011,39,7OW9,24,43,0
4012,40,7OW9,24,44,0
4013,41,7OW9,24,45,0
4014,54,7OW9,24,57,0
4015,62,3R9B,159,62,0
4016,63,4ZE1,185,29,0
4017,64,8VK6,190,63,0
4018,65,8VK6,190,64,0
4019,66,8VK6,190,65,0
4020,67,8VK6,190,66,0
4021,68,5EAF,188,67,0
4022,69,8VK6,190,68,0
4023,70,8VK6,190,69,0
4024,71,8VK6,190,70,0
4025,72,8VK6,190,71,0
4026,73,8VK6,190,72,0
4027,74,5ESG,184,33,0
4028,75,5ESM,187,30,0
4029,76,5HS1,38,31,0
4030,77,5HS1,38,73,0
4031,78,4R21,63,74,0
4032,96,5L92,170,85,0
4033,100,4UYM,41,87,0
4034,101,4UYM,41,31,0
4035,102,5FRB,55,88,0
4036,103,6CR2,56,89,0
4037,104,3B99,88,90,0
4038,105,6H1O,275,91,0
4039,106,4PXH,148,92,0
4040,111,5E58,125,95,0
4041,112,8EKT,80,96,0
4042,113,8EKT,80,97,0
4043,114,8EKT,80,73,0
4044,119,6A16,90,100,0
4045,120,6A17,91,101,0
4046,129,3MVR,70,95,0
4047,130,3MVR,70,111,0
4048,131,3MVR,70,112,0
4049,135,3MVR,70,118,0
4050,138,1RE9,285,121,0
4051,140,1J51,288,123,0
4052,142,1P2Y,286,125,0
4053,143,1RE9,285,126,0
4054,144,1RE9,285,127,0
4055,145,1RE9,285,128,0
4056,146,1RE9,285,129,0
4057,147,1RE9,285,130,0
4058,148,2GQX,255,131,0
4059,149,2H7R,283,132,0
4060,156,4I8V,84,140,0
4061,157,4I8V,84,141,0
4062,163,2HI4,101,140,0
4063,164,3E6I,64,147,0
4064,165,3E6I,64,148,0
4065,166,3E6I,64,149,0
4066,167,3E6I,64,150,0
4067,168,3E6I,64,151,0
