Dock_Index,Substrate_Index
4001,30
4002,31
4003,32
4005,34
4006,35
4007,36
4008,37
4009,41
4010,42
4011,43
4013,45
4014,57
4015,62
4017,63
4018,64
4019,65
4020,66
4021,67
4022,68
4023,69
4024,70
4025,71
4026,72
4028,30
4029,31
4030,73
4031,74
4032,85
4033,87
4034,31
4036,89
4037,90
4038,91
4040,95
4041,96
4042,97
4043,73
4045,101
4046,95
4047,111
4048,112
4049,118
4050,121
4051,123
4052,125
4053,126
4054,127
4055,128
4056,129
4057,130
4058,131
4059,132
4060,140
4061,141
4062,140
4063,147
4064,148
4065,149
4066,150
4067,151
4069,73
4071,31
4073,154
4074,155
4075,156
4076,165
4077,166
4078,167
4079,168
4080,171
4081,173
4082,174
4083,177
4084,181
4085,182
4086,183
4087,184
4088,188
4089,189
4090,190
4091,130
4092,31
4093,30
4094,194
4095,195
4096,196
4097,197
4098,198
4099,199
4100,200
4101,201
4102,202
4103,203
4104,204
4105,208
4106,210
4107,211
4108,212
4109,213
4110,216
4111,221
4112,222
4113,130
4114,228
4115,229
4116,230
4117,95
4118,231
4119,232
4120,115
4122,238
4124,96
4125,240
4126,244
4127,96
4129,249
4130,250
4131,251
4132,252
4133,231
4134,253
4135,254
4136,255
4137,256
4138,257
4139,32
4140,258
4141,260
4142,261
4143,262
4144,250
4145,263
4146,264
4147,265
4148,251
4149,249
4150,266
4151,267
4152,268
4153,269
4154,270
4155,271
4156,272
4157,277
4158,278
4159,279
4160,30
4161,280
4162,281
4163,282
4164,283
4165,284
4166,285
4167,286
4168,288
4169,289
4170,290
4171,291
4172,292
4173,293
4174,294
4175,295
4176,296
4177,297
4178,298
4179,299
4180,300
4181,310
4182,311
4183,312
4184,315
4185,316
4186,317
4187,129
4188,30
4189,318
4190,319
4191,320
4192,321
4193,322
4195,324
4196,325
4197,228
4198,330
4199,140
4200,151
4201,348
4202,349
4203,355
4204,369
4205,373
4206,30
4208,87
4209,382
4210,383
4211,384
4212,385
4213,57
4214,129
4215,387
4216,95
4217,388
4218,96
4220,30
4222,399
4223,400
4224,401
4225,402
4227,404
4228,405
4229,406
4230,407
4232,409
4233,410
4234,411
4235,73
4236,39
4237,129
4238,422
4239,423
4240,129
4241,129
