dock_index,status,affinity,pocket_atoms,fe_distance,runtime_sec,error
4000,failed,,0,,300.32643399999506,Docking: Vina timed out after 300s
4001,success,-7.858,438,2.3887062394629774,37.59807600000204,
4002,success,-8.858,455,3.8910199121394893,52.733420299999125,
4003,success,-9.398,634,4.687271732437959,166.96251389999816,
4004,failed,,0,,300.3237838000059,Docking: Vina timed out after 300s
4005,success,-10.72,517,2.7539339934755316,75.55730520000361,
4006,success,-10.27,493,3.0430435693001225,76.5119113000037,
4007,success,-9.874,502,3.6347994459251427,68.27060940000229,
4008,success,-5.778,431,9.582039749830662,211.88649879999866,
4009,success,-7.012,442,4.821990813005242,9.890576500001771,
4010,success,-6.376,368,3.9641212050609065,9.423943900001177,
4011,success,-7.233,391,2.9263930896983763,6.833120100003725,
4012,failed,,0,,0.07448209999711253,"Docking: PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > ATOM      1  B   UNL     1       1.798   0.147  -0.479  1.00  0.00     0.490 B"
4013,success,-6.394,371,3.6688498734531105,8.982472799994866,
4014,success,-6.404,366,3.1878569456612675,7.19209260000207,
4015,success,-6.915,480,2.6711952397859062,56.17473549999704,
4016,failed,,0,,300.0667422999977,Docking: Vina timed out after 300s
4017,success,-8.574,483,4.582885930596689,44.205384299995785,
4018,success,-8.696,486,4.379149841545272,41.64038900000014,
4019,success,-8.449,445,3.607190583032032,38.54881960000057,
4020,success,-8.362,437,3.4827365784747406,35.55590220000158,
4021,success,-10.52,457,2.618180497559376,31.378025799996976,
4022,success,-8.03,480,3.139396175608956,71.14703710000322,
4023,success,-8.775,522,3.5744406516946468,60.666759400002775,
4024,success,-10.15,560,3.788329504763371,52.77459020000242,
4025,success,-8.653,552,4.112845146536717,43.36370370000077,
4026,success,-8.675,558,3.0133463060915107,46.477629400003934,
4027,failed,,0,,300.08124710000266,Docking: Vina timed out after 300s
4028,success,-8.029,438,2.707851938245387,40.154601000002,
4029,success,-9.333,462,2.6811284439387615,47.84212490000209,
4030,success,-10.28,597,2.8556583391355774,197.66997789999732,
4031,success,-9.999,528,3.5313130096678775,28.620607500000915,
4032,success,-7.45,450,2.0046475087000104,31.338227899999765,
4033,success,-6.345,640,3.2359665243786067,111.68800719999854,
4034,success,-9.371,445,3.196969410665131,45.96603850000247,
4035,failed,,0,,300.0667509999985,Docking: Vina timed out after 300s
4036,success,-5.148,690,4.900256655896063,226.79165090000606,
4037,success,-7.699,490,2.648314907592864,108.63369670000247,
4038,success,-8.221,457,2.342979874872526,63.317360299995926,
4039,failed,-6.44,0,,240.96226710000337,"Postprocess: FE-ligand distance 1.99Å outside [2.0, 15.0]Å"
4040,success,-6.701,376,3.2808548189497877,8.57013719999668,
4041,success,-7.439,471,3.440776550147499,40.44202130000485,
4042,success,-9.945,523,2.6284559287182065,111.68676190000406,
4043,success,-10.45,552,3.2554167892610733,209.28608469999745,
4044,failed,-6.865,0,,35.87604889999784,"Postprocess: FE-ligand distance 1.66Å outside [2.0, 15.0]Å"
4045,success,-8.903,457,2.9229377438074176,48.32392329999857,
4046,success,-6.796,363,2.7557817838795766,8.096299500000896,
4047,success,-6.579,299,9.20869012911806,37.885923300003924,
4048,success,-8.861,429,5.3338683293265845,17.415591099997982,
4049,success,-9.057,475,2.954303887400113,47.311904800000775,
4050,success,-5.022,295,3.6422963588743524,3.165691700000025,
4051,success,-6.314,337,4.670053869628871,4.736499500002537,
4052,success,-7.189,419,3.5774241811961325,7.775447499996517,
4053,success,-8.209,475,3.2677628718849796,73.94834949999495,
4054,success,-5.831,344,4.299529215267223,7.723078600000008,
4055,success,-5.885,349,4.3208617326312115,7.411721299999044,
4056,success,-5.87,341,4.364269485369324,7.186434299997927,
4057,success,-7.326,416,4.807095084692365,16.06216690000292,
4058,success,-6.789,343,3.128391238345887,5.42805309999676,
4059,success,-3.958,319,3.531507462515145,3.7318960999982664,
4060,success,-14.55,487,3.9419134818793142,16.82078399999591,
4061,success,-12.08,582,3.015625576478049,73.23637550000421,
4062,success,-14.51,506,4.405152710231821,21.829701900001965,
4063,success,-4.305,297,5.424404878626287,4.167580999994243,
4064,success,-6.525,323,3.1213334901286816,4.734941300004721,
4065,success,-4.868,288,7.508764751431189,61.216802499999176,
4066,success,-4.834,272,7.766027608305643,38.968164799996885,
4067,success,-5.264,280,8.166522605838965,17.627786800003378,
4068,failed,,0,,300.0823483999993,Docking: Vina timed out after 300s
4069,success,-11.55,593,2.6951018861317304,221.9048565999983,
4070,failed,,0,,300.07512799999677,Docking: Vina timed out after 300s
4071,success,-8.886,458,3.4618379545118807,53.07790830000158,
4072,failed,,0,,300.0797518000036,Docking: Vina timed out after 300s
4073,success,-8.925,582,4.149499998802606,163.89651980000053,
4074,success,-7.569,641,3.0767332049933764,189.47447730000567,
4075,success,-8.623,634,4.898032081283736,201.50097419999656,
4076,success,-8.266,461,7.376394723696781,39.0073435000013,
4077,success,-6.157,224,8.556296957043399,36.347583900002064,
4078,success,-7.786,466,4.070567226634068,65.05663020000065,
4079,success,-8.241,471,3.5366512932329885,81.69513130000269,
4080,success,-8.867,414,3.749465912129923,11.9415622000015,
4081,success,-7.266,433,2.771107308103214,15.384549800000968,
4082,success,-7.861,421,2.5608739015217403,14.165027099996223,
4083,success,-7.458,393,2.298609674898655,5.986901900003431,
4084,success,-7.96,441,6.518753632476081,59.56681599999865,
4085,success,-8.128,468,3.3695392176078984,93.07799620000151,
4086,success,-9.062,510,4.524098681266052,120.03881199999887,
4087,success,-8.044,506,3.386095186053272,66.53120990000025,
4088,success,-7.113,548,2.8039477491442595,222.15932530000282,
4089,success,-6.35,358,3.190048438073787,16.27883099999599,
4090,success,-6.805,374,2.2669268177354422,16.09729970000626,
4091,success,-7.82,413,2.0838774720774214,19.214407100000244,
4092,success,-9.837,453,2.864155055449421,65.37073419999797,
4093,success,-8.526,428,2.9213136239160167,39.06202140000096,
4094,success,-3.038,229,7.646311345185631,4.3158055000021704,
4095,success,-3.21,284,8.798454278408526,5.30198129999917,
4096,success,-4.143,322,6.388937130534207,5.7473542000007,
4097,success,-5.654,364,6.409035431478758,7.872963999994681,
4098,success,-6.005,342,6.204781539426741,7.413685699997586,
4099,success,-5.233,329,5.7116982548182476,8.111569999993662,
4100,success,-5.698,346,6.204800536599665,7.514564300006896,
4101,success,-5.517,336,6.189341601182041,7.407705300000089,
