Dock_Index,success,error,protein_atoms,n_atom,n_hetatm,n_heme_atoms,n_fe_atoms
4001,True,,438,438,0,0,0
4002,True,,455,455,0,0,0
4003,True,,634,634,0,0,0
4005,True,,517,517,0,0,0
4006,True,,493,493,0,0,0
4007,True,,502,502,0,0,0
4008,True,,431,431,0,0,0
4009,True,,442,442,0,0,0
4010,True,,368,368,0,0,0
4011,True,,391,391,0,0,0
4013,True,,371,371,0,0,0
4014,True,,366,366,0,0,0
4015,True,,480,480,0,0,0
4017,True,,483,483,0,0,0
4018,True,,486,486,0,0,0
4019,True,,445,445,0,0,0
4020,True,,437,437,0,0,0
4021,True,,457,457,0,0,0
4022,True,,480,480,0,0,0
4023,True,,522,522,0,0,0
4024,True,,560,560,0,0,0
4025,True,,552,552,0,0,0
4026,True,,558,558,0,0,0
4028,True,,438,438,0,0,0
4029,True,,462,462,0,0,0
4030,True,,597,597,0,0,0
4031,True,,528,528,0,0,0
4032,True,,450,450,0,0,0
4033,True,,640,640,0,0,0
4034,True,,445,445,0,0,0
4036,True,,690,690,0,0,0
4037,True,,490,490,0,0,0
4038,True,,457,457,0,0,0
4040,True,,376,376,0,0,0
4041,True,,471,471,0,0,0
4042,True,,523,523,0,0,0
4043,True,,552,552,0,0,0
4045,True,,457,457,0,0,0
4046,True,,363,363,0,0,0
4047,True,,299,299,0,0,0
4048,True,,429,429,0,0,0
4049,True,,475,475,0,0,0
4050,True,,295,295,0,0,0
4051,True,,337,337,0,0,0
4052,True,,419,419,0,0,0
4053,True,,475,475,0,0,0
4054,True,,344,344,0,0,0
4055,True,,349,349,0,0,0
4056,True,,341,341,0,0,0
4057,True,,416,416,0,0,0
4058,True,,343,343,0,0,0
4059,True,,319,319,0,0,0
4060,True,,487,487,0,0,0
4061,True,,582,582,0,0,0
4062,True,,506,506,0,0,0
4063,True,,297,297,0,0,0
4064,True,,323,323,0,0,0
4065,True,,288,288,0,0,0
4066,True,,272,272,0,0,0
4067,True,,280,280,0,0,0
4069,True,,593,593,0,0,0
4071,True,,458,458,0,0,0
4073,True,,582,582,0,0,0
4074,True,,641,641,0,0,0
4075,True,,634,634,0,0,0
4076,True,,461,461,0,0,0
4077,True,,224,224,0,0,0
4078,True,,466,466,0,0,0
4079,True,,471,471,0,0,0
4080,True,,414,414,0,0,0
4081,True,,433,433,0,0,0
4082,True,,421,421,0,0,0
4083,True,,393,393,0,0,0
4084,True,,441,441,0,0,0
4085,True,,468,468,0,0,0
4086,True,,510,510,0,0,0
4087,True,,506,506,0,0,0
4088,True,,548,548,0,0,0
4089,True,,358,358,0,0,0
4090,True,,374,374,0,0,0
4091,True,,413,413,0,0,0
4092,True,,453,453,0,0,0
4093,True,,428,428,0,0,0
4094,True,,229,229,0,0,0
4095,True,,284,284,0,0,0
4096,True,,322,322,0,0,0
4097,True,,364,364,0,0,0
4098,True,,342,342,0,0,0
4099,True,,329,329,0,0,0
4100,True,,346,346,0,0,0
4101,True,,336,336,0,0,0
4102,True,,215,215,0,0,0
4103,True,,245,245,0,0,0
4104,True,,330,330,0,0,0
4105,True,,383,383,0,0,0
4106,True,,351,351,0,0,0
4107,True,,348,348,0,0,0
4108,True,,216,216,0,0,0
4109,True,,512,512,0,0,0
4110,True,,512,512,0,0,0
4111,True,,489,489,0,0,0
4112,True,,431,431,0,0,0
4113,True,,409,409,0,0,0
4114,True,,579,579,0,0,0
4115,True,,462,462,0,0,0
4116,True,,498,498,0,0,0
4117,True,,399,399,0,0,0
4118,True,,416,416,0,0,0
4119,True,,425,425,0,0,0
4120,True,,544,544,0,0,0
