Substrate Index,Enzyme Index,Label,Dock Index,positive_reactions
9,107,0,1826,9
12,62,0,1067,12
16,20,0,351,16
5,137,0,2345,5
16,62,1,1065,16
11,80,0,1368,11
14,77,0,1312,14
13,36,0,621,13
16,111,0,1898,16
7,79,0,1343,7
2,51,0,877,2
4,149,0,2548,4
16,6,0,113,16
16,160,0,2731,16
3,74,0,1272,3
1,112,0,1905,1
1,6,0,103,1
7,31,0,527,7
1,18,0,307,1
14,14,0,241,14
5,125,0,2141,5
13,49,0,842,13
7,56,0,952,7
7,63,0,1071,7
13,76,0,1301,13
16,67,0,1150,16
5,99,0,1699,5
4,8,0,151,4
14,148,0,2519,14
9,160,0,2727,9
14,121,0,2060,14
10,119,0,2025,10
5,134,0,2294,5
10,100,0,1702,10
1,136,0,2313,1
1,3,0,52,1
3,123,0,2105,3
14,0,0,3,14
2,143,1,2441,2
1,106,0,1803,1
13,113,0,1930,13
11,152,0,2592,11
16,95,1,1626,16
14,12,0,207,14
10,98,0,1668,10
12,61,0,1050,12
4,121,0,2072,4
10,36,0,614,10
7,142,0,2414,7
3,107,0,1833,3
4,7,0,134,4
9,1,1,24,9
14,68,0,1159,14
1,160,0,2721,1
4,29,0,508,4
3,121,1,2071,3
5,143,0,2447,5
10,125,0,2127,10
11,139,1,2371,11
1,127,0,2160,1
4,43,0,746,4
7,138,1,2346,7
7,135,1,2295,7
5,129,1,2209,5
9,125,0,2132,9
1,130,1,2211,1
12,107,0,1832,12
1,29,0,494,1
12,78,0,1339,12
11,144,0,2456,11
14,158,0,2689,14
11,18,1,314,11
10,99,0,1685,10
5,37,0,645,5
10,101,0,1719,10
5,97,0,1665,5
3,114,0,1952,3
7,17,0,289,7
9,155,1,2642,9
13,135,0,2304,13
2,74,0,1268,2
4,119,0,2038,4
16,12,0,215,16
12,3,0,64,12
14,160,0,2723,14
10,108,0,1838,10
13,45,0,774,13
10,95,0,1617,10
16,117,0,2000,16
12,84,0,1441,12
7,155,0,2635,7
7,87,0,1479,7
9,4,0,75,9
2,9,0,163,2
1,144,0,2449,1
3,14,0,252,3
3,160,0,2734,3
14,52,0,887,14
10,112,0,1906,10
13,6,0,111,13
13,43,0,740,13
11,8,0,144,11
11,158,0,2694,11
1,90,0,1531,1
9,144,0,2455,9
9,86,0,1469,9
10,106,0,1804,10
14,34,0,581,14
14,97,1,1652,14
9,92,0,1571,9
14,37,0,632,14
2,94,0,1608,2
12,148,0,2529,12
7,160,0,2720,7
11,14,0,246,11
5,121,1,2073,5
11,113,0,1929,11
11,28,1,484,11
5,142,0,2430,5
3,90,0,1544,3
13,53,0,910,13
1,15,0,256,1
7,38,0,646,7
12,59,0,1016,12
1,118,0,2007,1
14,156,0,2655,14
4,45,0,780,4
1,4,0,69,1
7,28,1,476,7
12,92,0,1577,12
2,39,0,673,2
5,61,0,1053,5
13,142,0,2423,13
13,50,0,859,13
12,114,0,1951,12
16,43,0,742,16
14,39,0,666,14
16,52,0,895,16
14,49,0,836,14
12,80,0,1373,12
12,149,0,2546,12
11,56,0,960,11
5,69,0,1189,5
3,81,0,1391,3
3,158,0,2700,3
4,63,0,1086,4
7,149,0,2533,7
1,7,0,120,1
13,64,1,1097,13
16,107,0,1830,16
10,1,0,19,10
7,106,0,1802,7
16,152,0,2595,16
7,14,0,238,7
11,77,0,1317,11
2,0,0,10,2
12,4,0,81,12
11,117,0,1997,11
13,67,0,1148,13
7,18,1,306,7
7,24,0,408,7
11,70,0,1198,11
2,36,0,622,2
14,87,0,1482,14
16,154,0,2629,16
5,158,0,2702,5
1,93,0,1582,1
14,62,0,1057,14
7,132,0,2244,7
2,12,0,214,2
10,80,0,1362,10
14,81,0,1380,14
5,18,0,322,5
13,56,0,961,13
16,1,0,28,16
9,99,0,1690,9
14,27,0,462,14
7,121,0,2057,7
4,129,0,2208,4
2,101,0,1727,2
12,97,0,1662,12
1,0,0,1,1
4,62,0,1069,4
3,146,1,2496,3
7,89,1,1513,7
13,88,0,1505,13
7,0,0,0,7
3,38,0,660,3
2,158,0,2696,2
16,90,0,1541,16
7,137,1,2329,7
2,131,0,2237,2
14,61,0,1040,14
7,90,0,1530,7
13,144,0,2457,13
2,21,0,367,2
10,102,0,1736,10
11,53,0,909,11
2,69,0,1183,2
11,118,0,2014,11
7,159,0,2703,7
10,74,0,1260,10
16,39,0,674,16
9,29,0,500,9
9,134,0,2285,9
16,112,0,1915,16
3,56,0,966,3
3,118,0,2020,3
12,1,1,30,12
4,50,1,865,4
4,36,0,627,4
14,99,0,1686,14
4,108,0,1851,4
3,4,0,82,3
3,68,0,1170,3
14,79,1,1346,14
2,29,0,503,2
4,28,0,491,4
10,88,1,1498,10
11,44,0,756,11
14,32,0,547,14
13,17,0,298,13
12,56,0,965,12
7,107,0,1819,7
10,78,0,1328,10
5,131,0,2243,5
12,98,0,1679,12
11,124,0,2116,11
1,31,0,528,1
3,131,0,2241,3
10,70,0,1192,10
7,8,0,136,7
12,102,0,1747,12
7,85,0,1445,7
4,152,0,2599,4
12,139,1,2376,12
9,111,0,1894,9
4,111,0,1902,4
1,137,1,2330,1
7,3,0,51,7
3,108,1,1850,3
1,41,0,698,1
13,81,0,1386,13
1,52,0,885,1
11,123,0,2099,11
11,74,1,1266,11
16,69,0,1184,16
12,146,0,2495,12
4,71,0,1222,4
2,111,0,1897,2
9,146,0,2489,9
5,144,0,2464,5
13,62,0,1063,13
10,149,0,2535,10
14,127,1,2162,14
4,144,0,2463,4
16,77,0,1320,16
1,94,0,1599,1
5,106,0,1818,5
1,154,0,2619,1
11,107,0,1827,11
10,51,0,869,10
10,43,0,733,10
16,76,0,1303,16
5,147,1,2515,5
14,135,0,2298,14
7,146,0,2482,7
2,41,0,707,2
11,27,1,467,11
3,53,0,915,3
7,53,0,901,7
5,64,0,1104,5
9,56,0,959,9
3,37,0,643,3
11,52,0,892,11
14,1,0,20,14
7,29,0,493,7
12,99,0,1696,12
3,124,1,2122,3
10,155,0,2637,10
14,50,0,853,14
7,27,1,459,7
4,61,0,1052,4
12,124,0,2121,12
2,17,0,299,2
2,45,0,775,2
4,97,0,1664,4
14,71,0,1210,14
7,9,0,153,7
12,138,1,2359,12
10,67,1,1141,10
4,3,0,66,4
3,1,0,31,3
14,153,0,2604,14
16,61,0,1048,16
5,1,0,33,5
1,132,0,2245,1
3,77,0,1323,3
7,86,0,1462,7
10,64,1,1090,10
11,135,1,2303,11
12,159,0,2716,12
9,136,0,2319,9
14,28,0,479,14
10,38,0,648,10
10,130,0,2212,10
16,38,0,657,16
7,78,0,1326,7
4,102,0,1749,4
2,117,0,1999,2
2,152,1,2594,2
3,67,0,1153,3
12,21,0,370,12
9,71,0,1214,9
14,144,0,2451,14
16,98,0,1677,16
1,8,0,137,1
11,95,0,1623,11
3,12,0,218,3
12,89,1,1526,12
5,156,0,2668,5
2,113,0,1931,2
14,112,0,1907,14
16,68,1,1167,16
9,6,0,109,9
16,155,0,2646,16
1,20,0,341,1
2,107,0,1829,2
7,153,1,2601,7
3,159,0,2717,3
16,80,0,1371,16
7,123,0,2091,7
16,131,1,2238,16
7,119,0,2023,7
5,89,1,1529,5
1,117,0,1990,1
10,15,0,257,10
7,76,0,1292,7
13,146,0,2491,13
12,155,0,2648,12
9,142,0,2421,9
5,94,0,1614,5
11,89,1,1521,11
11,155,0,2643,11
13,97,0,1658,13
12,95,1,1628,12
5,42,0,730,5
11,36,0,620,11
5,0,0,16,5
3,100,0,1714,3
7,72,0,1224,7
11,34,0,586,11
5,49,0,849,5
1,139,1,2364,1
4,118,0,2021,4
5,68,0,1172,5
2,24,0,418,2
3,101,0,1731,3
7,59,0,1003,7
1,79,0,1344,1
12,31,0,540,12
2,130,1,2220,2
1,102,0,1735,1
7,101,0,1717,7
10,39,0,665,10
10,6,0,104,10
4,128,0,2191,4
3,69,0,1187,3
13,63,0,1080,13
1,14,0,239,1
4,59,0,1018,4
5,88,1,1512,5
4,23,0,406,4
3,63,1,1085,3
10,27,0,461,10
1,128,1,2177,1
4,18,0,321,4
13,11,0,196,13
5,45,0,781,5
14,106,0,1805,14
16,119,0,2034,16
4,53,0,916,4
16,134,0,2289,16
2,137,1,2339,2
16,28,0,487,16
12,132,0,2257,12
1,69,0,1174,1
10,84,0,1430,10
14,6,0,105,14
9,9,0,160,9
1,99,0,1684,1
16,147,0,2510,16
10,59,0,1005,10
9,156,0,2659,9
9,63,0,1078,9
3,46,0,796,3
2,53,0,911,2
13,99,0,1692,13
1,92,0,1565,1
11,4,0,76,11
9,138,1,2353,9
3,143,0,2445,3
11,21,0,365,11
7,154,0,2618,7
16,87,0,1490,16
14,46,0,785,14
11,143,0,2439,11
13,156,0,2661,13
2,160,0,2730,2
9,72,0,1231,9
3,39,1,677,3
14,149,0,2536,14
4,136,0,2327,4
7,156,0,2652,7
12,27,1,472,12
1,87,0,1480,1
14,108,0,1839,14
7,113,0,1921,7
12,17,0,302,12
2,103,1,1761,2
3,44,0,762,3
7,125,0,2125,7
10,115,0,1957,10
14,125,0,2128,14
13,138,0,2355,13
4,160,0,2735,4
14,74,0,1261,14
11,71,0,1215,11
3,60,0,1034,3
10,53,0,903,10
13,112,0,1913,13
7,36,0,612,7
10,148,0,2518,10
10,118,0,2008,10
7,124,0,2108,7
2,90,0,1540,2
10,17,0,291,10
5,33,1,577,5
4,125,0,2140,4
2,129,0,2203,2
