Substrate Index,Enzyme Index,Label,Dock Index,positive_reactions
91,144,0,13430,91
92,50,1,13482,92
9,21,1,167,9
25,77,0,1245,25
24,65,0,2401,24
20,128,0,5238,20
4,57,0,2101,4
13,95,1,4037,13
44,49,0,6911,44
50,65,0,8679,50
78,53,1,11441,78
39,25,0,2945,39
63,48,0,7348,63
14,78,0,1100,14
53,61,0,10719,53
39,57,0,2977,39
40,145,0,5985,40
19,108,0,3758,19
4,49,0,2093,4
21,30,0,3242,21
40,48,0,5888,40
73,135,0,7727,73
61,115,0,10481,61
20,38,0,5148,20
13,40,0,3982,13
21,48,0,3260,21
59,98,0,7836,59
77,29,0,11563,77
86,138,0,12548,86
19,26,1,3676,19
69,117,0,8293,69
39,61,0,2981,39
64,144,0,10218,64
75,25,0,8347,75
54,40,0,7486,54
68,67,0,11017,68
95,77,1,13801,95
45,112,0,7266,45
87,61,1,13055,87
83,105,0,12953,83
28,135,0,3639,28
63,76,0,7376,63
21,54,0,3266,21
65,138,0,10358,65
68,136,0,11086,68
40,27,1,5867,40
73,104,0,7696,73
79,27,0,11269,79
63,100,0,7400,63
61,55,0,10421,61
78,32,0,11420,78
68,38,1,10988,68
69,47,0,8223,69
20,2,1,5112,20
26,99,0,3457,26
61,106,0,10472,61
12,90,0,3886,12
27,105,0,4777,27
20,129,0,5239,20
44,17,0,6879,44
50,124,0,8738,50
11,142,0,1018,11
83,113,1,12961,83
79,29,1,11271,79
82,1,1,11973,82
56,5,1,10809,56
77,70,0,11604,77
31,69,1,507,31
44,25,0,6887,44
78,67,1,11455,78
15,120,0,3186,15
77,56,0,11590,77
21,107,0,3319,21
2,5,1,1465,2
14,14,1,1036,14
24,112,0,2448,24
2,29,0,1489,2
19,25,1,3675,19
27,124,0,4796,27
44,122,0,6984,44
4,1,1,2045,4
54,22,0,7468,54
28,140,0,3644,28
64,53,0,10127,64
38,122,0,4356,38
89,74,0,12338,89
74,14,0,9066,74
86,26,0,12436,86
87,115,0,13109,87
68,93,0,11043,68
61,27,0,10393,61
17,32,0,2806,17
57,23,0,7907,57
33,86,0,1400,33
19,8,1,3658,19
38,9,1,4243,38
15,15,0,3081,15
54,121,0,7567,54
42,133,0,6703,42
13,116,0,4058,13
4,135,0,2179,4
31,27,1,465,31
87,124,0,13118,87
50,8,0,8622,50
36,136,0,4954,36
50,28,0,8642,50
61,75,0,10441,61
2,45,0,1505,2
38,53,0,4287,38
10,128,0,2756,10
50,53,0,8667,50
36,23,0,4841,36
87,142,0,13136,87
24,53,0,2389,24
31,21,1,459,31
67,5,1,10517,67
56,145,0,10949,56
79,140,0,11382,79
86,52,0,12462,86
59,112,0,7850,59
39,135,0,3055,39
36,60,0,4878,36
50,83,0,8697,50
38,21,0,4255,38
68,1,1,10951,68
71,29,1,11125,71
75,52,0,8374,75
87,108,0,13102,87
54,18,0,7464,54
13,106,0,4048,13
12,123,0,3919,12
93,109,1,13687,93
49,135,0,6413,49
65,145,0,10365,65
83,98,0,12946,83
10,54,0,2682,10
79,21,0,11263,79
79,85,0,11327,79
15,61,0,3127,15
9,14,1,160,9
85,93,0,12795,85
46,105,0,6821,46
34,145,1,145,34
54,70,0,7516,54
11,18,0,894,11
21,141,0,3353,21
39,143,0,3063,39
40,132,0,5972,40
54,38,0,7484,54
36,50,0,4868,36
4,122,0,2166,4
39,9,1,2929,39
86,44,0,12454,86
6,28,0,1780,6
26,49,0,3407,26
2,33,0,1493,2
84,103,0,12221,84
82,144,0,12116,82
53,93,0,10751,53
92,95,1,13527,92
31,2,1,440,31
19,109,1,3759,19
31,92,1,530,31
74,0,1,9052,74
11,1,0,877,11
36,33,0,4851,36
46,25,0,6741,46
61,77,1,10443,61
87,25,1,13019,87
91,124,0,13410,91
54,144,0,7590,54
22,68,0,4448,22
91,117,0,13403,91
28,100,0,3604,28
68,57,0,11007,68
61,26,1,10392,61
75,106,0,8428,75
27,61,0,4733,27
11,49,0,925,11
59,68,0,7806,59
80,20,0,11700,80
49,128,0,6406,49
64,132,0,10206,64
92,52,1,13484,92
31,110,1,548,31
12,9,1,3805,12
20,67,0,5177,20
68,102,0,11052,68
19,116,0,3766,19
17,26,0,2800,17
26,118,0,3476,26
83,144,0,12992,83
8,123,0,853,8
11,8,0,884,11
8,85,0,815,8
38,33,1,4267,38
9,27,1,173,9
81,96,0,11922,81
51,119,0,9317,51
45,59,1,7213,45
61,22,0,10388,61
70,52,1,9834,70
4,86,0,2130,4
54,50,0,7496,54
33,54,0,1368,33
69,142,0,8318,69
84,23,0,12141,84
76,122,0,8590,76
81,124,0,11950,81
73,33,0,7625,73
55,106,0,8866,55
2,129,0,1589,2
63,9,0,7309,63
28,40,0,3544,28
93,80,1,13658,93
50,59,0,8673,50
22,32,0,4412,22
33,75,0,1389,33
93,6,1,13584,93
77,18,0,11552,77
50,91,0,8705,50
44,68,0,6930,44
91,113,0,13399,91
53,86,0,10744,53
61,100,0,10466,61
76,38,0,8506,76
34,102,1,102,34
39,110,0,3030,39
79,113,0,11355,79
89,92,0,12356,89
26,140,0,3498,26
55,48,0,8808,55
91,99,0,13385,91
73,129,0,7721,73
83,5,1,12853,83
81,55,0,11881,81
38,99,0,4333,38
79,60,0,11302,79
68,133,0,11083,68
4,145,0,2189,4
59,119,0,7857,59
34,77,1,77,34
26,116,0,3474,26
19,81,1,3731,19
54,77,0,7523,54
57,109,0,7993,57
