Substrate Index,Enzyme Index,Label,Dock Index,positive_reactions
44,16,0,1395,44
80,14,0,1255,80
59,41,0,3372,59
103,25,1,4669,103
13,9,0,793,13
96,33,0,4768,96
33,4,0,378,33
103,6,1,4434,103
1,14,0,1210,1
40,3,1,316,40
55,18,0,1559,55
35,52,0,4178,35
54,43,0,3574,54
29,22,0,1793,29
48,18,0,1555,48
94,14,0,4518,94
26,10,0,901,26
67,37,0,3037,67
4,6,1,559,4
81,19,0,1640,81
94,48,0,4937,94
74,16,0,1419,74
83,25,0,2049,83
26,22,1,1806,26
34,18,0,1545,34
64,10,0,950,64
7,1,0,121,7
13,0,0,1,13
9,33,0,2639,9
38,30,0,2386,38
44,29,0,2333,44
63,37,1,3028,63
102,20,0,4606,102
7,5,1,479,7
38,14,0,1178,38
27,43,0,3535,27
52,29,1,2344,52
26,25,0,1995,26
88,32,0,2632,88
61,2,0,254,61
48,22,0,1821,48
26,21,0,1749,26
24,40,0,3269,24
35,35,1,2814,35
101,10,0,4477,101
70,32,0,2624,70
60,28,0,2268,60
83,9,0,869,83
6,25,0,2002,6
21,28,0,2221,21
30,46,0,3716,30
58,14,0,1241,58
13,28,0,2209,13
7,26,1,2076,7
30,43,0,3537,30
100,7,0,4448,100
51,42,0,3477,51
15,33,0,2654,15
16,37,0,2990,16
91,0,0,4350,91
14,10,0,879,14
27,11,0,977,27
10,2,1,201,10
59,40,0,3282,59
64,20,0,1726,64
38,27,0,2126,38
38,11,0,967,38
88,41,0,3409,88
36,5,0,457,36
78,3,0,348,78
55,29,0,2340,55
92,11,0,4480,92
34,1,0,123,34
103,28,1,4708,103
4,20,1,1678,4
7,42,0,3444,7
87,27,0,2132,87
6,4,1,394,6
24,35,0,2841,24
50,20,1,1704,50
97,37,1,4823,97
78,25,0,2045,78
5,7,0,623,5
61,29,0,2364,61
23,5,0,465,23
31,1,0,113,31
44,40,0,3276,44
51,28,0,2267,51
26,33,0,2662,26
34,33,0,2667,34
33,27,0,2139,33
46,15,0,1310,46
5,25,0,1974,5
31,40,0,3256,31
42,29,1,2330,42
36,2,0,188,36
79,7,1,675,79
34,9,0,826,34
70,37,0,3050,70
63,15,1,1315,63
71,15,1,1320,71
28,40,0,3238,28
63,31,1,2520,63
4,19,1,1594,4
29,30,0,2393,29
59,33,0,2682,59
77,15,0,1332,77
54,42,0,3484,54
74,28,0,2270,74
100,14,0,4527,100
91,31,0,4741,91
36,53,0,4267,36
1,16,0,1390,1
51,25,0,2031,51
91,20,0,4598,91
13,5,0,448,13
86,1,1,174,86
75,37,0,3034,75
59,27,0,2169,59
83,39,0,3226,83
35,41,0,3332,35
74,14,0,1239,74
88,14,0,1258,88
101,9,0,4464,101
6,9,0,828,6
35,27,0,2129,35
58,28,0,2272,58
28,7,0,620,28
20,48,0,3853,20
46,33,0,2681,46
23,42,0,3430,23
80,15,0,1345,80
87,53,0,4271,87
42,6,1,570,42
34,25,0,2000,34
63,39,0,3197,63
26,16,0,1380,26
9,39,0,3147,9
101,31,0,4750,101
31,33,0,2657,31
83,2,0,262,83
30,6,1,564,30
63,53,1,4312,63
4,9,1,822,4
64,33,0,2705,64
25,16,0,1377,25
15,32,0,2575,15
20,35,0,2805,20
98,25,0,4665,98
21,30,0,2391,21
25,14,0,1197,25
96,1,0,4364,96
54,6,1,599,54
46,30,0,2427,46
29,53,0,4273,29
16,1,0,105,16
14,28,0,2215,14
100,9,0,4462,100
38,5,0,455,38
40,9,0,838,40
46,37,0,3023,46
47,16,1,1394,47
79,1,0,150,79
23,25,0,1984,23
30,15,0,1296,30
98,37,1,4821,98
0,30,0,2403,0
100,16,0,4553,100
81,30,0,2458,81
51,1,0,154,51
75,22,0,1831,75
97,15,0,4537,97
74,27,0,2187,74
16,53,0,4274,16
24,14,0,1208,24
34,53,0,4292,34
85,41,0,3403,85
24,0,0,37,24
18,52,0,4185,18
63,5,1,501,63
94,1,0,4361,94
57,43,0,3571,57
58,3,0,339,58
52,10,1,927,52
13,48,0,3852,13
35,20,0,1658,35
81,10,0,952,81
46,31,1,2515,46
66,41,0,3389,66
20,33,0,2636,20
77,5,0,518,77
88,28,0,2286,88
94,53,0,5002,94
1,35,0,2843,1
1,5,0,486,1
5,46,0,3691,5
5,14,0,1179,5
