reaction,enzyme,label,structure_index,positive_reactions
13,16,0,286,13
31,17,0,17,31
12,13,0,409,12
33,11,0,191,33
24,16,0,250,24
7,3,0,525,7
6,0,0,324,6
25,12,0,588,25
16,16,0,574,16
30,12,0,372,30
14,11,0,65,14
9,15,0,519,9
5,13,0,445,5
22,3,0,201,22
0,13,0,139,0
34,14,0,644,34
22,15,0,213,22
29,14,0,302,29
18,11,0,623,18
4,17,0,35,4
33,15,0,195,33
0,15,0,141,0
4,3,0,21,4
31,8,1,8,31
16,4,0,562,16
17,13,0,499,17
33,17,0,197,33
33,16,0,196,33
37,7,1,421,37
35,13,0,265,35
7,12,0,534,7
9,16,0,520,9
25,5,0,581,25
20,14,0,392,20
3,0,0,90,3
25,7,0,583,25
4,13,0,31,4
4,15,0,33,4
33,13,0,193,33
9,17,0,521,9
18,4,0,616,18
5,16,0,448,5
7,5,0,527,7
14,17,0,71,14
17,4,0,490,17
26,17,1,611,26
31,2,0,2,31
4,14,0,32,4
16,13,0,571,16
26,13,0,607,26
30,16,0,376,30
24,11,0,245,24
35,11,0,263,35
36,17,1,665,36
0,0,0,126,0
33,7,1,187,33
22,2,0,200,22
22,16,0,214,22
22,14,0,212,22
24,14,0,248,24
37,2,0,416,37
25,4,0,580,25
31,15,0,15,31
9,3,0,507,9
0,7,0,133,0
4,8,0,26,4
35,15,0,267,35
3,13,0,103,3
9,12,0,516,9
12,12,0,408,12
23,13,0,229,23
34,4,0,634,34
29,11,0,299,29
35,14,0,266,35
5,12,0,444,5
35,8,0,260,35
0,8,1,134,0
6,14,0,338,6
22,12,0,210,22
10,11,0,317,10
4,5,0,23,4
18,8,1,620,18
24,17,0,251,24
7,0,1,522,7
10,2,0,308,10
34,5,0,635,34
29,13,0,301,29
0,11,0,137,0
30,7,1,367,30
4,7,0,25,4
18,15,0,627,18
22,13,0,211,22
37,15,0,429,37
5,8,1,440,5
36,13,0,661,36
23,7,1,223,23
1,12,0,120,1
7,2,0,524,7
36,15,0,663,36
1,3,0,111,1
31,13,0,13,31
17,12,0,498,17
17,0,1,486,17
13,13,0,283,13
1,13,0,121,1
33,0,0,180,33
20,15,0,393,20
10,3,0,309,10
5,17,0,449,5
36,16,0,664,36
31,4,0,4,31
3,4,0,94,3
34,16,0,646,34
7,13,0,535,7
10,17,0,323,10
1,11,0,119,1
16,11,0,569,16
36,12,0,660,36
14,2,0,56,14
26,4,0,598,26
0,17,0,143,0
36,3,0,651,36
5,3,1,435,5
24,0,0,234,24
23,4,0,220,23
37,4,0,418,37
12,3,1,399,12
4,2,0,20,4
20,0,1,378,20
22,11,0,209,22
7,8,1,530,7
23,11,0,227,23
1,16,0,124,1
10,7,1,313,10
1,15,0,123,1
3,12,0,102,3
36,11,0,659,36
25,16,0,592,25
33,14,0,194,33
5,15,0,447,5
26,16,0,610,26
26,8,1,602,26
5,11,0,443,5
23,5,0,221,23
1,5,0,113,1
34,8,1,638,34
12,2,0,398,12
22,8,0,206,22
7,17,0,539,7
35,7,1,259,35
3,7,0,97,3
31,12,0,12,31
25,3,0,579,25
37,3,0,417,37
16,8,1,566,16
17,16,0,502,17
10,14,0,320,10
22,17,0,215,22
36,7,0,655,36
33,5,0,185,33
30,3,0,363,30
7,11,0,533,7
26,11,0,605,26
24,4,0,238,24
16,0,1,558,16
12,15,0,411,12
14,12,0,66,14
20,11,0,389,20
1,7,0,115,1
31,14,0,14,31
6,5,0,329,6
34,13,0,643,34
7,14,0,536,7
26,14,0,608,26
3,14,0,104,3
29,4,0,292,29
20,12,0,390,20
9,2,0,506,9
0,16,0,142,0
37,5,0,419,37
3,11,0,101,3
4,4,0,22,4
13,3,0,273,13
34,7,0,637,34
29,15,0,303,29
7,7,0,529,7
17,11,0,497,17
9,4,0,508,9
23,12,0,228,23
0,5,0,131,0
18,13,0,625,18
35,16,0,268,35
30,8,1,368,30
18,5,0,617,18
5,0,1,432,5
9,13,0,517,9
30,4,0,364,30
30,14,0,374,30
12,7,1,403,12
31,3,0,3,31
10,0,0,306,10
29,8,0,296,29
29,12,0,300,29
25,15,0,591,25
34,0,1,630,34
6,7,0,331,6
13,12,0,282,13
9,0,1,504,9
24,13,0,247,24
25,13,0,589,25
9,7,1,511,9
9,14,0,518,9
10,4,0,310,10
18,7,0,619,18
30,0,1,360,30
31,5,0,5,31
26,2,0,596,26
10,8,0,314,10
23,3,0,219,23
3,16,0,106,3
29,16,0,304,29
0,2,0,128,0
3,17,0,107,3
36,2,0,650,36
31,0,0,0,31
10,5,0,311,10
6,17,0,341,6
1,2,0,110,1
23,16,0,232,23
34,17,0,647,34
20,17,0,395,20
10,12,0,318,10
33,3,0,183,33
1,14,0,122,1
24,12,0,246,24
6,3,0,327,6
6,16,0,340,6
36,5,0,653,36
12,14,0,410,12
14,8,1,62,14
6,11,0,335,6
13,8,0,278,13
14,3,0,57,14
16,7,0,565,16
20,2,0,380,20
7,16,0,538,7
17,3,1,489,17
35,0,0,252,35
6,13,0,337,6
37,11,0,425,37
18,12,0,624,18
30,15,0,375,30
14,4,0,58,14
16,12,0,570,16
37,12,0,426,37
29,0,0,288,29
25,2,0,578,25
22,7,1,205,22
25,0,1,576,25
13,14,0,284,13
