Substrate Index,Enzyme Index,Label,Dock Index,positive_reactions
19,94,0,15543,19
142,161,0,26705,142
10,88,0,14550,10
12,193,0,31846,12
118,163,0,27008,118
15,86,0,14202,15
112,151,0,25023,112
10,26,0,4320,10
117,51,0,8536,117
103,163,0,27012,103
85,149,0,24673,85
52,1,0,216,52
78,186,0,30768,78
53,71,0,11767,53
57,212,0,35054,57
64,173,1,28608,64
157,166,1,27545,157
80,167,0,27635,80
133,184,1,30499,133
91,39,1,6526,91
31,193,0,31864,31
144,20,0,3445,144
152,119,0,19785,152
149,130,0,21597,149
75,36,0,6007,75
136,163,0,27027,136
3,215,1,35485,3
104,19,0,3235,104
36,59,0,9758,36
140,198,0,32811,140
96,97,1,16104,96
84,9,0,1571,84
74,157,0,25982,74
16,200,0,33022,16
159,216,0,35799,159
8,159,0,26239,8
110,156,1,25859,110
129,179,0,29663,129
125,205,1,33952,125
99,98,1,16268,99
28,19,0,3169,28
105,92,0,15296,105
96,36,0,6039,96
22,9,1,1488,22
101,92,0,15286,101
84,19,0,3221,84
115,192,0,31784,115
42,44,0,7300,42
10,177,0,29235,10
162,15,0,2638,162
30,116,0,19167,30
125,172,0,28507,125
6,4,0,676,6
150,137,1,22761,150
19,24,0,3993,19
98,184,1,30457,98
37,108,0,17841,37
75,98,0,16237,75
91,17,0,2896,91
153,159,0,26387,153
131,136,1,22571,131
46,113,0,18688,46
54,198,1,32723,54
49,128,0,21161,49
159,33,0,5604,159
152,52,0,8730,152
10,132,0,21810,10
152,176,0,29190,152
74,202,1,33407,74
63,143,0,23670,63
145,142,0,23576,145
153,33,0,5597,153
52,142,0,23481,52
75,14,0,2377,75
104,159,0,26335,104
77,39,0,6489,77
83,56,1,9321,83
7,70,0,11550,7
7,193,0,31845,7
129,115,0,19103,129
31,124,0,20479,31
80,129,0,21365,80
153,105,0,17477,153
28,48,0,7954,28
101,165,0,27331,101
105,208,0,34436,105
6,137,0,22621,6
139,125,0,20763,139
136,91,0,15147,136
81,146,0,24173,81
4,142,0,23438,4
77,19,0,3189,77
53,7,0,1207,53
4,32,0,5288,4
9,27,0,4479,9
4,202,1,33338,4
124,33,0,5567,124
144,204,0,33805,144
157,191,0,31670,157
115,94,0,15614,115
52,50,0,8301,52
108,102,0,16940,108
130,167,0,27685,130
157,90,0,15005,157
19,120,0,19833,19
24,122,0,20167,24
73,26,1,4359,73
113,43,0,7196,113
63,202,0,33405,63
153,125,0,20777,153
16,136,0,22462,16
31,192,0,31699,31
117,173,0,28666,117
83,207,0,34236,83
21,193,1,31865,21
114,26,0,4397,114
140,63,0,10536,140
164,178,0,29531,164
103,80,0,13317,103
99,11,0,1913,99
131,72,0,12011,131
158,41,0,6923,158
46,181,0,29908,46
38,99,0,16364,38
81,177,0,29288,81
151,193,0,31999,151
46,213,0,35188,46
110,87,0,14474,110
9,162,0,26754,9
40,212,1,35025,40
57,7,0,1229,57
34,161,0,26578,34
3,4,0,670,3
110,51,0,8534,110
149,162,0,26877,149
7,124,0,20460,7
113,17,0,2906,113
14,3,0,497,14
120,37,0,6223,120
52,99,0,16386,52
4,25,0,4133,4
7,3,0,495,7
34,204,0,33673,34
8,7,0,1159,8
144,29,0,4930,144
124,49,0,8207,124
31,4,0,679,31
92,75,0,12467,92
84,174,1,28796,84
52,53,0,8796,52
3,119,0,19645,3
105,43,0,7211,105
44,161,0,26609,44
25,41,0,6801,25
28,177,0,29239,28
85,79,0,13123,85
135,51,0,8548,135
76,54,0,8974,76
17,195,1,32193,17
76,84,1,13924,76
42,20,0,3340,42
57,108,0,17894,57
113,157,0,26006,113
83,28,1,4701,83
105,29,0,4901,105
84,41,0,6851,84
46,154,0,25453,46
110,43,0,7214,110
10,58,0,9600,10
27,80,1,13235,27
27,192,0,31715,27
62,50,0,8323,62
75,125,0,20692,75
36,115,0,18998,36
34,101,0,16678,34
130,46,0,7720,130
138,151,0,25051,138
33,201,0,33191,33
120,19,1,3253,120
84,29,0,4871,84
49,143,0,23636,49
62,161,0,26638,62
84,45,0,7511,84
51,130,0,21500,51
87,59,0,9822,87
153,87,0,14507,153
81,35,1,5858,81
108,176,0,29150,108
68,205,0,33893,68
119,173,0,28650,119
46,116,0,19183,46
29,5,0,840,29
32,41,0,6797,32
97,185,1,30621,97
21,199,1,32855,21
51,14,0,2360,51
105,146,0,24206,105
62,34,0,5683,62
110,118,1,19589,110
125,49,0,8212,125
148,15,0,2624,148
147,201,0,33313,147
31,151,0,24934,31
141,90,0,14992,141
7,42,0,6930,7
103,118,1,19587,103
138,40,1,6736,138
91,94,0,15601,91
31,84,1,13879,31
118,32,0,5393,118
46,15,0,2518,46
53,48,0,7972,53
53,187,1,30907,53
162,201,0,33328,162
37,201,0,33186,37
110,125,1,20744,110
10,80,1,13230,10
21,179,0,29555,21
114,151,0,25022,114
46,122,0,20173,46
128,102,0,16956,128
162,68,0,11383,162
105,128,0,21236,105
84,99,0,16421,84
28,137,0,22639,28
139,25,1,4263,139
141,167,0,27697,141
9,35,0,5799,9
80,42,0,7010,80
139,42,0,7068,139
113,178,0,29471,113
64,3,1,558,64
83,89,0,14766,83
99,201,0,33263,99
141,186,0,30832,141
151,75,1,12529,151
32,145,1,23957,32
31,163,0,26914,31
46,177,0,29248,46
37,174,0,28731,37
14,164,0,27062,14
6,175,1,28891,6
108,126,0,20900,108
3,90,1,14860,3
40,96,0,15885,40
51,115,0,19025,51
136,29,0,4917,136
84,51,0,8501,84
97,142,0,23526,97
88,113,0,18730,88
28,1,1,199,28
118,54,0,9023,118
119,186,0,30795,119
91,85,0,14116,91
141,122,0,20272,141
33,52,0,8606,33
156,167,0,27708,156
141,89,0,14827,141
44,154,0,25454,44
7,105,0,17325,7
78,7,0,1233,78
85,46,0,7678,85
113,161,0,26666,113
87,211,1,34902,87
115,148,0,24524,115
5,143,0,23623,5
142,53,0,8885,142
20,53,1,8752,20
52,176,0,29091,52
133,9,0,1624,133
0,94,0,15527,0
42,18,0,3010,42
131,176,0,29171,131
130,151,0,25045,130
117,159,0,26356,117
84,44,0,7346,84
127,63,0,10520,127
129,4,0,788,129
28,118,0,19504,28
47,204,0,33709,47
