Substrate Index,Enzyme Index,Label,Dock Index,positive_reactions
2,9,0,228,2
3,16,0,746,3
7,37,1,329,7
12,0,1,584,12
7,3,1,295,7
13,22,1,95,13
12,53,1,637,12
1,52,1,855,1
7,24,1,316,7
13,50,0,123,13
12,56,1,640,12
6,7,1,664,6
0,42,0,188,0
13,44,0,117,13
7,65,1,357,7
8,30,0,906,8
7,7,0,299,7
5,64,0,429,5
7,9,1,301,7
0,64,1,210,0
14,36,0,1058,14
7,41,1,333,7
12,27,1,611,12
6,67,0,724,6
0,15,0,161,0
6,58,1,715,6
12,37,1,621,12
6,26,1,683,6
1,9,0,812,1
14,44,0,1066,14
3,64,1,794,3
8,65,0,941,8
12,31,1,615,12
13,28,1,101,13
7,13,1,305,7
13,32,0,105,13
5,27,0,392,5
3,52,1,782,3
7,4,0,296,7
2,58,0,277,2
3,25,0,755,3
9,5,1,516,9
3,2,1,732,3
2,67,0,286,2
13,59,0,132,13
13,68,1,141,13
8,44,0,920,8
5,5,1,370,5
5,21,1,386,5
8,52,0,928,8
3,0,0,730,3
0,44,0,190,0
5,36,0,401,5
14,34,0,1056,14
13,15,1,88,13
12,7,0,591,12
6,25,1,682,6
3,11,1,741,3
8,27,0,903,8
6,55,1,712,6
5,35,1,400,5
14,21,0,1043,14
2,34,0,253,2
3,29,1,759,3
5,43,0,408,5
9,31,1,542,9
7,27,1,319,7
2,5,1,224,2
2,27,0,246,2
14,1,0,1023,14
5,4,0,369,5
6,4,1,661,6
6,41,1,698,6
13,36,1,109,13
3,34,0,764,3
0,13,1,159,0
7,30,0,322,7
9,61,1,572,9
9,47,1,558,9
9,7,1,518,9
2,25,0,244,2
8,24,0,900,8
1,7,0,810,1
9,3,1,514,9
0,11,1,157,0
13,8,1,81,13
0,34,0,180,0
7,61,1,353,7
5,53,0,418,5
6,57,1,714,6
3,40,1,770,3
12,39,0,623,12
8,32,0,908,8
8,9,0,885,8
12,15,1,599,12
2,22,1,241,2
9,55,1,566,9
5,40,0,405,5
14,50,0,1072,14
13,4,1,77,13
0,8,1,154,0
14,29,0,1051,14
1,57,1,860,1
14,53,0,1075,14
13,11,1,84,13
13,40,1,113,13
7,8,1,300,7
9,0,1,511,9
1,41,0,844,1
3,31,0,761,3
13,64,1,137,13
0,39,1,185,0
2,2,1,221,2
12,59,1,643,12
3,13,1,743,3
5,33,0,398,5
0,24,1,170,0
12,24,1,608,12
7,6,1,298,7
5,3,1,368,5
8,22,0,898,8
8,33,0,909,8
1,36,0,839,1
0,35,1,181,0
0,65,1,211,0
14,3,0,1025,14
8,42,0,918,8
6,43,1,700,6
9,39,1,550,9
9,11,1,522,9
9,22,1,533,9
1,4,0,807,1
6,32,1,689,6
13,0,0,73,13
7,42,0,334,7
7,59,0,351,7
0,53,0,199,0
12,40,1,624,12
0,30,0,176,0
9,36,1,547,9
5,29,1,394,5
3,65,1,795,3
13,2,1,75,13
12,58,1,642,12
6,34,1,691,6
12,67,0,651,12
1,49,0,852,1
0,55,1,201,0
2,53,0,272,2
14,47,0,1069,14
12,63,1,647,12
0,37,1,183,0
7,5,1,297,7
12,13,1,597,12
5,66,0,431,5
12,6,1,590,12
14,0,0,1022,14
5,67,0,432,5
2,24,1,243,2
7,28,1,320,7
7,11,1,303,7
0,67,0,213,0
7,25,1,317,7
13,39,1,112,13
14,9,0,1031,14
5,47,0,412,5
8,39,0,915,8
3,30,1,760,3
9,41,1,552,9
9,24,1,535,9
1,44,0,847,1
8,43,0,919,8
0,56,1,202,0
6,59,1,716,6
3,45,0,775,3
8,1,0,877,8
2,26,1,245,2
9,9,1,520,9
0,6,1,152,0
6,37,1,694,6
2,41,0,260,2
5,42,0,407,5
8,34,0,910,8
1,25,0,828,1
0,36,0,182,0
2,11,1,230,2
9,45,1,556,9
8,8,0,884,8
1,22,1,825,1
13,49,0,122,13
3,32,0,762,3
8,40,0,916,8
5,31,0,396,5
5,24,1,389,5
3,8,1,738,3
1,32,0,835,1
13,37,1,110,13
0,68,0,214,0
13,7,1,80,13
12,42,1,626,12
3,59,0,789,3
6,1,1,658,6
8,41,0,917,8
1,59,0,862,1
12,66,1,650,12
2,1,0,220,2
14,6,0,1028,14
12,45,1,629,12
8,25,0,901,8
13,65,1,138,13
9,65,1,576,9
3,49,0,779,3
5,63,1,428,5
9,29,1,540,9
9,33,0,544,9
12,16,1,600,12
0,57,1,203,0
12,9,1,593,12
14,8,0,1030,14
3,9,0,739,3
8,31,0,907,8
3,36,1,766,3
5,1,0,366,5
8,63,1,939,8
1,6,1,809,1
13,26,1,99,13
9,34,1,545,9
3,26,0,756,3
1,39,1,842,1
1,3,0,806,1
7,67,1,359,7
3,50,0,780,3
5,22,1,387,5
8,55,0,931,8
5,55,0,420,5
1,61,0,864,1
2,56,1,275,2
5,65,1,430,5
6,2,1,659,6
9,6,1,517,9
2,63,1,282,2
3,57,1,787,3
0,0,0,146,0
6,53,1,710,6
5,45,0,410,5
1,30,0,833,1
6,19,1,676,6
12,50,0,634,12
6,47,1,704,6
13,63,1,136,13
12,26,1,610,12
5,57,0,422,5
13,16,1,89,13
9,8,1,519,9
3,63,0,793,3
1,65,1,868,1
2,16,0,235,2
6,45,1,702,6
5,49,0,414,5
6,52,1,709,6
2,66,1,285,2
2,49,0,268,2
14,16,0,1038,14
5,30,0,395,5
12,47,1,631,12
13,29,1,102,13
6,0,1,657,6
14,19,0,1041,14
3,68,1,798,3
14,4,0,1026,14
12,25,1,609,12
0,47,0,193,0
2,45,0,264,2
3,41,1,771,3
