enzyme,reaction,label,ecnumber,difficulty,fake_ecnumber,structure_index
13634,824,0,1.1.1.37,0,3.1.1.14,-1
3504,6759,0,1.8.98.1,2,1.8.1.4,-1
10621,18315,0,2.6.1.64,4,2.6.1.64,536701
9925,19534,0,2.7.1.158,1,2.5.1.29,-1
21813,38811,0,6.3.2.52,0,4.2.3.124,116213
19160,33845,0,3.6.1.45,2,3.6.1.6,293775
12758,12437,0,2.3.1.24,1,2.7.8.1,213301
1482,3141,0,1.1.98.2,0,1.1.1.318,-1
15164,2892,0,1.1.3.44,0,3.2.1.3,149674
6385,10861,0,2.1.1.41,4,2.1.1.41,-1
18807,33421,1,3.5.4.4,-1,3.5.4.4,-1
17758,26553,0,3.4.13.9,2,3.4.23.16,-1
18104,21734,0,3.5.1.4,3,3.5.1.4,-1
2401,15701,0,2.4.1.122,0,1.3.1.98,-1
9567,9799,0,1.21.3.6,0,2.4.2.22,-1
9215,12037,0,2.3.1.87,1,2.4.1.217,-1
22091,36629,0,4.3.3.2,3,4.3.3.6,-1
17280,720,0,1.1.1.337,0,3.4.21.26,-1
24435,38646,0,6.3.2.17,3,6.3.2.17,-1
7816,12820,0,2.3.1.61,4,2.3.1.61,-1
1144,18402,0,2.6.1.82,0,1.1.1.179,173078
18442,32126,0,3.5.1.11,3,3.5.1.105,-1
1773,30885,0,3.4.23.32,0,1.1.99.29,166350
3035,38876,0,6.3.4.4,0,1.5.1.5,376787
4801,9906,0,1.14.19.26,2,1.14.13.8,268033
23089,37473,0,5.3.3.5,3,5.3.3.8,388311
18122,32188,0,3.5.1.14,3,3.5.1.5,423353
18098,37267,0,5.2.1.8,0,3.5.1.4,140443
20138,24605,0,3.2.1.21,0,4.1.1.39,-1
2631,1062,0,1.1.1.51,1,1.4.1.1,-1
5206,9259,0,1.14.14.86,3,1.14.14.92,356672
17413,33806,0,3.6.1.9,0,3.4.21.76,135068
24306,4248,0,1.2.7.6,0,6.3.2.2,156839
3626,6737,0,1.8.5.8,2,1.8.1.12,-1
23938,37907,1,6.1.1.22,-1,6.1.1.22,-1
5688,9926,0,1.14.19.44,2,1.14.20.1,-1
