reaction,enzyme,label,structure_index,positive_reactions
381,221,0,5687,
288,201,1,1165,288
392,106,0,715,
433,200,0,4839,
196,49,1,164,196
943,306,1,1999,"929,943"
512,70,0,3124,
323,229,0,5891,
846,207,0,5174,
352,122,0,3622,
801,189,0,991,
524,230,0,6083,
302,63,1,252,302
707,65,0,4274,
483,95,1,618,483
573,106,0,3888,
209,65,0,2679,
169,202,0,4971,
730,213,0,5546,
328,110,0,3146,
893,53,0,5780,
254,213,1,1437,254
362,87,1,531,362
296,80,0,3297,
261,228,1,1610,261
343,95,0,3688,
309,57,0,3247,
508,49,0,2620,
257,49,1,213,257
212,96,0,6080,
926,49,0,2600,
271,97,0,5405,
292,92,0,3617,
590,208,0,5279,
486,229,0,5838,
159,70,1,266,159
422,137,0,3366,
183,49,0,151,
311,70,1,275,311
413,94,0,4566,
464,53,0,3666,
285,201,1,1166,285
544,96,0,4007,
409,92,0,3640,
942,117,0,4156,
440,122,0,3546,
397,113,0,4101,
895,208,0,5287,
509,97,0,3839,
237,228,0,1625,
659,276,0,6487,
510,48,0,3847,
132,67,0,5426,
965,371,1,2130,965
473,314,0,6838,
391,228,0,1598,
704,113,0,6521,
803,198,0,1091,
247,137,0,5524,
409,86,0,3306,
760,162,0,4465,
473,309,0,6799,
353,49,0,3167,
942,95,0,7005,
672,110,0,4147,
366,207,0,5202,
32,26,1,54,32
261,122,0,5672,
277,97,0,2783,
223,90,0,6097,
453,209,0,5459,
736,70,0,4335,
473,48,0,3686,
192,114,0,4145,
284,207,1,1280,284
349,92,1,573,349
257,122,0,4877,
242,229,0,1715,
525,207,0,5187,
65,31,0,2410,
689,196,0,4711,
669,348,0,7074,
972,49,0,2664,
572,313,0,6835,
711,113,0,4291,
128,49,1,123,"122,128"
329,198,0,4758,
509,87,0,3408,
949,182,0,6864,
886,53,0,6212,
934,97,0,6744,
187,49,1,154,187
288,67,1,1358,288
230,49,1,195,230
348,229,0,5946,
271,67,1,1344,271
363,65,0,3199,
407,230,0,1804,
565,202,0,5007,
90,49,0,2462,
332,295,0,6607,
154,91,0,2959,
69,256,0,6406,
199,55,0,2655,
340,208,0,5303,
227,229,0,1703,
751,149,1,875,751
397,228,0,1608,
484,53,0,2852,
590,48,0,4066,
619,87,0,3477,
816,97,0,5425,
429,117,1,812,429
846,211,0,5491,
505,113,0,3826,
85,48,1,94,85
176,228,0,1574,
890,107,0,4004,
192,135,0,4237,
249,96,0,5368,
259,221,1,1523,"255,259"
804,186,0,960,
604,113,1,792,"605,604"
937,306,1,2007,"353,937"
62,0,1,7,"7,62"
199,97,0,3039,
257,91,0,5388,
409,110,0,6341,
805,203,0,1208,
939,55,0,6721,
751,374,0,7179,
271,49,1,216,271
32,247,0,6382,
247,90,0,5468,
751,159,0,4441,
918,252,1,1912,918
877,230,1,1751,877
724,80,0,3292,
139,229,0,5887,
