enzyme_id,auc,n_pos,n_neg,meets_min_support
0,nan,0,8,False
1,nan,0,7,False
2,0.75,1,8,False
3,nan,0,7,False
4,nan,0,6,False
5,0.375,1,16,False
6,0.125,1,8,False
7,0.125,1,8,False
8,nan,0,5,False
9,0.75,2,8,False
10,0.8,2,10,False
11,nan,0,9,False
12,0.16666666666666663,1,6,False
13,0.375,1,8,False
14,0.5,1,12,False
15,nan,0,8,False
16,0.14999999999999997,2,10,False
17,0.5454545454545454,1,11,False
18,0.75,1,8,False
19,0.78125,4,8,True
20,1.0,1,6,False
21,1.0,1,9,False
22,0.30000000000000004,1,10,False
23,0.125,1,8,False
24,0.9090909090909091,1,11,False
25,1.0,1,5,False
26,0.125,1,8,False
27,0.29629629629629634,3,9,True
28,nan,0,5,False
29,nan,0,5,False
30,0.2222222222222222,1,9,False
31,0.2857142857142857,1,7,False
32,0.0,1,9,False
33,0.0,1,10,False
34,0.8571428571428572,1,7,False
35,0.8,1,10,False
36,1.0,1,9,False
37,nan,0,9,False
38,nan,0,11,False
39,nan,0,11,False
40,nan,0,7,False
41,nan,0,10,False
42,nan,0,5,False
43,nan,0,7,False
44,0.5,1,10,False
45,0.11111111111111116,1,9,False
46,nan,0,8,False
47,0.05882352941176472,1,17,False
48,nan,0,10,False
49,nan,0,10,False
50,nan,0,8,False
51,nan,0,7,False
52,nan,0,7,False
53,nan,0,10,False
54,nan,0,7,False
55,nan,0,12,False
56,nan,0,8,False
57,nan,0,6,False
58,nan,0,7,False
59,0.09090909090909094,1,11,False
60,0.11111111111111116,1,9,False
61,nan,0,16,False
62,nan,0,15,False
63,0.6,1,10,False
64,nan,0,6,False
65,0.07692307692307687,1,13,False
66,0.3125,2,8,False
67,0.7666666666666666,6,5,True
68,0.3846153846153846,1,13,False
69,0.6666666666666667,1,6,False
70,0.5,2,13,False
71,nan,0,5,False
72,0.35,2,10,False
73,0.4761904761904762,3,7,True
74,0.33333333333333337,4,12,True
75,0.33333333333333337,2,3,False
76,0.22222222222222224,4,9,True
77,0.7142857142857143,1,7,False
78,nan,0,8,False
79,nan,0,7,False
80,nan,0,10,False
81,nan,0,9,False
82,nan,0,6,False
83,nan,0,5,False
84,0.0,2,7,False
85,0.09090909090909088,2,11,False
86,nan,0,12,False
87,nan,0,13,False
88,nan,0,15,False
89,nan,0,12,False
90,nan,0,8,False
91,nan,0,10,False
92,0.18181818181818177,1,11,False
93,0.6,1,5,False
94,nan,0,5,False
96,0.0,1,5,False
97,0.4545454545454546,1,11,False
98,nan,0,11,False
99,0.0,1,5,False
100,nan,0,10,False
101,nan,0,6,False
102,0.36363636363636365,1,11,False
103,0.33333333333333337,1,9,False
104,0.4285714285714286,1,7,False
105,0.5714285714285714,1,7,False
106,nan,0,5,False
107,nan,0,10,False
108,nan,0,6,False
109,0.8888888888888888,2,9,False
110,nan,0,12,False
111,nan,0,9,False
112,nan,0,7,False
113,1.0,1,12,False
114,0.11111111111111116,1,9,False
115,0.2857142857142857,1,7,False
116,nan,0,9,False
117,nan,0,10,False
118,0.6,1,5,False
119,0.6,1,10,False
120,0.4,1,5,False
121,0.33333333333333337,1,6,False
122,0.16666666666666663,1,6,False
123,nan,0,3,False
124,nan,0,3,False
125,nan,0,12,False
126,nan,0,5,False
127,0.375,2,8,False
129,1.0,1,6,False
130,0.375,1,8,False
131,0.5,2,7,False
132,0.25,2,12,False
133,0.19999999999999996,1,10,False
134,0.16666666666666663,1,6,False
135,0.5384615384615384,1,13,False
136,nan,0,6,False
137,1.0,2,11,False
138,nan,0,14,False
139,0.7291666666666666,4,12,True
140,nan,0,16,False
141,1.0,1,10,False
142,0.0,1,5,False
143,0.625,2,8,False
144,0.8,2,10,False
145,0.375,1,8,False
146,nan,0,2,False
147,1.0,1,8,False
148,nan,0,10,False
149,0.37499999999999994,3,8,True
150,nan,0,9,False
151,0.425,4,10,True
152,0.0,1,4,False
153,nan,0,12,False
154,0.33333333333333337,1,6,False
155,nan,0,9,False
156,0.4,2,5,False
157,0.0,1,9,False
158,nan,0,10,False
159,nan,0,10,False
160,0.3571428571428571,1,14,False
161,1.0,1,12,False
162,0.3,2,15,False
163,0.5555555555555556,27,7,True
164,0.36363636363636365,1,11,False
165,nan,0,9,False
166,0.5,1,8,False
167,1.0,1,4,False
168,0.2727272727272727,1,11,False
169,nan,0,7,False
170,0.3076923076923077,1,13,False
171,0.6,1,10,False
172,0.5,3,8,True
173,nan,0,6,False
174,0.09999999999999998,1,10,False
175,0.625,1,8,False
176,nan,0,13,False
177,0.33333333333333326,3,5,True
178,0.5555555555555556,2,9,False
179,nan,0,7,False
180,0.4444444444444444,1,9,False
181,0.11111111111111108,3,6,True
182,nan,0,12,False
183,0.0,1,7,False
184,nan,0,7,False
185,nan,0,10,False
186,nan,0,8,False
187,nan,0,14,False
188,nan,0,5,False
189,0.8181818181818181,1,11,False
190,nan,0,14,False
191,nan,0,10,False
192,nan,0,9,False
193,nan,0,6,False
194,nan,0,6,False
195,nan,0,7,False
196,0.33333333333333337,1,9,False
197,nan,0,6,False
198,0.4,1,5,False
199,nan,0,8,False
200,nan,0,12,False
201,0.125,1,8,False
203,0.4285714285714286,1,7,False
204,0.6818181818181818,10,11,True
205,nan,0,12,False
206,0.6666666666666667,2,6,False
207,0.8571428571428572,2,7,False
208,0.6428571428571428,1,14,False
209,1.0,1,10,False
210,0.8181818181818181,1,11,False
211,nan,0,11,False
212,nan,0,10,False
213,nan,0,4,False
214,0.09090909090909094,1,11,False
215,nan,0,5,False
216,nan,0,16,False
217,0.5,1,8,False
218,nan,0,10,False
220,0.9166666666666666,3,8,True
221,nan,0,13,False
222,nan,0,5,False
224,nan,0,8,False
225,0.0,1,9,False
226,nan,0,14,False
227,nan,0,12,False
228,0.0,1,3,False
229,0.7,1,10,False
230,0.19999999999999996,2,5,False
231,nan,0,10,False
232,nan,0,7,False
233,nan,0,9,False
234,0.2857142857142857,1,7,False
235,0.9,1,10,False
236,nan,0,8,False
239,nan,0,9,False
240,nan,0,6,False
241,nan,0,8,False
242,0.8571428571428572,1,14,False
243,0.6666666666666667,1,6,False
244,0.5833333333333333,1,12,False
245,1.0,1,10,False
246,0.9600000000000001,5,15,True
247,0.875,1,8,False
248,0.375,1,8,False
249,nan,0,15,False
251,nan,0,10,False
252,nan,0,7,False
253,nan,0,6,False
254,nan,0,10,False
255,nan,0,10,False
256,0.375,1,8,False
257,nan,0,8,False
258,nan,0,8,False
259,0.6363636363636364,1,11,False
260,nan,0,8,False
262,0.75,1,8,False
263,0.9090909090909091,2,11,False
264,1.0,3,5,True
265,0.05555555555555554,3,12,True
266,nan,0,7,False
267,1.0,1,8,False
268,nan,0,5,False
270,nan,0,4,False
271,nan,0,9,False
272,0.4375,1,16,False
273,0.6,1,10,False
274,0.0,1,9,False
275,nan,0,12,False
276,nan,0,12,False
277,0.6666666666666667,1,12,False
278,0.6153846153846154,1,13,False
279,0.546875,8,8,True
280,0.5,1,10,False
281,0.23076923076923073,1,13,False
282,nan,0,8,False
283,nan,0,9,False
