enzyme_index,n_pos,n_neg,auc
2,1,8,0.75
5,1,16,0.375
6,1,8,0.125
7,1,8,0.125
9,2,8,0.75
10,2,10,0.8
12,1,6,0.16666666666666663
13,1,8,0.375
14,1,12,0.5
16,2,10,0.14999999999999997
17,1,11,0.5454545454545454
18,1,8,0.75
19,4,8,0.78125
20,1,6,1.0
21,1,9,1.0
22,1,10,0.30000000000000004
23,1,8,0.125
24,1,11,0.9090909090909091
25,1,5,1.0
26,1,8,0.125
27,3,9,0.29629629629629634
30,1,9,0.2222222222222222
31,1,7,0.2857142857142857
32,1,9,0.0
33,1,10,0.0
34,1,7,0.8571428571428572
35,1,10,0.8
36,1,9,1.0
44,1,10,0.5
45,1,9,0.11111111111111116
47,1,17,0.05882352941176472
59,1,11,0.09090909090909094
60,1,9,0.11111111111111116
63,1,10,0.6
65,1,13,0.07692307692307687
66,2,8,0.3125
67,6,5,0.7666666666666666
68,1,13,0.3846153846153846
69,1,6,0.6666666666666667
70,2,13,0.5
72,2,10,0.35
73,3,7,0.4761904761904762
74,4,12,0.33333333333333337
76,4,9,0.22222222222222224
77,1,7,0.7142857142857143
84,2,7,0.0
85,2,11,0.09090909090909088
92,1,11,0.18181818181818177
93,1,5,0.6
96,1,5,0.0
97,1,11,0.4545454545454546
99,1,5,0.0
102,1,11,0.36363636363636365
103,1,9,0.33333333333333337
104,1,7,0.4285714285714286
105,1,7,0.5714285714285714
109,2,9,0.8888888888888888
113,1,12,1.0
114,1,9,0.11111111111111116
115,1,7,0.2857142857142857
118,1,5,0.6
119,1,10,0.6
120,1,5,0.4
121,1,6,0.33333333333333337
122,1,6,0.16666666666666663
127,2,8,0.375
129,1,6,1.0
130,1,8,0.375
131,2,7,0.5
132,2,12,0.25
133,1,10,0.19999999999999996
134,1,6,0.16666666666666663
135,1,13,0.5384615384615384
137,2,11,1.0
139,4,12,0.7291666666666666
141,1,10,1.0
142,1,5,0.0
143,2,8,0.625
144,2,10,0.8
145,1,8,0.375
147,1,8,1.0
149,3,8,0.37499999999999994
151,4,10,0.425
154,1,6,0.33333333333333337
156,2,5,0.4
157,1,9,0.0
160,1,14,0.3571428571428571
161,1,12,1.0
162,2,15,0.3
163,27,7,0.5555555555555556
164,1,11,0.36363636363636365
166,1,8,0.5
168,1,11,0.2727272727272727
170,1,13,0.3076923076923077
171,1,10,0.6
172,3,8,0.5
174,1,10,0.09999999999999998
175,1,8,0.625
177,3,5,0.33333333333333326
178,2,9,0.5555555555555556
180,1,9,0.4444444444444444
181,3,6,0.11111111111111108
183,1,7,0.0
189,1,11,0.8181818181818181
196,1,9,0.33333333333333337
198,1,5,0.4
201,1,8,0.125
203,1,7,0.4285714285714286
204,10,11,0.6818181818181818
206,2,6,0.6666666666666667
207,2,7,0.8571428571428572
208,1,14,0.6428571428571428
209,1,10,1.0
210,1,11,0.8181818181818181
214,1,11,0.09090909090909094
217,1,8,0.5
220,3,8,0.9166666666666666
225,1,9,0.0
229,1,10,0.7
230,2,5,0.19999999999999996
234,1,7,0.2857142857142857
235,1,10,0.9
242,1,14,0.8571428571428572
243,1,6,0.6666666666666667
244,1,12,0.5833333333333333
245,1,10,1.0
246,5,15,0.9600000000000001
247,1,8,0.875
248,1,8,0.375
256,1,8,0.375
259,1,11,0.6363636363636364
262,1,8,0.75
263,2,11,0.9090909090909091
264,3,5,1.0
265,3,12,0.05555555555555554
267,1,8,1.0
272,1,16,0.4375
273,1,10,0.6
274,1,9,0.0
277,1,12,0.6666666666666667
278,1,13,0.6153846153846154
279,8,8,0.546875
280,1,10,0.5
281,1,13,0.23076923076923073
285,5,10,0.78
288,1,9,0.11111111111111116
290,1,11,0.2727272727272727
291,3,13,0.7948717948717948
