substrate_index,n_pos,n_neg,auc,pos_logit_mean,neg_logit_mean,score_gap
0,2,19,0.8947368421052632,0.895131875,-0.3214924742631579,1.2166243492631579
1,3,28,0.9047619047619048,-0.4972321153333333,-3.1066186689285713,2.609386553595238
2,1,11,0.4545454545454546,-2.0300446,-1.869865223090909,-0.16017937690909112
4,1,9,0.33333333333333337,-4.93113,-4.270269211111111,-0.6608607888888889
5,2,19,0.5263157894736842,-1.399182875,-1.4246876273684212,0.025504752368421313
7,1,9,1.0,1.6521268,-1.253545769222222,2.9056725692222223
8,1,10,1.0,1.296653,-1.4012859876,2.6979389875999997
9,1,9,1.0,2.4452918,-2.5861582422222225,5.031450042222223
10,1,10,1.0,1.9725447,-1.0555664704999999,3.0281111705
12,4,37,0.6351351351351351,-4.418478,-5.176513943243243,0.7580359432432431
13,1,11,0.7272727272727273,-5.458376,-9.082535272727272,3.6241592727272716
14,1,9,0.5555555555555556,-2.891522,-4.384677066666667,1.4931550666666666
15,2,19,0.7105263157894737,-2.7618829,-3.8296807736842102,1.0677978736842104
17,2,19,0.1842105263157895,-1.0111105,-0.5017054560526315,-0.5094050439473685
19,1,9,0.2222222222222222,-4.926946,-3.901436322222222,-1.025509677777778
20,1,9,1.0,0.62069577,-1.4422202759999998,2.062916046
21,1,9,0.2222222222222222,0.24626714,1.0725057444444444,-0.8262386044444443
22,1,9,0.6666666666666667,-3.580925,-4.148545133333334,0.5676201333333339
23,2,19,0.8421052631578947,-3.6654264000000003,-7.701462452631579,4.036036052631578
24,8,75,0.4816666666666667,-2.9929578625,-3.093810015373333,0.10085215287333327
25,4,37,0.7094594594594594,-3.9160808000000005,-5.717860617837839,1.8017798178378381
26,1,9,0.6666666666666667,-0.32409352,-2.4824876500000004,2.1583941300000005
28,1,9,0.5555555555555556,-3.7967677,-5.237843201111112,1.4410755011111114
39,2,19,0.368421052631579,-4.196294,-3.971438226315789,-0.22485577368421117
40,1,9,0.6666666666666667,-0.72070396,-0.9292553122222222,0.2085513522222222
46,2,20,0.8250000000000001,-0.45680142,-1.3761686180000001,0.9193671980000001
47,1,10,0.9,0.16888756,-0.769755749,0.9386433089999999
48,2,19,0.5263157894736843,-3.0634483,-3.419059384210526,0.3556110842105258
49,1,9,0.6666666666666667,-5.399687,-7.686647777777779,2.2869607777777787
50,2,20,0.22499999999999998,-5.2213722,-3.4264206695000006,-1.7949515304999997
51,1,9,0.11111111111111116,-9.16839,-5.365583,-3.8028070000000005
52,1,9,0.11111111111111116,-3.734634,-2.4932200666666673,-1.2414139333333325
53,1,10,0.0,-8.634709,-3.5434870700000003,-5.091221930000001
54,1,9,0.4444444444444444,-0.3984357,-0.6208363233333333,0.22240062333333327
55,1,9,0.5555555555555556,-1.1408925,-0.92624,-0.21465250000000013
56,1,10,0.4,-0.93553084,-1.949154005,1.013623165
58,1,10,1.0,-3.1117826,-5.95830626,2.8465236599999995
59,1,9,1.0,0.034427434,-2.4964734566666666,2.5309008906666666
60,6,56,0.12202380952380953,-9.3787095,-4.834050665089285,-4.544658834910714
61,1,9,0.0,-6.4130373,-2.2513939177777775,-4.1616433822222225
75,4,37,0.43918918918918914,-3.770837275,-3.7379620527027027,-0.032875222297297224
76,1,9,0.2222222222222222,-3.5505118,-3.5044953222222217,-0.04601647777777851
77,1,10,0.4,-2.0992472,-3.333331587,1.2340843869999998
78,1,9,0.2222222222222222,-5.3923273,-2.7797749466666666,-2.6125523533333332
79,1,10,0.19999999999999996,-2.6743884,-1.7943505859999997,-0.8800378140000005
80,2,19,0.5789473684210527,-7.2000925,-7.592412015789475,0.39231951578947477
81,1,9,0.8888888888888888,-0.8074187,-2.550105441111111,1.742686741111111
82,1,10,0.4,-6.8439026,-6.5578027500000005,-0.2860998499999994
83,1,9,0.7777777777777778,-1.9187405,-3.4620766555555553,1.5433361555555554
84,1,9,0.6666666666666667,-0.25426027,-0.7272605277777777,0.4730002577777777
86,1,10,0.6,-4.0345716,-6.21629175,2.1817201500000003
93,1,9,0.6666666666666667,-2.3855188,-4.686182733333333,2.3006639333333334
94,1,11,0.18181818181818177,-2.7929533,-1.3075890272727273,-1.485364272727273
98,2,19,0.4210526315789474,-6.718741,-6.064861042105264,-0.6538799578947359
99,2,19,0.6052631578947368,-3.7771735499999997,-4.624561999894737,0.847388449894737
102,1,11,1.0,3.0306191,-4.02657953,7.05719863
103,1,9,0.8888888888888888,2.6326046,-0.7720686800000001,3.40467328
104,1,9,0.4444444444444444,-3.0276108,-3.319855555555556,0.2922447555555556
105,1,9,0.5555555555555556,-2.72022,-2.9210624111111105,0.20084241111111067
106,1,9,1.0,1.0196743,-1.2749807182222224,2.2946550182222225
107,1,9,1.0,1.9675343,-0.2577680044444445,2.2253023044444444
108,1,9,0.11111111111111116,-7.9898415,-4.380622566666666,-3.6092189333333335
109,1,10,1.0,2.524011,-1.4143889539999999,3.9383999539999994
113,1,9,0.0,-6.235059,-3.120505188888889,-3.1145538111111106
115,1,10,0.9,-0.98226863,-3.27456315,2.29229452
117,1,10,0.8,-1.7892606,-3.62244777,1.83318717
119,1,9,0.0,-11.042004,-4.9974822888888895,-6.044521711111111
120,3,28,0.2976190476190476,-1.2961621193333335,0.07511180589285717,-1.3712739252261907
124,2,20,0.44999999999999996,-3.9346843499999995,-3.56656522,-0.3681191299999993
125,2,19,0.763157894736842,-3.7574761,-5.16019197894737,1.4027158789473697
133,1,10,1.0,0.81061214,-1.181459493,1.9920716330000001
134,3,28,0.9047619047619048,-0.7701617566666666,-2.6128911407142854,1.8427293840476189
135,1,9,0.7777777777777778,0.5296716,-1.1117199133333335,1.6413915133333337
136,2,19,0.5,-1.921074935,-1.8759347421052635,-0.045140192894736586
138,1,9,0.8888888888888888,1.6827323,-0.15532499577777784,1.8380572957777779
139,1,9,0.11111111111111116,-2.8370333,-2.0454055888888885,-0.7916277111111114
142,1,9,0.11111111111111116,-7.338144,-3.911539453333333,-3.426604546666667
143,1,9,0.2222222222222222,-7.4728928,-6.176753322222222,-1.2961394777777784
145,1,11,0.7272727272727273,-0.9522814,-1.6576957745454548,0.7054143745454549
146,1,9,0.8888888888888888,-0.5938973,-2.4063967555555554,1.8124994555555554
151,1,9,0.0,-8.16448,-1.9660958866666667,-6.198384113333333
152,1,9,1.0,-0.34480804,-2.680426407777778,2.335618367777778
153,2,20,0.525,-2.45451915,-2.9720536525,0.5175345025000002
157,1,10,0.0,-9.671688,-3.92142375,-5.750264249999999
158,1,9,0.33333333333333337,-4.017708,-4.886569266666667,0.8688612666666673
159,1,9,0.5555555555555556,-6.414605,-6.573954422222222,0.15934942222222226
160,2,19,0.2894736842105263,-5.6843848,-3.1100199315789476,-2.5743648684210525
161,1,9,0.11111111111111116,-5.941346,-5.408387666666666,-0.5329583333333341
162,1,9,0.11111111111111116,-4.471576,-2.866293411111111,-1.6052825888888886
169,1,9,0.11111111111111116,-6.626091,-2.5676688906666665,-4.058422109333334
170,1,9,0.11111111111111116,-3.448565,-0.34781452444444444,-3.1007504755555555
172,1,9,0.0,-9.418077,-5.6779265444444444,-3.740150455555556
175,1,9,0.0,-6.6428304,-3.98610968888889,-2.6567207111111104
176,1,10,0.09999999999999998,-3.3572636,-1.535705084,-1.821558516
177,1,9,0.11111111111111116,-1.6473663,-0.3316486577777778,-1.3157176422222223
