Substrate Index,n_total,n_pos,p_pos
0,21,2,0.09523809523809523
1,31,3,0.0967741935483871
2,12,1,0.08333333333333333
4,10,1,0.1
5,21,2,0.09523809523809523
7,10,1,0.1
8,11,1,0.09090909090909091
9,10,1,0.1
10,11,1,0.09090909090909091
12,41,4,0.0975609756097561
13,12,1,0.08333333333333333
14,10,1,0.1
15,21,2,0.09523809523809523
17,21,2,0.09523809523809523
18,7,0,0.0
19,10,1,0.1
20,10,1,0.1
21,10,1,0.1
22,10,1,0.1
23,21,2,0.09523809523809523
24,83,8,0.0963855421686747
25,41,4,0.0975609756097561
26,10,1,0.1
27,5,0,0.0
28,10,1,0.1
39,21,2,0.09523809523809523
40,10,1,0.1
46,22,2,0.09090909090909091
47,11,1,0.09090909090909091
48,21,2,0.09523809523809523
49,10,1,0.1
50,22,2,0.09090909090909091
51,10,1,0.1
52,10,1,0.1
53,11,1,0.09090909090909091
54,10,1,0.1
55,10,1,0.1
56,11,1,0.09090909090909091
58,11,1,0.09090909090909091
59,10,1,0.1
60,62,6,0.0967741935483871
61,10,1,0.1
75,41,4,0.0975609756097561
76,10,1,0.1
77,11,1,0.09090909090909091
78,10,1,0.1
79,11,1,0.09090909090909091
80,21,2,0.09523809523809523
81,10,1,0.1
82,11,1,0.09090909090909091
83,10,1,0.1
84,10,1,0.1
86,11,1,0.09090909090909091
93,10,1,0.1
94,12,1,0.08333333333333333
98,21,2,0.09523809523809523
99,21,2,0.09523809523809523
102,12,1,0.08333333333333333
103,10,1,0.1
104,10,1,0.1
105,10,1,0.1
106,10,1,0.1
107,10,1,0.1
108,10,1,0.1
109,11,1,0.09090909090909091
113,10,1,0.1
115,11,1,0.09090909090909091
117,11,1,0.09090909090909091
119,10,1,0.1
120,31,3,0.0967741935483871
124,22,2,0.09090909090909091
125,21,2,0.09523809523809523
133,11,1,0.09090909090909091
134,31,3,0.0967741935483871
135,10,1,0.1
136,21,2,0.09523809523809523
138,10,1,0.1
139,10,1,0.1
142,10,1,0.1
143,10,1,0.1
145,12,1,0.08333333333333333
146,10,1,0.1
151,10,1,0.1
152,10,1,0.1
153,22,2,0.09090909090909091
157,11,1,0.09090909090909091
158,10,1,0.1
159,10,1,0.1
160,21,2,0.09523809523809523
161,10,1,0.1
162,10,1,0.1
169,10,1,0.1
170,10,1,0.1
172,10,1,0.1
175,10,1,0.1
176,11,1,0.09090909090909091
177,10,1,0.1
178,10,1,0.1
179,10,1,0.1
180,11,1,0.09090909090909091
185,10,1,0.1
186,10,1,0.1
187,10,1,0.1
191,12,1,0.08333333333333333
192,10,1,0.1
193,10,1,0.1
205,10,1,0.1
206,10,1,0.1
209,10,1,0.1
214,11,1,0.09090909090909091
215,10,1,0.1
217,11,1,0.09090909090909091
218,10,1,0.1
219,10,1,0.1
220,11,1,0.09090909090909091
225,13,1,0.07692307692307693
226,10,1,0.1
227,10,1,0.1
233,10,1,0.1
234,11,1,0.09090909090909091
235,10,1,0.1
236,11,1,0.09090909090909091
241,10,1,0.1
242,10,1,0.1
243,7,0,0.0
245,2,0,0.0
246,10,1,0.1
247,10,1,0.1
248,10,1,0.1
259,41,4,0.0975609756097561
273,11,1,0.09090909090909091
274,10,1,0.1
275,10,1,0.1
276,11,1,0.09090909090909091
287,11,1,0.09090909090909091
301,11,1,0.09090909090909091
302,10,1,0.1
303,11,1,0.09090909090909091
304,10,1,0.1
305,10,1,0.1
306,11,1,0.09090909090909091
307,10,1,0.1
308,10,1,0.1
309,10,1,0.1
313,10,1,0.1
314,10,1,0.1
326,21,2,0.09523809523809523
327,31,3,0.0967741935483871
328,21,2,0.09523809523809523
329,21,2,0.09523809523809523
331,10,1,0.1
332,10,1,0.1
333,10,1,0.1
334,10,1,0.1
335,11,1,0.09090909090909091
336,10,1,0.1
337,11,1,0.09090909090909091
338,10,1,0.1
339,10,1,0.1
340,10,1,0.1
341,11,1,0.09090909090909091
342,10,1,0.1
343,10,1,0.1
344,10,1,0.1
345,10,1,0.1
346,11,1,0.09090909090909091
347,10,1,0.1
350,11,1,0.09090909090909091
351,10,1,0.1
352,10,1,0.1
353,10,1,0.1
354,10,1,0.1
356,11,1,0.09090909090909091
357,10,1,0.1
358,10,1,0.1
359,10,1,0.1
360,11,1,0.09090909090909091
361,10,1,0.1
362,11,1,0.09090909090909091
363,10,1,0.1
364,10,1,0.1
365,11,1,0.09090909090909091
366,10,1,0.1
367,10,1,0.1
368,10,1,0.1
370,10,1,0.1
374,10,1,0.1
375,12,1,0.08333333333333333
376,10,1,0.1
377,10,1,0.1
380,10,1,0.1
381,10,1,0.1
386,10,1,0.1
390,11,1,0.09090909090909091
391,10,1,0.1
392,12,1,0.08333333333333333
393,10,1,0.1
394,10,1,0.1
395,11,1,0.09090909090909091
396,10,1,0.1
412,10,1,0.1
413,10,1,0.1
414,10,1,0.1
415,10,1,0.1
416,10,1,0.1
417,10,1,0.1
418,9,1,0.1111111111111111
421,10,1,0.1
425,11,1,0.09090909090909091
426,10,1,0.1
427,10,1,0.1
428,10,1,0.1
430,10,1,0.1
432,10,1,0.1
433,10,1,0.1
434,10,1,0.1
435,10,1,0.1
