Substrate Index,auc,n_pos,n_neg,n_total,promiscuity,family
0,0.875,2,20,22,7,Duf
1,1.0,3,25,28,25,Duf
2,0.8115942028985508,3,23,26,34,Duf
3,0.6748768472906403,7,29,36,25,Duf
5,0.8,5,23,28,28,Duf
6,0.9770114942528736,3,29,32,15,Duf
7,0.9821428571428571,7,32,39,16,Duf
8,0.77,4,25,29,18,Duf
10,0.28,3,25,28,4,Duf
11,0.8347826086956521,5,23,28,21,Duf
12,0.9217391304347826,5,23,28,16,Duf
13,0.525,2,20,22,8,Duf
14,0.38888888888888895,2,27,29,10,Duf
16,0.9047619047619048,2,21,23,16,Duf
0,0.9294117647058824,17,5,22,101,Esterase
3,0.9020979020979021,22,13,35,107,Esterase
4,0.9071428571428571,7,20,27,28,Esterase
5,0.9473684210526316,7,19,26,44,Esterase
6,0.968421052631579,5,19,24,28,Esterase
7,0.875,4,30,34,9,Esterase
8,0.5111111111111111,3,30,33,16,Esterase
9,0.7681159420289855,23,3,26,122,Esterase
12,0.8909090909090909,10,22,32,58,Esterase
13,0.9365079365079365,7,18,25,57,Esterase
14,0.9874999999999999,4,20,24,29,Esterase
16,0.9807692307692308,4,26,30,7,Esterase
17,0.875,7,24,31,19,Esterase
18,0.9848484848484849,3,22,25,32,Esterase
19,0.826388888888889,8,18,26,68,Esterase
22,0.7246376811594203,3,23,26,22,Esterase
23,0.9821428571428572,2,28,30,9,Esterase
25,0.9702380952380952,7,24,31,28,Esterase
27,0.9555555555555556,3,15,18,25,Esterase
28,0.7294117647058823,17,10,27,64,Esterase
31,0.8774193548387097,31,5,36,125,Esterase
32,1.0,2,21,23,17,Esterase
33,0.9772727272727273,2,22,24,11,Esterase
35,0.8333333333333334,6,18,24,39,Esterase
38,0.9375,11,16,27,46,Esterase
39,0.75,4,16,20,19,Esterase
40,0.9142857142857144,5,21,26,34,Esterase
41,0.7687499999999999,10,16,26,58,Esterase
42,0.9159663865546218,7,17,24,27,Esterase
43,0.8181818181818181,3,22,25,31,Esterase
45,0.9285714285714285,8,21,29,38,Esterase
46,0.7678571428571428,2,28,30,10,Esterase
47,0.9500000000000001,5,24,29,33,Esterase
50,0.8157894736842106,2,19,21,13,Esterase
53,1.0,4,20,24,40,Esterase
55,0.746031746031746,6,21,27,31,Esterase
56,0.9553571428571428,7,16,23,54,Esterase
57,0.8823529411764706,5,34,39,30,Esterase
58,0.895,10,20,30,57,Esterase
59,0.9558823529411764,4,17,21,32,Esterase
60,0.93125,8,20,28,44,Esterase
61,1.0,2,16,18,37,Esterase
64,0.8444444444444446,5,27,32,33,Esterase
65,0.84375,4,16,20,43,Esterase
67,0.9841269841269841,6,21,27,36,Esterase
68,0.8823529411764706,10,17,27,46,Esterase
70,0.7352941176470589,17,16,33,64,Esterase
71,0.9508771929824562,15,19,34,55,Esterase
72,0.9583333333333333,2,24,26,12,Esterase
73,0.9074074074074074,3,18,21,28,Esterase
74,0.8482142857142857,14,16,30,57,Esterase
75,0.5714285714285714,2,28,30,7,Esterase
76,0.75,2,18,20,19,Esterase
