family,bin,n_pos,n_neg,n_substrates,prom_median,auc,low_confidence,note
Duf,2,0,26,1,2.0,,True,single class
Duf,3-4,3,25,1,4.0,0.28,True,
Duf,5-8,4,40,2,7.5,0.66875,True,
Duf,9-16,20,161,6,15.5,0.8754658385093168,False,
Duf,17-32,24,144,6,23.0,0.8310185185185185,False,
Duf,33-64,3,23,1,34.0,0.8115942028985508,True,
Esterase,1,0,91,4,1.0,,True,single class
Esterase,2,1,53,2,2.0,0.9811320754716981,True,
Esterase,3-4,2,126,5,3.0,0.9246031746031745,True,
Esterase,5-8,9,121,5,7.0,0.82277318640955,True,
Esterase,9-16,29,387,16,11.5,0.888443375211619,False,
Esterase,17-32,85,419,21,28.0,0.8879685525761618,False,
Esterase,33-64,198,462,25,44.0,0.8883204337749792,False,
Esterase,65-128,185,91,10,104.0,0.8312444312444313,False,
Esterase,129-256,23,1,1,139.0,0.8695652173913043,True,
Gt_acceptor,1,2,109,12,1.0,0.10550458715596328,True,
Gt_acceptor,2,3,31,5,2.0,0.4946236559139785,True,
Gt_acceptor,3-4,7,53,7,3.0,0.7681940700808625,True,
Gt_acceptor,5-8,15,88,10,7.0,0.49621212121212116,False,
Gt_acceptor,9-16,22,71,12,12.5,0.5396927016645326,False,
Gt_acceptor,17-32,68,70,18,24.5,0.7342436974789915,False,
Gt_acceptor,33-64,60,9,7,45.0,0.674074074074074,True,
Nitrilase,1,3,38,14,1.0,0.8070175438596492,True,
Nitrilase,2,4,12,6,2.0,0.9791666666666666,True,
Nitrilase,3-4,5,27,11,3.0,0.7777777777777779,True,
Nitrilase,5-8,2,16,4,5.0,1.0,True,
Phosphatase,2,1,38,1,2.0,1.0,True,
Phosphatase,3-4,1,190,5,4.0,0.6947368421052631,True,
Phosphatase,5-8,22,672,19,6.0,0.6939935064935066,False,
Phosphatase,9-16,60,926,27,12.0,0.7864830813534918,False,
Phosphatase,17-32,116,931,27,23.0,0.7662320826697284,False,
Phosphatase,33-64,627,2259,75,48.0,0.8919127671486656,False,
Phosphatase,65-128,151,297,11,67.0,0.8613508149931992,False,
Thiolase,9-16,2,33,3,10.0,1.0,True,
Thiolase,17-32,14,20,3,28.0,0.6642857142857143,False,
Thiolase,33-64,42,28,5,46.0,0.6581632653061225,False,
Thiolase,65-128,33,1,3,71.0,0.24242424242424243,True,
P450,1,183,1705,183,1.0,0.5255452462221368,False,
P450,2,40,384,20,2.0,0.51484375,False,
P450,3-4,28,260,8,3.5,0.5449175824175824,False,
P450,5-8,14,131,2,7.0,0.3451472191930207,False,
