enzyme_index,n_substrates,n_pos,n_neg,auc,mean_logit_pos,mean_logit_neg
2,1,1,8,0.75,-0.5552775,-3.3702241668750004
5,1,1,16,0.375,-4.366141,-3.58439670875
6,1,1,8,0.125,-6.8439026,-2.46711523125
7,1,1,8,0.125,-5.950591,-2.2533443587499997
9,2,2,8,0.75,-0.9477668050000001,-2.1823887875
10,2,2,10,0.8,-0.265285483,-1.998878323
12,1,1,6,0.16666666666666663,-6.026374,-3.8805365
13,1,1,8,0.375,-5.3923273,-4.424713575
14,1,1,12,0.5,-2.0532708,-2.498281496666667
16,2,2,10,0.14999999999999997,-3.69787275,-1.8831275520000001
17,1,1,11,0.5454545454545454,-2.2248404,-3.4244944636363637
18,1,1,8,0.75,-0.4859588,-2.1832708175
19,4,4,8,0.78125,0.170270706,-3.7185606125
20,1,1,6,1.0,-0.34480804,-4.07706908
21,1,1,9,1.0,-1.51051,-8.355677011111112
22,1,1,10,0.30000000000000004,-2.7929533,-2.3387215284
23,1,1,8,0.125,-4.9813967,-2.3509436087499997
24,1,1,11,0.9090909090909091,-0.72070396,-4.427967263636363
25,1,1,5,1.0,-2.64353,-6.1040076
26,1,1,8,0.125,-5.3695474,-1.40322804125
27,3,3,9,0.29629629629629634,-7.179244333333334,-4.981608416666666
30,1,1,9,0.2222222222222222,-4.355162,-3.281711851111111
31,1,1,7,0.2857142857142857,-4.0345716,-2.7388946499999993
32,1,1,9,0.0,-6.4995236,-1.1006201034444443
33,1,1,10,0.0,-9.188349,-2.5634753959999994
34,1,1,7,0.8571428571428572,-0.5326456,-4.489199214285714
35,1,1,10,0.8,-0.8074187,-1.6872435499999998
36,1,1,9,1.0,-0.32409352,-2.939776611111111
44,1,1,10,0.5,-3.2088122,-3.2832666270000006
45,1,1,9,0.11111111111111116,-3.714729,-1.4469529815555555
47,1,1,17,0.05882352941176472,-4.926946,-1.9178300676470585
59,1,1,11,0.09090909090909094,-7.270801,-3.887149021818182
60,1,1,9,0.11111111111111116,-4.980535,-2.9129724433333335
63,1,1,10,0.6,-2.1550248,-2.429927987
65,1,1,13,0.07692307692307687,-6.626091,-2.8357886111538466
66,3,2,8,0.3125,-5.206461,-3.4794120674999998
67,6,6,5,0.7666666666666666,-1.2426053200000002,-3.37536378
68,1,1,13,0.3846153846153846,-4.7119784,-4.478823884615386
69,1,1,6,0.6666666666666667,-1.7892606,-3.5572791049999997
70,2,2,13,0.5,-3.608663815,-4.066612739230769
72,2,2,10,0.35,-7.175905650000001,-4.910346652
73,3,3,7,0.4761904761904762,-3.5367909333333336,-3.997214522857143
74,4,4,12,0.33333333333333337,-5.9941336,-4.732461027666667
75,2,2,3,0.33333333333333337,-5.760871799999999,-3.0880289666666667
76,4,4,9,0.22222222222222224,-6.380544899999999,-3.8552522888888894
77,1,1,7,0.7142857142857143,-2.1013486,-3.8120896371428574
84,2,2,7,0.0,-7.4055184,-2.05334903
85,2,2,11,0.09090909090909088,-6.8716518,-2.7577535716363637
92,1,1,11,0.18181818181818177,-5.691856,-2.980345721818182
93,1,1,5,0.6,-0.5145022,-2.2642901039999996
96,1,1,5,0.0,-9.316226,-2.784149336
97,1,1,11,0.4545454545454546,-2.9756908,-3.654427036363636
99,1,1,5,0.0,-9.834394,-3.2046715480000003
102,1,1,11,0.36363636363636365,-6.4431357,-4.59570434
103,1,1,9,0.33333333333333337,-2.0992472,-2.4108173444444443
104,1,1,7,0.4285714285714286,-3.5505118,-4.972175908571429
105,1,1,7,0.5714285714285714,-1.495729,-2.17476158
109,2,2,9,0.8888888888888888,-0.102823325,-2.470315121111111
113,1,1,12,1.0,3.5453095,-2.8953662124999995
114,1,1,9,0.11111111111111116,-5.399687,-2.534597322222222
115,1,1,7,0.2857142857142857,-4.575016,-3.5495627628571427
118,1,1,5,0.6,-4.677859,-6.21119778
119,1,1,10,0.6,-2.2138534,-2.7918623599999997
120,1,1,5,0.4,-2.874526,-3.556975328
121,1,1,6,0.33333333333333337,-2.1630654,-1.9198302083333332
122,1,1,6,0.16666666666666663,-2.856386,-2.157825766666667
127,2,2,8,0.375,-2.8739154,-2.183952525625
129,1,1,6,1.0,-1.2792335,-3.730419283333333
130,1,1,8,0.375,-0.63847727,-1.67164737125
131,2,2,7,0.5,-3.4805873,-3.6231361471428576
132,2,2,12,0.25,-4.01112025,-2.6736653666666665
133,1,1,10,0.19999999999999996,-5.550504,-2.938705584
134,1,1,6,0.16666666666666663,-4.7705274,-2.8891823033333335
135,1,1,13,0.5384615384615384,-0.7046431,-2.506600051769231
137,2,2,11,1.0,2.83161185,-4.036514590909091
139,4,4,12,0.7291666666666666,-0.6196554750000001,-2.923774925
141,1,1,10,1.0,3.2535164,-4.866563
142,1,1,5,0.0,-9.977499,-2.47503626
143,2,2,8,0.625,-1.66732893,-2.7256452125
144,2,2,10,0.8,-0.5781397749999999,-2.5981373919999995
145,1,1,8,0.375,-2.1885145,-1.5826067225
147,1,1,8,1.0,-0.5216307,-3.4781367750000003
149,3,3,8,0.37499999999999994,-1.4554454000000001,-0.984317202
151,4,4,10,0.425,-5.530592712499999,-3.9797312419999997
152,1,1,4,0.0,-11.011692,-3.6139697825
154,1,1,6,0.33333333333333337,-7.270088,-3.785776455
156,2,2,5,0.4,-4.74699175,-3.8628831200000002
