Enzyme Index,auc,n_pos,n_neg
4959,0.11111111111111116,1,9
4965,0.41666666666666663,2,6
4997,1.0,1,7
5000,0.6842105263157895,1,19
5002,0.4375,2,8
5034,0.6285714285714286,3,35
5035,0.33333333333333337,1,6
5063,0.6944444444444444,3,12
5064,0.1428571428571429,1,14
5071,0.75,1,16
5074,0.7692307692307692,1,13
5099,0.5555555555555556,1,9
5100,0.30952380952380953,2,21
5109,0.07692307692307687,1,13
5112,0.6923076923076923,1,13
5114,0.7142857142857143,1,7
5123,0.5,2,19
5125,0.9285714285714286,1,14
5127,0.33333333333333337,1,21
5128,0.2727272727272727,1,11
5129,0.9444444444444444,3,18
5150,1.0,2,8
5167,0.8181818181818181,1,11
5175,0.5,1,8
5193,0.5,2,10
5206,0.7777777777777779,3,15
5209,0.5714285714285714,1,7
5210,0.5740740740740741,3,18
5211,0.8333333333333334,1,6
5241,0.375,1,8
5247,1.0,1,7
5253,0.5,1,6
5254,0.6363636363636364,1,11
5265,0.33333333333333337,1,9
5267,0.2692307692307693,1,26
5278,0.9333333333333333,3,5
5282,0.625,1,16
5283,0.25,2,8
5285,1.0,2,7
5295,0.9375,1,16
5296,0.4,1,5
5310,1.0,1,7
5354,0.0714285714285714,1,14
5357,0.4210526315789474,2,19
5358,0.2857142857142857,2,28
5666,0.888888888888889,3,9
5680,1.0,1,7
21351,0.8,1,10
21390,0.7272727272727273,2,11
