enzyme_index,uniprots
3102,P0DKI7
3383,P23295
3384,Q8NKB4
4234,O24782
4665,W6RGX9
4673,D3IWE6
4718,H9LJF9
4909,Q84KI1
4928,Q9ZAU3
4931,B4XY99
4959,Q04552
4960,A0A0G2JXU4
4961,P11371
4962,A0A8C1NRV4
4963,D3TJH0
4964,Q52TE7
4965,O09158
4967,Q2EPZ0
4971,Q6TH81
4981,P98187
4982,A8CBS0
4985,A9QNE6
4986,J7MB22
4987,J7M8Q0
4988,A1YJE3
4989,A7KMF3
4997,Q42600
4998,P11511
5000,P00191
5002,Q64562
5003,P15540
5034,P05093
5035,P11715
5038,Q64410
5039,P19100
5040,P05185
5042,Q29497
5056,P22680
5057,P18125
5058,P46634
5059,A1L3S6
5060,P51542
5061,A0A1U7Q986
5062,Q5ILH2
5063,P08683
5064,Q6VVX0
5065,O46658
5066,Q6VVW9
5068,Q9Y6A2
5069,Q9WVK8
5070,F7EN52
5071,O75881
5072,Q9JKJ9
5073,Q63688
5074,Q60991
5076,Q00G65
5078,P70687
5079,P30437
5080,Q2XVA1
5081,P27786
5082,Q9GMC8
5083,Q9GMC7
5084,Q8HYN1
5085,A0A8C4ECQ9
5086,Q9N0U7
5094,Q43135
5095,O48958
5097,Q6XQ14
5098,P48421
5099,A0A068Q609
5100,O65782
5101,Q9FMV7
5102,A0A1J6JQE7
5103,Q9ZUX1
5104,I1TEM1
5105,Q9XHE8
5106,P33261
5108,Q9URR6
5109,P08684
5110,Q9GJX5
5111,A0A1D6F9Y9
5112,Q9LSF8
5113,A0A1D6HSP4
5114,A0A0Y0GRS3
5115,A0A0S1TP26
5116,A0A0C5QRZ2
5117,A0A1I9Q5Z0
5118,A0A3Q7HS74
5119,A0A125QZE2
5120,K7NBR2
5121,W0FKI0
5123,P51589
5124,A0A1J1DVP9
5125,P78329
5126,Q6ZWL3
5127,O23066
5128,B8QHP5
5129,Q02928
5130,A2RRT9
5131,A0A1P8NQJ7
5132,Q76LL4
5133,Q304Q5
5134,Q52YL8
5135,Q6YLS3
5136,Q84NG3
5137,P37120
5138,Q5EWY2
5139,Q9FS35
5140,Q9FPN4
5141,Q304Q4
5142,Q2UYU7
5143,U3LXJ8
5144,A0A1S5T865
5145,A3KLR7
5146,E0D4W1
5147,Q9SD85
5148,C1J0N9
5149,F6KZD5
5150,Q8W3Y5
5151,T1NXM5
5152,A0A0P0YJU0
5153,Q3C211
5154,Q9FPN2
5155,Q767R1
5156,Q6QHJ9
5157,Q59I68
5158,Q8S9C6
5159,C5XWH8
5160,A1XBC6
5161,Q9FPN5
5162,Q304R0
5163,Q0QLB3
5164,C5IGQ5
5165,A0A0S2LLA9
5166,E0D4W2
5167,Q8VWZ7
5168,A0A7D3QT71
5169,A0A0A7DLM4
5170,D1MI46
5171,Q59723
5172,U5NE19
5173,F2ZAE0
5174,Q93ZB2
5175,A0A0G2RKY1
5176,A0A0N7H9X2
5177,Q6XAF4
5178,Q9SXS3
5179,Q7XAU5
5180,Q9SWR5
5181,Q84QI4
5182,A5LGW8
5183,A0A072UPL5
5184,Q6WNQ9
5185,Q2ENF7
5187,Q6WNR0
5188,Q2LAL0
5189,P93147
5190,Q9SB21
5191,A0A1Z2R7G9
5192,A0A1Z2R7G8
5193,Q04468
5194,Q43067
5195,C5IWL6
5196,P37114
5197,Q17UC0
5198,P48522
5199,Q0Q5Z4
5200,A0A1B1IHZ1
5201,Q9AR74
5202,Q43033
5203,A0A2Z4I2V7
5204,F4YRL2
5205,E3T9X1
5206,P17549
5208,Q42798
5209,Q9EP75
5210,Q08477
5211,P51869
5212,A0A3Q8QEF5
5213,D5J9U8
5214,D5JBX1
5215,D5JBW9
5216,D5JBX0
5217,F2Z9C1
5218,A0A1W6S9Y7
5219,L7X0L7
5220,Q6IV13
5221,O64900
5222,Q9SP06
5223,B2BF50
5224,A0A1U7Z269
5225,P98183
5226,A0A218NGS0
5227,Q9AXM6
5228,Q8W4T9
5229,O23051
5230,Q9AXH9
5231,C7T4H3
5232,C7T4H4
5233,C7T4H2
5234,U5YM12
5236,Q43250
5237,E3W9C4
5239,K7ZR99
