n,n_pos,n_neg,auc_roc,auc_pr,brier,logit_mean,logit_std,pos_logit_mean,neg_logit_mean,score_gap,family,condition,delta_auc,delta_aupr,delta_score_gap,delta_logit_std,mean_abs_delta_logit,pearson_r_vs_baseline,delta_auc_ci_low,delta_auc_ci_high,delta_aupr_ci_low,delta_aupr_ci_high
495,267,228,0.7115447795518759,0.7355542340494808,0.40083593149543967,-4.159061431884766,3.4086148738861084,-3.001723289489746,-5.514364242553711,2.512640953063965,P450,baseline,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
495,267,228,0.5575267757408502,0.5742854210291328,0.4953104674832593,-5.474599838256836,3.562793254852295,-5.169255256652832,-5.832174777984619,0.6629195213317871,P450,seq_off,-0.1540180038110257,-0.161268813020348,-1.8497214317321777,0.15417838096618652,2.9798152446746826,0.44558065162822985,-0.20980709330487685,-0.09797750709154351,-0.21449711731025478,-0.10265199758339497
495,267,228,0.6971384453643471,0.7348744503992319,0.28928379599969944,-2.2195169925689697,3.121428966522217,-1.6772077083587646,-2.8545901775360107,1.177382469177246,P450,mol_off,-0.014406334187528791,-0.0006797836502488996,-1.3352584838867188,-0.2871859073638916,3.4909491539001465,0.26876149455392623,-0.07393236913904724,0.044391705025374185,-0.0626263124750532,0.06587159451961759
495,267,228,0.43664169787765295,0.5402684841951139,0.5333740119515866,-21.975053787231445,14.195134162902832,-23.620946884155273,-20.04762077331543,-3.5733261108398438,P450,str_off,-0.27490308167422295,-0.19528574985436697,-6.085967063903809,10.786519289016724,17.872371673583984,0.28712380103981083,-0.3292479827986166,-0.21929808626662925,-0.24564951604262372,-0.1389637246564554
495,267,228,0.6216078585978053,0.6392077999073025,0.5239774217341934,-10.782339096069336,8.875297546386719,-9.82805061340332,-11.899859428405762,2.0718088150024414,P450,seq_only,-0.08993692095407058,-0.09634643414217836,-0.44083213806152344,5.46668267250061,7.748107433319092,0.17095521864293822,-0.15588503852455915,-0.02430038212798779,-0.1657816803317722,-0.021358204969497373
495,267,228,0.4710723437808003,0.548840392134833,0.5284633556395169,-21.05866813659668,13.809053421020508,-21.970300674438477,-19.99110221862793,-1.9791984558105469,P450,mol_only,-0.24047243577107558,-0.1867138419146478,-4.491839408874512,10.4004385471344,17.087326049804688,0.20638603984767645,-0.30056473171616915,-0.18015510305458504,-0.2437598059555136,-0.12465811991063748
495,267,228,0.4514094224324857,0.505380650653179,0.3363341101796425,-1.0779434442520142,0.3681255280971527,-1.1038289070129395,-1.0476300716400146,-0.056198835372924805,P450,str_only,-0.2601353571193902,-0.23017358339630178,-2.5688397884368896,-3.0404893457889557,3.505694627761841,-0.030270023917215567,-0.3258423717732228,-0.19143947558924207,-0.28641232496269914,-0.16176082082325263
495,267,228,0.5,0.5393939393939394,0.25854371270730553,-0.2455580234527588,2.9802322387695312e-08,-0.24555803835391998,-0.24555803835391998,0.0,P450,all_off,-0.2115447795518759,-0.1961602946555414,-2.512640953063965,-3.408614844083786,4.0963335037231445,,-0.256905720012266,-0.1657339270801607,-0.24466344343077673,-0.14800669461692828
6291,978,5313,0.8773997260260263,0.6564898283042977,0.08389369325704829,-2.9405412673950195,2.4662926197052,-0.09652528166770935,-3.4640586376190186,3.367533355951309,Phosphatase,baseline,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0
6291,978,5313,0.5774264190508522,0.19243361061704095,0.14832941764387508,-4.547892093658447,1.2988754510879517,-4.237976551055908,-4.604940414428711,0.36696386337280273,Phosphatase,seq_off,-0.2999733069751741,-0.46405621768725674,-3.0005694925785065,-1.1674171686172485,2.375990390777588,0.2125617093287386,-0.32162484189552965,-0.27773468816030306,-0.49263425759129953,-0.4331163982978085
