n,n_pos,n_neg,auc_roc,auc_pr,brier,logit_mean,logit_std,pos_logit_mean,neg_logit_mean,score_gap,family,condition,delta_auc,delta_aupr,delta_score_gap,delta_logit_std,mean_abs_delta_logit,pearson_r_vs_baseline,delta_auc_ci_low,delta_auc_ci_high,delta_aupr_ci_low,delta_aupr_ci_high
2766,265,2501,0.5170007468710629,0.11163181809593789,0.1308905473347054,-3.176318645477295,2.961402654647827,-2.9368977546691895,-3.2016870975494385,0.264789342880249,P450,baseline,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2766,265,2501,0.5279925765542839,0.10712610757394869,0.09983933743279637,-5.214212417602539,3.379770040512085,-4.861085891723633,-5.251628875732422,0.39054298400878906,P450,seq_off,0.010991829683220988,-0.004505710521989198,0.12575364112854004,0.4183673858642578,3.2707931995391846,0.30443722528950534,-0.031926634789255975,0.05470490283852182,-0.026559936779382298,0.012491555538634031
2766,265,2501,0.5399228987650223,0.10509194193737914,0.1822173010697025,-1.7792956829071045,2.8133974075317383,-1.7895458936691284,-1.7782095670700073,-0.011336326599121094,P450,mol_off,0.022922151893959408,-0.0065398761585587495,-0.2761256694793701,-0.14800524711608887,3.0663535594940186,0.09662420803988334,-0.025604021793234004,0.07301094960310098,-0.02936639345976552,0.011870797043989592
2766,265,2501,0.48874186174586765,0.1000555555843729,0.09852888090140233,-22.997011184692383,15.123557090759277,-23.337400436401367,-22.96094512939453,-0.37645530700683594,P450,str_off,-0.028258885125195254,-0.011576262511564989,-0.641244649887085,12.16215443611145,19.853347778320312,0.3648321636098166,-0.06996525590282084,0.013280733568655117,-0.03629868632222177,0.0078080209371144405
2766,265,2501,0.5495892209154074,0.11085352540305306,0.09778246779007722,-10.050786018371582,8.255697250366211,-9.905377388000488,-10.066192626953125,0.16081523895263672,P450,seq_only,0.032588474044344506,-0.0007782926928848327,-0.1039741039276123,5.294294595718384,7.762653827667236,0.08482798894197026,-0.016000345257225056,0.08384643899904926,-0.026246638222145024,0.02021106342883665
2766,265,2501,0.5044699101491479,0.09689036567085313,0.09879519972864885,-22.03891372680664,14.655916213989258,-21.81084442138672,-22.063077926635742,0.25223350524902344,P450,mol_only,-0.012530836721915017,-0.014741452425084761,-0.012555837631225586,11.69451355934143,19.017942428588867,0.1856913725960564,-0.059610929405756546,0.03436840086131396,-0.039702684388235876,0.004202154873743837
2766,265,2501,0.5046328638355979,0.10696234011467412,0.11579793816527309,-1.1211272478103638,0.44558650255203247,-1.0847649574279785,-1.1249802112579346,0.040215253829956055,P450,str_only,-0.012367883035464988,-0.00466947798126377,-0.22457408905029297,-2.5158161520957947,2.6151130199432373,0.01617937718379682,-0.06291165329220809,0.04217859876859041,-0.030741810684413205,0.021721267541967917
2766,265,2501,0.5,0.09580621836587129,0.20435246427880754,-0.24555805325508118,0.0,-0.24555805325508118,-0.2455580234527588,-2.9802322387695312e-08,P450,all_off,-0.0170007468710629,-0.0158255997300666,-0.2647893726825714,-2.961402654647827,3.1299450397491455,,-0.05213772472130823,0.019621207772754362,-0.039759893309273917,-0.0013504730470157182
6291,978,5313,0.8773997260260263,0.6564898283042977,0.08389369387979134,-2.9405412673950195,2.4662926197052,-0.09652529656887054,-3.4640586376190186,3.367533341050148,Phosphatase,baseline,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6291,978,5313,0.5774263228250959,0.19243361061704095,0.14832941760275623,-4.547892093658447,1.2988754510879517,-4.237976551055908,-4.604939937591553,0.36696338653564453,Phosphatase,seq_off,-0.29997340320093047,-0.46405621768725674,-3.0005699545145035,-1.1674171686172485,2.375990390777588,0.2125617093541543,-0.3216250293581066,-0.2777349721738598,-0.49263425759129964,-0.43311639829780874
6291,978,5313,0.7258805330291058,0.3581757876428856,0.18815617465323353,-1.6094880104064941,2.763803005218506,0.3057354688644409,-1.962035894393921,2.267771363258362,Phosphatase,mol_off,-0.15151919299692052,-0.2983140406614121,-1.0997619777917862,0.29751038551330566,2.3474838733673096,0.47503750362975494,-0.16982309235821452,-0.13470054461545705,-0.32683739226680064,-0.2685147618101724
6291,978,5313,0.7675272328513193,0.47127583244275406,0.10906134082374483,-4.275613307952881,4.7373046875,-1.6468058824539185,-4.759515762329102,3.112709879875183,Phosphatase,str_off,-0.10987249317470704,-0.18521399586154363,-0.2548234611749649,2.2710120677948,2.290682792663574,0.6181503074657269,-0.12338034396457735,-0.0965244848463903,-0.21225533429353893,-0.1564691319158843
6291,978,5313,0.6247548648855663,0.2447903288365017,0.26005674443553745,-0.6943950653076172,2.374669075012207,0.1725548952817917,-0.8539804816246033,1.026535376906395,Phosphatase,seq_only,-0.25264486114046003,-0.411699499467796,-2.340997964143753,-0.09162354469299316,3.041851282119751,0.21116639844572363,-0.27232548757003106,-0.23240287199245957,-0.44135400309431305,-0.3807128382303088
6291,978,5313,0.6056097883918636,0.20606284745224834,0.150920379723697,-5.959458351135254,3.229832887649536,-5.1242523193359375,-6.1132001876831055,0.988947868347168,Phosphatase,mol_only,-0.2717899376341627,-0.45042698085204935,-2.37858547270298,0.7635402679443359,3.3859336376190186,0.30128365286242886,-0.29163391487805806,-0.25196503104934187,-0.48058228420422683,-0.420020417460472
6291,978,5313,0.5325601978709473,0.17377886534468884,0.1348115989163375,-1.753847599029541,0.7781161069869995,-1.677169919013977,-1.7679623365402222,0.09079241752624512,Phosphatase,str_only,-0.344839528155079,-0.48271096295960886,-3.276740923523903,-1.6881765127182007,2.1684584617614746,0.10191800113871768,-0.3677074577890805,-0.3223160887719754,-0.5120134278034043,-0.45347872330881533
6291,978,5313,0.5,0.15546018121125418,0.21164013832173711,-0.24555806815624237,1.4901161193847656e-08,-0.24555803835391998,-0.24555805325508118,1.4901161193847656e-08,Phosphatase,all_off,-0.37739972602602634,-0.5010296470930435,-3.367533326148987,-2.466292604804039,3.0369491577148438,,-0.38992508863971115,-0.3646687859845106,-0.5298617868748297,-0.47549629343527794
