epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
13,2026-03-14 08:06:51,7.87e-05,inf,0.109329,0.342436,0.751109,0.273708,0.714478,,0.808485,0.875000,0.000000,0.688466,,0.157569,0.000000,0.467568,0.788591,0.500000,0.454557,0.000000
14,2026-03-14 09:33:49,7.87e-05,inf,0.107157,0.327949,0.766722,0.292763,0.727350,,0.795152,0.854167,0.000000,0.759872,,0.166246,0.000000,0.466700,0.726091,0.500000,0.536866,0.000000
15,2026-03-14 11:22:58,7.87e-05,inf,0.105014,0.362763,0.747858,0.284792,0.707334,,0.790909,0.854167,0.000000,0.698221,,0.162090,0.000000,0.457085,0.726091,0.500000,0.501705,0.000000
16,2026-03-14 12:52:14,7.87e-05,inf,0.102897,0.338992,0.754503,0.280722,0.707826,,0.785455,0.843750,0.000000,0.766193,,0.153295,0.000000,0.485690,0.663591,0.500000,0.535895,0.000000
17,2026-03-14 14:26:01,7.87e-05,inf,0.100867,0.343198,0.752993,0.295231,0.720554,,0.846061,0.833333,0.000000,0.713907,,0.179235,0.000000,0.571156,0.642758,0.500000,0.506759,0.000000
18,2026-03-14 16:03:10,7.87e-05,inf,0.099261,0.345260,0.751364,0.292347,0.703844,,0.809697,0.864583,0.000000,0.745903,,0.167703,0.000000,0.513233,0.746925,0.500000,0.540652,0.000000
19,2026-03-14 17:37:42,7.87e-05,inf,0.097696,0.354176,0.766029,0.284041,0.738034,,0.804848,0.833333,0.000000,0.757765,,0.174502,0.000000,0.486699,0.642758,0.500000,0.584291,0.000000
20,2026-03-15 05:40:17,7.87e-05,inf,0.095143,0.384558,0.747764,0.279780,0.709712,,0.803636,0.833333,0.000000,0.711253,,0.163067,0.000000,0.542198,0.654500,0.500000,0.494065,0.000000
21,2026-03-15 07:22:28,7.87e-05,inf,0.093828,0.374194,0.743556,0.260159,0.700801,,0.786667,0.833333,0.000000,0.736538,,0.152612,0.000000,0.483884,0.642758,0.500000,0.505952,0.000000
22,2026-03-15 08:27:18,7.87e-05,inf,0.092165,0.399034,0.742724,0.295874,0.698190,,0.785455,0.864583,0.000000,0.707585,,0.167290,0.000000,0.571910,0.746925,0.500000,0.505084,0.000000
23,2026-03-15 10:17:35,7.87e-05,inf,0.090539,0.367010,0.755423,0.277133,0.712686,,0.792727,0.895833,0.000000,0.749025,,0.161019,0.000000,0.487639,0.824008,0.500000,0.495071,0.000000
24,2026-03-15 11:43:34,7.87e-05,inf,0.088940,0.378106,0.749799,0.295964,0.708819,,0.815758,0.812500,0.000000,0.735290,,0.175475,0.000000,0.560113,0.626091,0.500000,0.522555,0.000000
25,2026-03-15 13:04:09,7.87e-05,inf,0.087742,0.375703,0.754153,0.299508,0.706485,,0.833939,0.822917,0.000000,0.752302,,0.167194,0.000000,0.613550,0.633667,0.500000,0.545254,0.000000
26,2026-03-15 14:40:41,7.87e-05,inf,0.086633,0.395846,0.750291,0.280299,0.722237,,0.806061,0.802083,0.000000,0.735133,,0.183731,0.000000,0.504178,0.616369,0.500000,0.525477,0.000000
27,2026-03-15 16:28:47,7.87e-05,inf,0.087652,0.373639,0.750645,0.285365,0.708352,,0.802424,0.812500,0.000000,0.736226,,0.162598,0.000000,0.504130,0.626091,0.500000,0.546188,0.000000
