epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-03-18 11:03:18,5.00e-06,0.4683,0.362256,0.319362,0.598393,0.140601,0.527274,,0.641212,0.385417,0.000000,0.354690,,0.080556,0.000000,0.315329,0.374419,0.500000,0.171079,0.000000
1,2026-03-18 11:13:32,4.19e-05,inf,0.339256,0.320742,0.587403,0.163045,0.494663,,0.638182,0.437500,0.000000,0.453801,,0.077795,0.000000,0.351569,0.376910,0.500000,0.209496,0.000000
2,2026-03-18 11:23:41,7.87e-05,0.4776,0.331755,0.325604,0.597731,0.165752,0.503957,,0.612121,0.333333,0.000000,0.498049,,0.092893,0.000000,0.272959,0.338916,0.500000,0.244206,0.000000
3,2026-03-18 11:33:50,1.16e-04,0.5944,0.314049,0.343711,0.599924,0.174214,0.539700,,0.736970,0.312500,0.000000,0.469643,,0.112720,0.000000,0.392902,0.326540,0.500000,0.218609,0.000000
4,2026-03-18 11:43:43,1.52e-04,inf,0.298306,0.333286,0.636588,0.164915,0.647758,,0.664242,0.375000,0.000000,0.448260,,0.129197,0.000000,0.287931,0.361190,0.500000,0.221034,0.000000
5,2026-03-18 11:53:40,1.89e-04,inf,0.283293,0.328357,0.651506,0.169024,0.669174,,0.640000,0.520833,0.000000,0.526612,,0.137501,0.000000,0.316281,0.449132,0.500000,0.241828,0.000000
6,2026-03-18 12:03:51,2.26e-04,0.8491,0.274008,0.331434,0.642547,0.162268,0.656132,,0.614545,0.406250,0.000000,0.515920,,0.130968,0.000000,0.277160,0.361371,0.500000,0.230837,0.000000
7,2026-03-18 12:14:15,2.63e-04,inf,0.264624,0.345446,0.681876,0.185551,0.679400,,0.676364,0.520833,0.000000,0.508819,,0.141985,0.000000,0.309390,0.552206,0.500000,0.220099,0.000000
8,2026-03-18 12:24:28,3.00e-04,inf,0.262695,0.328308,0.669896,0.169536,0.706272,,0.515152,0.354167,0.000000,0.487436,,0.156917,0.000000,0.244924,0.342265,0.500000,0.231883,0.000000
9,2026-03-18 12:35:49,3.00e-04,inf,0.253656,0.323609,0.693878,0.184979,0.719735,,0.687273,0.406250,0.000000,0.515998,,0.153704,0.000000,0.311128,0.371971,0.500000,0.245571,0.000000
