epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-03-16 10:38:19,5.00e-06,inf,0.173922,0.336643,0.609774,0.145770,0.534562,,0.661818,0.276042,0.000000,0.349149,,0.082734,0.000000,0.539260,0.315770,0.500000,0.168628,0.000000
1,2026-03-16 11:11:01,4.19e-05,inf,0.168059,0.339917,0.601328,0.174567,0.503748,,0.555152,0.583333,1.000000,0.509989,,0.091093,0.000000,0.314590,0.480237,1.000000,0.241756,0.000000
2,2026-03-16 11:38:09,7.87e-05,inf,0.159486,0.344516,0.653257,0.194948,0.622688,,0.740606,0.406250,0.000000,0.523490,,0.113908,0.000000,0.438532,0.360370,0.500000,0.250942,0.000000
3,2026-03-16 12:05:09,1.16e-04,inf,0.150462,0.332082,0.674017,0.184183,0.646328,,0.545455,0.572917,1.000000,0.575386,,0.127411,0.000000,0.283471,0.546709,1.000000,0.261141,0.000000
4,2026-03-16 12:32:07,1.52e-04,inf,0.144186,0.340926,0.691436,0.195212,0.666339,,0.483636,0.666667,1.000000,0.608163,,0.181216,0.000000,0.217514,0.555757,1.000000,0.303687,0.000000
5,2026-03-16 13:02:23,1.89e-04,inf,0.140524,0.344573,0.679305,0.183740,0.679862,,0.644242,0.406250,0.000000,0.611753,,0.142883,0.000000,0.344312,0.376583,0.500000,0.264481,0.000000
6,2026-03-16 13:32:02,2.26e-04,inf,0.137569,0.355492,0.683668,0.175422,0.708992,,0.487273,0.526042,0.000000,0.556189,,0.149656,0.000000,0.265184,0.435123,0.500000,0.264768,0.000000
7,2026-03-16 14:01:19,2.63e-04,inf,0.136514,0.374022,0.686677,0.197098,0.671988,,0.556364,0.468750,0.000000,0.558842,,0.147292,0.000000,0.283421,0.478913,0.500000,0.263745,0.000000
8,2026-03-16 14:30:26,3.00e-04,inf,0.136426,0.349440,0.668015,0.179019,0.704554,,0.590303,0.583333,0.000000,0.581786,,0.153720,0.000000,0.305655,0.532864,0.500000,0.263437,0.000000
9,2026-03-16 14:57:52,3.00e-04,inf,0.134881,0.333546,0.701061,0.193329,0.714954,,0.600000,0.583333,0.000000,0.524739,,0.158167,0.000000,0.304066,0.599826,0.500000,0.249671,0.000000
10,2026-03-16 15:25:25,3.00e-04,inf,0.134762,0.331245,0.714975,0.199752,0.726228,,0.551515,0.406250,0.000000,0.594038,,0.176251,0.000000,0.302961,0.361204,0.500000,0.268427,0.000000
11,2026-03-16 15:52:49,3.00e-04,inf,0.134036,0.347537,0.684753,0.189086,0.684558,,0.563636,0.468750,0.000000,0.531840,,0.180521,0.000000,0.272580,0.418342,0.500000,0.233385,0.000000
12,2026-03-16 16:21:39,3.00e-04,inf,0.132549,0.362953,0.673012,0.176887,0.656217,,0.444848,0.546875,1.000000,0.597472,,0.133643,0.000000,0.251107,0.455060,1.000000,0.295330,0.000000
13,2026-03-16 16:49:37,3.00e-04,inf,0.132211,0.347177,0.694417,0.186695,0.718976,,0.529091,0.489583,1.000000,0.575855,,0.169161,0.000000,0.276293,0.451962,1.000000,0.273100,0.000000
14,2026-03-16 17:17:22,3.00e-04,inf,0.131896,0.358625,0.683990,0.177664,0.713406,,0.522424,0.468750,1.000000,0.499220,,0.179972,0.000000,0.229232,0.424574,1.000000,0.242885,0.000000
15,2026-03-16 17:44:58,3.00e-04,inf,0.131010,0.363971,0.689854,0.174234,0.709241,,0.510303,0.572917,1.000000,0.530279,,0.149672,0.000000,0.270287,0.459209,1.000000,0.227777,0.000000
16,2026-03-16 18:12:05,3.00e-04,inf,0.130130,0.346770,0.708103,0.201827,0.712706,,0.627879,0.531250,1.000000,0.576479,,0.180427,0.000000,0.284840,0.506158,1.000000,0.269455,0.000000
17,2026-03-16 18:44:16,3.00e-04,inf,0.129741,0.373068,0.675754,0.174563,0.719546,,0.513939,0.427083,1.000000,0.508272,,0.169793,0.000000,0.241973,0.407094,1.000000,0.250388,0.000000
18,2026-03-16 19:16:23,3.00e-04,inf,0.129932,0.331144,0.712703,0.187244,0.740272,,0.524848,0.343750,1.000000,0.547682,,0.168372,0.000000,0.251315,0.352115,1.000000,0.266728,0.000000
