epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-03-18 22:46:03,5.00e-06,0.4685,0.362081,0.319471,0.597126,0.139768,0.526385,,0.630303,0.385417,0.000000,0.356563,,0.080676,0.000000,0.295967,0.369824,0.500000,0.171078,0.000000
1,2026-03-18 22:55:41,4.19e-05,inf,0.339139,0.321656,0.585949,0.163295,0.496659,,0.618182,0.473958,1.000000,0.442563,,0.078327,0.000000,0.346218,0.410151,1.000000,0.206442,0.000000
2,2026-03-18 23:05:21,7.87e-05,0.4945,0.330233,0.326486,0.600938,0.166372,0.525447,,0.684848,0.270833,0.000000,0.466677,,0.092577,0.000000,0.320579,0.329828,0.500000,0.221685,0.000000
3,2026-03-18 23:15:06,1.16e-04,inf,0.310955,0.341961,0.619048,0.168006,0.580367,,0.732121,0.468750,1.000000,0.448260,,0.113084,0.000000,0.372758,0.386480,1.000000,0.205980,0.000000
4,2026-03-18 23:25:06,1.52e-04,inf,0.296686,0.337834,0.638970,0.167438,0.633302,,0.638788,0.552083,0.000000,0.453566,,0.132279,0.000000,0.326046,0.476637,0.500000,0.218142,0.000000
5,2026-03-18 23:35:08,1.89e-04,0.8074,0.281721,0.346670,0.619027,0.156619,0.660580,,0.706061,0.473958,0.000000,0.375683,,0.149386,0.000000,0.355195,0.426229,0.500000,0.183194,0.000000
6,2026-03-18 23:45:19,2.26e-04,inf,0.272123,0.341849,0.646558,0.165613,0.654941,,0.661818,0.479167,0.000000,0.475027,,0.134051,0.000000,0.343350,0.404688,0.500000,0.232007,0.000000
7,2026-03-18 23:55:02,2.63e-04,inf,0.262110,0.355675,0.669024,0.173960,0.682915,,0.624242,0.250000,0.000000,0.497191,,0.140841,0.000000,0.289508,0.310180,0.500000,0.241129,0.000000
8,2026-03-19 00:04:51,3.00e-04,inf,0.261516,0.329923,0.689214,0.184810,0.727559,,0.575758,0.260417,0.000000,0.520212,,0.176450,0.000000,0.242211,0.313631,0.500000,0.252479,0.000000
9,2026-03-19 00:14:36,3.00e-04,0.9221,0.252488,0.359761,0.644873,0.155263,0.680557,,0.498182,0.343750,0.000000,0.477915,,0.135819,0.000000,0.221299,0.366639,0.500000,0.236430,0.000000
10,2026-03-19 00:24:25,3.00e-04,inf,0.245202,0.353415,0.687004,0.177778,0.733079,,0.527879,0.281250,0.000000,0.417824,,0.180560,0.000000,0.218726,0.317507,0.500000,0.197661,0.000000
11,2026-03-19 00:34:20,3.00e-04,inf,0.240055,0.348483,0.695445,0.190324,0.718434,,0.580606,0.218750,0.000000,0.487904,,0.156691,0.000000,0.264152,0.306656,0.500000,0.259040,0.000000
12,2026-03-19 00:44:15,3.00e-04,inf,0.234517,0.374556,0.693083,0.189437,0.718017,,0.659394,0.177083,0.000000,0.509521,,0.169174,0.000000,0.300450,0.322103,0.500000,0.236620,0.000000
13,2026-03-19 00:54:10,3.00e-04,0.9729,0.228489,0.392982,0.688550,0.173387,0.719988,,0.487273,0.312500,0.000000,0.481739,,0.163736,0.000000,0.225460,0.343904,0.500000,0.225346,0.000000
14,2026-03-19 01:03:54,3.00e-04,inf,0.224640,0.389170,0.699589,0.188992,0.733025,,0.555152,0.166667,0.000000,0.538474,,0.178082,0.000000,0.240624,0.286650,0.500000,0.266630,0.000000
15,2026-03-19 01:13:29,3.00e-04,0.9968,0.222086,0.400413,0.680735,0.173377,0.715391,,0.564848,0.395833,0.000000,0.498595,,0.153323,0.000000,0.246206,0.373952,0.500000,0.247886,0.000000
16,2026-03-19 01:23:11,3.00e-04,1.0111,0.219540,0.379380,0.714542,0.208845,0.746269,,0.671515,0.375000,0.000000,0.458483,,0.209630,0.000000,0.299829,0.354368,0.500000,0.229964,0.000000
17,2026-03-19 01:32:52,3.00e-04,inf,0.213660,0.390747,0.694360,0.184901,0.714096,,0.572727,0.218750,0.000000,0.506711,,0.161742,0.000000,0.238300,0.300465,0.500000,0.251481,0.000000
18,2026-03-19 01:42:32,3.00e-04,inf,0.208170,0.388761,0.695242,0.185413,0.726824,,0.601212,0.343750,0.000000,0.475964,,0.167143,0.000000,0.270592,0.369913,0.500000,0.229606,0.000000
19,2026-03-19 01:52:27,3.00e-04,inf,0.209372,0.374957,0.705687,0.207580,0.733834,,0.601818,0.156250,1.000000,0.550179,,0.191235,0.000000,0.268324,0.287381,1.000000,0.315740,0.000000
20,2026-03-19 02:02:17,3.00e-04,1.0752,0.205919,0.403029,0.688937,0.184354,0.717735,,0.580606,0.197917,1.000000,0.499610,,0.161534,0.000000,0.254152,0.297913,1.000000,0.249905,0.000000
21,2026-03-19 02:11:58,3.00e-04,1.0857,0.198572,0.409172,0.704706,0.184886,0.737641,,0.547879,0.156250,0.000000,0.547526,,0.188467,0.000000,0.228389,0.286091,0.500000,0.250189,0.000000
22,2026-03-19 02:21:30,3.00e-04,inf,0.200874,0.436895,0.698270,0.185940,0.729818,,0.659394,0.135417,0.000000,0.476744,,0.159496,0.000000,0.299659,0.280432,0.500000,0.231997,0.000000
23,2026-03-19 02:30:59,3.00e-04,inf,0.197365,0.398702,0.713776,0.202817,0.742784,,0.546667,0.104167,1.000000,0.561963,,0.192411,0.000000,0.231059,0.273104,1.000000,0.310776,0.000000
24,2026-03-19 02:40:45,3.00e-04,1.1123,0.193210,0.402530,0.712157,0.201692,0.745187,,0.610909,0.229167,0.000000,0.497034,,0.193614,0.000000,0.275231,0.304306,0.500000,0.268650,0.000000
25,2026-03-19 02:50:30,3.00e-04,inf,0.192101,0.432802,0.692561,0.185482,0.713728,,0.539394,0.197917,0.000000,0.475261,,0.163361,0.000000,0.233781,0.308512,0.500000,0.243561,0.000000
26,2026-03-19 03:00:15,3.00e-04,inf,0.190163,0.460238,0.694875,0.184227,0.726938,,0.544242,0.156250,1.000000,0.468160,,0.172107,0.000000,0.236967,0.284878,1.000000,0.235454,0.000000
27,2026-03-19 03:10:05,3.00e-04,inf,0.187699,0.416410,0.701832,0.186011,0.746046,,0.601212,0.177083,0.000000,0.454191,,0.170321,0.000000,0.267607,0.324484,0.500000,0.242862,0.000000
28,2026-03-19 03:19:59,1.50e-04,1.1242,0.166802,0.467265,0.700983,0.184971,0.736718,,0.553939,0.197917,0.000000,0.471906,,0.173665,0.000000,0.241160,0.303628,0.500000,0.234070,0.000000
29,2026-03-19 03:29:50,1.50e-04,inf,0.162277,0.458193,0.707141,0.188085,0.737537,,0.569697,0.187500,1.000000,0.469018,,0.179426,0.000000,0.245119,0.297698,1.000000,0.227300,0.000000
30,2026-03-19 03:39:44,1.50e-04,1.1991,0.157495,0.488867,0.699333,0.187579,0.715615,,0.595152,0.177083,0.000000,0.507804,,0.162758,0.000000,0.257623,0.321891,0.500000,0.270239,0.000000
31,2026-03-19 03:49:29,1.50e-04,inf,0.155189,0.504200,0.703763,0.194335,0.738282,,0.615758,0.250000,0.000000,0.469252,,0.173076,0.000000,0.269271,0.314365,0.500000,0.250396,0.000000

