epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-03-20 17:21:30,5.00e-06,0.4682,0.362091,0.319436,0.597364,0.139991,0.526097,,0.633333,0.385417,0.000000,0.357266,,0.080788,0.000000,0.298393,0.369824,0.500000,0.171365,0.000000
1,2026-03-20 17:31:52,4.19e-05,inf,0.339195,0.321183,0.585011,0.164565,0.493110,,0.629091,0.447917,1.000000,0.449508,,0.078642,0.000000,0.349389,0.399802,1.000000,0.208436,0.000000
2,2026-03-20 17:42:15,7.87e-05,0.4863,0.330701,0.325075,0.594502,0.175254,0.504810,,0.730909,0.395833,0.000000,0.489699,,0.096689,0.000000,0.407770,0.371023,0.500000,0.238259,0.000000
3,2026-03-20 17:52:25,1.16e-04,inf,0.311344,0.352226,0.571334,0.166929,0.545667,,0.746667,0.395833,0.000000,0.443031,,0.106396,0.000000,0.529528,0.355277,0.500000,0.205398,0.000000
4,2026-03-20 18:02:40,1.52e-04,inf,0.294213,0.350985,0.597215,0.173234,0.579935,,0.753939,0.697917,0.000000,0.445997,,0.110174,0.000000,0.505988,0.603720,0.500000,0.202537,0.000000
5,2026-03-20 18:13:01,1.89e-04,inf,0.275296,0.352085,0.622069,0.158432,0.662402,,0.692727,0.520833,0.000000,0.488996,,0.152459,0.000000,0.400889,0.491373,0.500000,0.217243,0.000000
6,2026-03-20 18:23:28,2.26e-04,0.8601,0.263489,0.349349,0.658278,0.171674,0.664016,,0.677576,0.562500,0.000000,0.500000,,0.150364,0.000000,0.319287,0.441435,0.500000,0.220366,0.000000
7,2026-03-20 18:33:53,2.63e-04,inf,0.252493,0.352774,0.679522,0.179288,0.701511,,0.728485,0.531250,0.000000,0.492976,,0.146758,0.000000,0.435660,0.412324,0.500000,0.208573,0.000000
8,2026-03-20 18:44:01,3.00e-04,0.9533,0.246786,0.338612,0.664398,0.176980,0.708322,,0.586667,0.385417,1.000000,0.472920,,0.170235,0.000000,0.278677,0.369596,1.000000,0.212225,0.000000
9,2026-03-20 18:54:30,3.00e-04,inf,0.235942,0.366727,0.658179,0.187292,0.714796,,0.660606,0.375000,0.000000,0.433198,,0.158974,0.000000,0.494972,0.434432,0.500000,0.211791,0.000000
10,2026-03-20 19:05:00,3.00e-04,1.0129,0.228084,0.346154,0.720492,0.194408,0.753061,,0.633939,0.541667,0.000000,0.475730,,0.186803,0.000000,0.291825,0.441373,0.500000,0.207825,0.000000
11,2026-03-20 19:15:17,3.00e-04,1.0429,0.221584,0.357252,0.703212,0.182608,0.740769,,0.561212,0.427083,0.000000,0.490791,,0.175454,0.000000,0.244485,0.367936,0.500000,0.219268,0.000000
12,2026-03-20 19:25:28,3.00e-04,inf,0.213807,0.378136,0.696296,0.180793,0.733422,,0.610909,0.437500,0.000000,0.446933,,0.180009,0.000000,0.276309,0.401630,0.500000,0.200095,0.000000
13,2026-03-20 19:35:47,3.00e-04,inf,0.207869,0.383864,0.710155,0.192582,0.733799,,0.567273,0.562500,1.000000,0.509599,,0.187631,0.000000,0.237748,0.543969,1.000000,0.226250,0.000000
14,2026-03-20 19:45:55,3.00e-04,1.1410,0.204847,0.399489,0.694842,0.184855,0.723146,,0.646061,0.437500,1.000000,0.527158,,0.163840,0.000000,0.353157,0.369814,1.000000,0.228757,0.000000
15,2026-03-20 19:56:07,3.00e-04,inf,0.200878,0.406599,0.692455,0.176145,0.725097,,0.539394,0.447917,0.000000,0.501951,,0.155552,0.000000,0.254813,0.418490,0.500000,0.213918,0.000000
16,2026-03-20 20:06:22,3.00e-04,inf,0.195812,0.420305,0.708867,0.192492,0.736326,,0.575152,0.447917,1.000000,0.486655,,0.179992,0.000000,0.250252,0.376109,1.000000,0.226557,0.000000
17,2026-03-20 20:16:51,3.00e-04,inf,0.190450,0.386090,0.721629,0.194528,0.735661,,0.603636,0.645833,0.000000,0.508584,,0.182429,0.000000,0.251661,0.631772,0.500000,0.224995,0.000000
18,2026-03-20 20:26:50,3.00e-04,1.2620,0.186018,0.414132,0.700376,0.184982,0.730423,,0.589091,0.520833,1.000000,0.469955,,0.183388,0.000000,0.265899,0.494262,1.000000,0.198489,0.000000
19,2026-03-20 20:36:59,3.00e-04,inf,0.185109,0.415100,0.708101,0.189731,0.731004,,0.562424,0.635417,0.000000,0.527314,,0.170004,0.000000,0.250665,0.537695,0.500000,0.245373,0.000000
20,2026-03-20 20:47:00,3.00e-04,inf,0.182211,0.431740,0.700927,0.200598,0.738520,,0.635152,0.395833,0.000000,0.494537,,0.189882,0.000000,0.336973,0.445189,0.500000,0.235844,0.000000
21,2026-03-20 20:57:15,3.00e-04,1.3291,0.177540,0.460712,0.703118,0.194518,0.736648,,0.561212,0.416667,1.000000,0.508350,,0.206470,0.000000,0.254868,0.394052,1.000000,0.248010,0.000000
22,2026-03-20 21:07:25,3.00e-04,inf,0.178297,0.453390,0.695953,0.182926,0.723716,,0.574545,0.395833,0.000000,0.507414,,0.170790,0.000000,0.251549,0.387401,0.500000,0.238693,0.000000
23,2026-03-20 21:17:44,3.00e-04,inf,0.175514,0.444208,0.717414,0.206335,0.751819,,0.586667,0.510417,0.000000,0.575933,,0.196502,0.000000,0.273209,0.503160,0.500000,0.276007,0.000000
24,2026-03-20 21:27:57,3.00e-04,inf,0.172515,0.438117,0.704626,0.202978,0.718549,,0.653333,0.541667,1.000000,0.535274,,0.172838,0.000000,0.436683,0.566214,1.000000,0.243681,0.000000
25,2026-03-20 21:38:21,3.00e-04,1.4209,0.172196,0.453319,0.688805,0.181440,0.707285,,0.539394,0.541667,0.000000,0.475808,,0.165872,0.000000,0.252356,0.514890,0.500000,0.219705,0.000000
26,2026-03-20 21:48:33,3.00e-04,inf,0.170449,0.489845,0.710384,0.193682,0.729718,,0.522424,0.593750,1.000000,0.539098,,0.181466,0.000000,0.220873,0.490278,1.000000,0.246005,0.000000
27,2026-03-20 21:58:42,3.00e-04,1.4813,0.168070,0.429050,0.709626,0.205241,0.747684,,0.584242,0.395833,0.000000,0.456454,,0.202127,0.000000,0.293443,0.387550,0.500000,0.220331,0.000000
28,2026-03-20 22:08:56,3.00e-04,inf,0.163992,0.489787,0.703272,0.184051,0.726591,,0.539394,0.614583,0.000000,0.501405,,0.176143,0.000000,0.235863,0.582071,0.500000,0.217016,0.000000
29,2026-03-20 22:19:07,3.00e-04,1.5102,0.164287,0.453219,0.699357,0.183198,0.724734,,0.617576,0.479167,0.000000,0.488450,,0.177469,0.000000,0.284928,0.419095,0.500000,0.216286,0.000000
30,2026-03-20 22:29:26,3.00e-04,1.5427,0.162200,0.481797,0.699896,0.190250,0.710035,,0.621818,0.604167,0.000000,0.488216,,0.165186,0.000000,0.336715,0.506944,0.500000,0.218329,0.000000
