epoch,timestamp,lr,grad_norm,train_loss,val_loss,val_auc,val_aupr,val_auc_0,val_auc_1,val_auc_2,val_auc_3,val_auc_4,val_auc_5,val_auc_6,val_aupr_0,val_aupr_1,val_aupr_2,val_aupr_3,val_aupr_4,val_aupr_5,val_aupr_6
0,2026-03-20 23:00:37,5.00e-06,0.4695,0.362084,0.319436,0.597185,0.139780,0.526375,,0.635152,0.385417,0.000000,0.357109,,0.080531,0.000000,0.297658,0.369824,0.500000,0.170811,0.000000
1,2026-03-20 23:10:55,4.19e-05,inf,0.339131,0.321035,0.585325,0.166995,0.496143,,0.638788,0.468750,1.000000,0.456376,,0.078001,0.000000,0.380294,0.408090,1.000000,0.210346,0.000000
2,2026-03-20 23:21:18,7.87e-05,0.4883,0.330072,0.326327,0.592826,0.163060,0.512977,,0.695152,0.281250,0.000000,0.459653,,0.090775,0.000000,0.334569,0.323415,0.500000,0.217440,0.000000
3,2026-03-20 23:31:41,1.16e-04,0.6004,0.310636,0.355478,0.577054,0.155915,0.556156,,0.693333,0.302083,0.000000,0.471594,,0.105291,0.000000,0.344190,0.323665,0.500000,0.221974,0.000000
4,2026-03-20 23:41:54,1.52e-04,inf,0.293821,0.351131,0.592445,0.154714,0.615028,,0.669091,0.531250,0.000000,0.404323,,0.123224,0.000000,0.344479,0.446088,0.500000,0.202324,0.000000
5,2026-03-20 23:52:06,1.89e-04,inf,0.274153,0.352232,0.611876,0.157201,0.652230,,0.665455,0.437500,0.000000,0.458873,,0.136343,0.000000,0.352163,0.401175,0.500000,0.222398,0.000000
6,2026-03-21 00:02:20,2.26e-04,0.8560,0.263293,0.341105,0.639204,0.169288,0.653447,,0.713939,0.406250,0.000000,0.486967,,0.126629,0.000000,0.450780,0.358010,0.500000,0.232361,0.000000
7,2026-03-21 00:12:25,2.63e-04,inf,0.252126,0.377135,0.635647,0.165830,0.685079,,0.670303,0.322917,0.000000,0.433900,,0.140951,0.000000,0.314915,0.360905,0.500000,0.210218,0.000000
8,2026-03-21 00:22:41,3.00e-04,inf,0.248419,0.342988,0.646265,0.165346,0.701650,,0.561212,0.187500,0.000000,0.418839,,0.158168,0.000000,0.309320,0.292469,0.500000,0.191764,0.000000
9,2026-03-21 00:33:04,3.00e-04,inf,0.237487,0.351443,0.656356,0.169581,0.723280,,0.606061,0.322917,0.000000,0.410879,,0.167038,0.000000,0.271771,0.361142,0.500000,0.191577,0.000000
10,2026-03-21 00:43:28,3.00e-04,0.9907,0.229229,0.359969,0.686084,0.199053,0.745976,,0.672727,0.322917,0.000000,0.385126,,0.201815,0.000000,0.421769,0.419108,0.500000,0.182732,0.000000
