Substrate Index,Enzyme Index,Label,Dock Index,positive_reactions
1,18,0,-1,-1
1,52,0,-1,-1
1,280,0,-1,-1
1,288,0,-1,-1
1,329,0,-1,-1
1,332,0,-1,-1
1,402,0,-1,-1
1,419,0,-1,-1
1,471,0,-1,-1
1,477,0,-1,-1
1,486,0,-1,-1
1,509,0,-1,-1
1,526,0,-1,-1
1,645,0,-1,-1
1,670,0,-1,-1
1,688,0,-1,-1
1,725,0,-1,-1
1,772,0,-1,-1
1,779,0,-1,-1
1,810,0,-1,-1
1,817,0,-1,-1
1,825,1,-1,1
1,826,1,-1,1
1,834,0,-1,-1
1,850,0,-1,-1
1,915,0,-1,-1
1,926,0,-1,-1
1,930,1,-1,1
1,949,1,-1,1
1,954,0,-1,-1
1,982,0,-1,-1
1,991,0,-1,-1
1,1039,0,-1,-1
1,1112,1,-1,1
1,1144,0,-1,-1
1,1174,1,-1,1
1,1202,1,-1,1
1,1272,0,-1,-1
1,1312,0,-1,-1
1,1318,0,-1,-1
1,1351,0,-1,-1
1,1364,0,-1,-1
1,1378,0,-1,-1
1,1421,0,-1,-1
1,1432,0,-1,-1
1,1490,0,-1,-1
1,1524,0,-1,-1
1,1541,0,-1,-1
1,1569,0,-1,-1
1,1587,0,-1,-1
1,1598,0,-1,-1
6,130,0,-1,-1
6,176,0,-1,-1
6,326,0,-1,-1
6,430,0,-1,-1
6,662,0,-1,-1
6,792,0,-1,-1
6,857,0,-1,-1
6,874,0,-1,-1
6,1125,0,-1,-1
6,1282,1,-1,6
6,1417,0,-1,-1
7,129,0,-1,-1
7,205,0,-1,-1
7,207,0,-1,-1
7,629,0,-1,-1
7,640,0,-1,-1
7,662,0,-1,-1
7,697,0,-1,-1
7,928,0,-1,-1
7,938,0,-1,-1
7,1184,0,-1,-1
7,1203,0,-1,-1
7,1366,0,-1,-1
7,1376,1,-1,7
7,1434,0,-1,-1
7,1504,0,-1,-1
7,1543,0,-1,-1
7,1580,0,-1,-1
11,13,0,-1,-1
11,69,0,-1,-1
11,109,0,-1,-1
11,258,0,-1,-1
11,290,0,-1,-1
11,366,0,-1,-1
11,477,0,-1,-1
11,509,0,-1,-1
11,634,0,-1,-1
11,649,0,-1,-1
11,655,0,-1,-1
11,725,1,-1,11
11,779,0,-1,-1
11,832,0,-1,-1
11,884,0,-1,-1
11,885,1,-1,11
11,977,0,-1,-1
11,993,0,-1,-1
11,1017,0,-1,-1
11,1041,0,-1,-1
11,1410,0,-1,-1
11,1434,0,-1,-1
11,1447,0,-1,-1
13,50,0,-1,-1
13,52,0,-1,-1
13,136,0,-1,-1
13,181,0,-1,-1
13,296,0,-1,-1
13,300,0,-1,-1
13,366,0,-1,-1
13,379,0,-1,-1
13,490,0,-1,-1
13,509,1,-1,13
13,534,0,-1,-1
