Dock Index,Enzyme Index,Substrate Index,Label
0,29,0,0
1,31,0,0
2,36,0,0
3,93,0,0
4,97,0,0
5,122,0,0
6,204,0,0
7,216,0,0
8,231,0,0
9,251,0,0
10,321,0,0
11,401,0,0
12,408,0,0
13,437,0,0
14,477,0,0
16,552,0,0
17,586,0,0
18,601,0,0
19,683,0,0
20,721,0,0
21,724,0,0
22,745,0,0
23,762,0,0
24,838,0,0
25,841,0,1
26,842,0,1
27,843,0,1
28,854,0,1
29,870,0,1
30,871,0,1
31,903,0,0
32,941,0,0
33,960,0,0
35,1039,0,0
36,1174,0,0
37,1197,0,0
38,1300,0,0
39,1355,0,0
40,1364,0,0
41,1386,0,0
43,1415,0,0
44,1433,0,0
45,11,1,0
46,49,1,0
47,51,1,0
48,52,1,0
49,89,1,0
50,101,1,0
51,106,1,0
52,114,1,0
53,127,1,0
54,128,1,0
55,152,1,0
56,170,1,0
57,204,1,0
58,282,1,0
59,318,1,0
60,347,1,0
61,351,1,0
62,380,1,0
63,450,1,0
64,510,1,0
65,526,1,0
66,550,1,0
68,563,1,0
69,573,1,0
70,576,1,0
71,584,1,0
72,591,1,0
73,597,1,0
74,598,1,1
75,612,1,0
76,636,1,0
77,638,1,0
78,647,1,0
79,655,1,0
80,672,1,0
81,673,1,1
82,675,1,1
83,710,1,0
84,718,1,0
85,732,1,0
86,737,1,0
87,739,1,0
88,749,1,0
89,762,1,0
90,772,1,0
91,794,1,0
92,814,1,0
93,822,1,0
94,825,1,1
95,826,1,1
96,838,1,0
97,888,1,0
98,891,1,0
99,930,1,1
100,942,1,0
101,949,1,1
102,984,1,1
103,986,1,1
104,1006,1,0
105,1021,1,0
106,1032,1,0
107,1035,1,0
108,1053,1,1
109,1071,1,0
110,1074,1,0
111,1081,1,0
112,1097,1,0
113,1109,1,0
114,1110,1,0
115,1112,1,1
116,1125,1,0
117,1174,1,1
118,1175,1,0
119,1176,1,0
120,1202,1,1
121,1266,1,0
122,1275,1,0
123,1286,1,0
124,1299,1,0
125,1305,1,0
126,1327,1,0
127,1328,1,0
128,1333,1,1
129,1376,1,0
130,1384,1,0
132,1431,1,0
136,1499,1,0
139,1510,1,0
141,1543,1,0
142,1557,1,0
145,1591,1,0
147,1595,1,0
148,130,2,0
149,254,2,0
150,258,2,0
151,315,2,0
152,325,2,0
153,369,2,0
154,379,2,0
155,458,2,0
156,470,2,0
157,527,2,0
158,598,2,1
159,663,2,0
160,673,2,1
161,675,2,1
162,729,2,0
163,790,2,0
164,826,2,1
165,838,2,0
166,859,2,0
167,887,2,0
168,921,2,0
170,959,2,0
171,962,2,0
172,980,2,0
173,986,2,1
175,998,2,0
176,1001,2,0
177,1041,2,0
179,1069,2,0
180,1112,2,1
181,1163,2,0
182,1184,2,0
183,1336,2,0
184,1341,2,0
185,1363,2,0
186,1370,2,0
187,1442,2,0
191,1610,2,0
192,26,3,0
193,37,3,0
194,182,3,0
195,188,3,0
196,195,3,0
197,199,3,0
198,200,3,0
199,205,3,0
200,292,3,0
201,320,3,0
203,408,3,0
204,439,3,0
205,491,3,0
206,598,3,1
208,631,3,0
209,640,3,0
210,650,3,0
211,673,3,1
212,675,3,1
213,683,3,0
214,733,3,0
215,743,3,0
216,774,3,0
217,788,3,0
218,826,3,1
219,838,3,0
220,893,3,0
221,962,3,0
222,986,3,1
223,1093,3,0
224,1112,3,1
225,1132,3,0
226,1223,3,0
227,1263,3,0
228,1269,3,0
229,1283,3,0
230,1307,3,0
231,1308,3,0
232,1309,3,0
234,1511,3,0
235,1591,3,0
237,12,4,0
238,91,4,0
240,303,4,0
241,398,4,0
242,584,4,0
243,603,4,0
