enzyme,reaction,label,ecnumber,difficulty,fake_ecnumber,structure_index
64,0,0,1.14.15.4,-1,/,-1
97,0,0,1.14.15.4,1,1.-.-.-,-1
122,0,0,1.14.15.4,-1,,-1
186,0,0,1.14.15.4,1,1.-.-.-,-1
225,0,0,1.14.15.4,2,1.14.14.127,-1
231,0,0,1.14.15.4,-1,/,-1
265,0,0,1.14.15.4,2,1.14.99.-,-1
299,0,0,1.14.15.4,-1,,-1
321,0,0,1.14.15.4; 1.14.15.5,2,1.14.14.82,-1
372,0,0,1.14.15.4,-1,,-1
408,0,0,1.14.15.4,-1,,-1
454,0,0,1.14.15.4,0,4.2.1.92,-1
552,0,0,1.14.15.4; 1.14.15.5,-1,,-1
683,0,0,1.14.15.4,2,1.14.14.166,-1
831,0,0,1.14.15.4,2,1.14.14.14,-1
834,0,0,1.14.15.4,2,1.14.14.1,-1
842,0,1,1.14.15.4,0,,-1
843,0,1,1.14.15.4,0,,-1
854,0,1,1.14.15.4,0,,-1
956,0,0,1.14.15.4,-1,,-1
960,0,0,1.14.15.4,2,1.14.19.76,-1
1019,0,0,1.14.15.4,0,4.2.1.B9,-1
1129,0,0,1.14.15.4,2,1.14.-.-,-1
1174,0,0,1.14.15.4,2,1.14.14.154,-1
1200,0,0,1.14.15.4; 1.14.15.5,-1,,-1
1265,0,0,1.14.15.4,-1,,-1
1300,0,0,1.14.15.4; 1.14.15.5,3,1.14.15.-,-1
1317,0,0,1.14.15.4; 1.14.15.5,2,1.14.14.-; 1.14.14.147,-1
1344,0,0,1.14.15.4; 1.14.15.5,2,1.14.14.-,-1
1355,0,0,1.14.15.4,2,1.14.19.n5,-1
1386,0,0,1.14.15.4,-1,,-1
1415,0,0,1.14.15.4,-1,/,-1
1521,0,0,1.14.15.4; 1.14.15.5,-1,,-1
11,1,0,1.14.14.154,-1,,-1
51,1,0,1.14.14.154,1,1.-.-.-,-1
71,1,0,1.14.14.154,-1,/,-1
89,1,0,1.14.14.154,-1,,-1
114,1,0,1.14.14.154,3,1.14.14.1/1.6.2.4,-1
127,1,0,1.14.14.154,-1,,-1
128,1,0,1.14.14.154,-1,/,-1
152,1,0,1.14.14.154,3,1.14.14.58,-1
170,1,0,1.14.14.154,-1,/,-1
195,1,0,1.14.14.154,3,1.14.14.81,-1
204,1,0,1.14.14.154,3,1.14.14.126,-1
216,1,0,1.14.14.154,3,1.14.14.91,-1
245,1,0,1.14.14.154,-1,,-1
282,1,0,1.14.14.154,0,4.2.1.92,-1
347,1,0,1.14.14.154,-1,,-1
367,1,0,1.14.14.154,-1,,-1
380,1,0,1.14.14.154,-1,,-1
398,1,0,1.14.14.154,1,1.-.-.-,-1
401,1,0,1.14.15.36,-1,,-1
420,1,0,1.14.14.154,-1,,-1
450,1,0,1.14.14.154,3,1.14.14.151,-1
516,1,0,1.14.14.154,-1,,-1
557,1,0,1.14.14.154,-1,/,-1
576,1,0,1.14.14.154,-1,,-1
584,1,0,1.14.14.154,3,1.14.14.81,-1
588,1,0,1.14.14.154,-1,,-1
638,1,0,1.14.14.154,-1,,-1
655,1,0,1.14.14.154,-1,/,-1
710,1,0,1.14.15.36,-1,,-1
732,1,0,1.14.14.154,-1,,-1
739,1,0,1.14.14.154,1,1.11.2.4,-1
755,1,0,1.14.14.154,-1,,-1
814,1,0,1.14.14.154,-1,,-1
822,1,0,1.14.14.154,3,1.14.14.-,-1
825,1,1,1.14.14.154,0,,-1
826,1,1,1.14.14.154,0,,-1
891,1,0,1.14.14.154,0,5.3.99.5,-1
898,1,0,1.14.14.154,3,1.14.14.1,-1
910,1,0,1.14.14.154,4,1.14.14.154,-1
949,1,1,1.14.14.154,0,,-1
973,1,0,1.14.14.154,3,1.14.14.-,-1
1006,1,0,1.14.15.36,2,1.14.14.134,-1
1017,1,0,1.14.14.154,-1,,-1
1032,1,0,1.14.14.154,-1,,-1
1035,1,0,1.14.14.154,2,1.14.19.79,-1
1053,1,1,1.14.14.154,0,,-1
1059,1,0,1.14.14.154,2,1.14.19.73,-1
1060,1,0,1.14.14.154,3,1.14.14.1,-1
1081,1,0,1.14.14.154,3,1.14.14.81,-1
1087,1,0,1.14.14.154,-1,,-1
1088,1,0,1.14.14.154,-1,,-1
1089,1,0,1.14.14.154,-1,,-1
1093,1,0,1.14.14.154,3,1.14.14.80,-1
1110,1,0,1.14.14.154,3,1.14.14.1,-1
1112,1,1,1.14.14.154,0,,-1
1113,1,0,1.14.15.36,2,1.14.14.1; 4.2.1.152,-1
1174,1,1,1.14.14.154,0,,-1
1175,1,0,1.14.15.36,2,1.14.14.80,-1
1266,1,0,1.14.14.154,3,1.14.14.107,-1
1282,1,0,1.14.14.154,3,1.14.14.48,-1
1299,1,0,1.14.14.154,2,1.14.15.39; 4.2.3.47,-1
1305,1,0,1.14.14.154,-1,,-1
1333,1,1,1.14.14.154,0,,-1
1346,1,0,1.14.14.154,2,1.14.19.76,-1
1376,1,0,1.14.14.154,3,1.14.14.49,-1
1431,1,0,1.14.14.154,-1,,-1
1486,1,0,1.14.14.154,-1,,-1
1489,1,0,1.14.14.154,-1,,-1
1538,1,0,1.14.14.154,-1,,-1
1543,1,0,1.14.15.36,-1,,-1
1545,1,0,1.14.14.154,-1,,-1
1546,1,0,1.14.14.154,-1,,-1
1575,1,0,1.14.14.154,-1,,-1
1581,1,0,1.14.14.154,-1,,-1
1589,1,0,1.14.14.154,-1,,-1
1591,1,0,1.14.14.154,-1,,-1
1595,1,0,1.14.14.154,-1,,-1
136,2,0,1.14.14.154,-1,/,-1
173,2,0,1.14.14.154,3,1.14.14.48,-1
254,2,0,1.14.14.154,1,1.-.-.-,-1
325,2,0,1.14.14.154,-1,/,-1
379,2,0,1.14.14.154,-1,,-1
449,2,0,1.14.14.154,3,1.14.14.87,-1
458,2,0,1.14.14.154,4,1.14.14.154,-1
470,2,0,1.14.14.154,-1,,-1
643,2,0,1.14.14.154,-1,,-1
729,2,0,1.14.14.154,3,1.14.14.117,-1
748,2,0,1.14.14.154,3,1.14.14.37,-1
751,2,0,1.14.14.154,3,1.14.14.165,-1
790,2,0,1.14.14.154,3,1.14.14.1,-1
826,2,1,1.14.14.154,0,,-1
838,2,0,1.14.14.154,3,1.14.14.1; 1.6.2.4,-1
854,2,0,1.14.14.154,2,1.14.15.4,-1
857,2,0,1.14.14.154,3,1.14.14.1,-1
879,2,0,1.14.14.154,3,1.14.14.81,-1
959,2,0,1.14.14.154,3,1.14.14.111,-1
962,2,0,1.14.14.154,-1,/,-1
1069,2,0,1.14.14.154,-1,/,-1
1112,2,1,1.14.14.154,0,,-1
1120,2,0,1.14.14.154,-1,,-1
1184,2,0,1.14.14.154,2,1.14.13.146,-1
1201,2,0,1.14.14.154,3,1.14.14.32,-1
1313,2,0,1.14.14.154,2,1.14.-.-,-1
1370,2,0,1.14.14.154,3,1.14.14.54,-1
1437,2,0,1.14.14.154,-1,/,-1
1442,2,0,1.14.14.154,-1,/,-1
1501,2,0,1.14.14.154,-1,,-1
1541,2,0,1.14.14.154,-1,,-1
1560,2,0,1.14.14.154,-1,,-1
1610,2,0,1.14.14.154,-1,,-1
195,3,0,1.14.14.154,3,1.14.14.81,-1
205,3,0,1.14.14.154,1,1.-.-.-,-1
292,3,0,1.14.14.154,1,1.-.-.-,-1
408,3,0,1.14.14.154,-1,,-1
454,3,0,1.14.14.154,0,4.2.1.92,-1
491,3,0,1.14.14.154,3,1.14.14.152,-1
640,3,0,1.14.14.154,1,1.-.-.-,-1
650,3,0,1.14.14.154,0,4.2.1.92,-1
683,3,0,1.14.14.154,3,1.14.14.166,-1
774,3,0,1.14.14.154,3,1.14.14.139,-1
814,3,0,1.14.14.154,-1,,-1
826,3,1,1.14.14.154,0,,-1
865,3,0,1.14.14.154,3,1.14.14.-,-1
947,3,0,1.14.14.154,3,1.14.14.94,-1
962,3,0,1.14.14.154,-1,/,-1
1093,3,0,1.14.14.154,3,1.14.14.80,-1
1112,3,1,1.14.14.154,0,,-1
1132,3,0,1.14.14.154,3,1.14.14.141,-1
1154,3,0,1.14.14.154,3,1.14.14.69,-1
1174,3,0,1.14.14.154,4,1.14.14.154,-1
1223,3,0,1.14.14.154,-1,/,-1
1263,3,0,1.14.14.154,-1,,-1
1283,3,0,1.14.14.154,0,4.2.1.121,-1
1295,3,0,1.14.14.154,3,1.14.14.32,-1
1307,3,0,1.14.14.154,-1,,-1
1340,3,0,1.14.14.154,-1,,-1
1497,3,0,1.14.14.154,-1,,-1
1551,3,0,1.14.14.154,-1,,-1
1570,3,0,1.14.14.154,-1,,-1
1580,3,0,1.14.14.154,-1,,-1
1591,3,0,1.14.14.154,-1,,-1
91,4,0,1.11.2.4,1,1.14.14.86,-1
152,4,0,1.11.2.4,1,1.14.14.58,-1
271,4,0,1.11.2.4,1,1.14.14.-,-1
296,4,0,1.11.2.4,-1,,-1
584,4,0,1.11.2.4,1,1.14.14.81,-1
679,4,1,1.11.2.4,0,,-1
739,4,1,1.11.2.4,0,,-1
772,4,0,1.11.2.4,1,1.14.15.33,-1
1002,4,0,1.11.2.4,1,1.14.14.90,-1
1179,4,0,1.11.2.4,-1,,-1
1471,4,0,1.11.2.4,-1,,-1
1481,4,0,1.11.2.4,-1,,-1
1528,4,0,1.11.2.4,-1,,-1
40,5,0,1.11.2.4,-1,/,-1
265,5,0,1.11.2.4,1,1.14.99.-,-1
321,5,0,1.11.2.4,1,1.14.14.82,-1
352,5,0,1.11.2.4,-1,,-1
385,5,0,1.11.2.4,1,1.14.19.-,-1
549,5,0,1.11.2.4,1,1.14.99.62,-1
679,5,1,1.11.2.4,0,,-1
739,5,1,1.11.2.4,0,,-1
868,5,0,1.11.2.4,1,1.14.15.22/1.14.-.-/1.14.-.-,-1
1293,5,0,1.11.2.4,1,1.14.14.-,-1
1346,5,0,1.11.2.4,1,1.14.19.76,-1
1610,5,0,1.11.2.4,-1,,-1
171,6,0,1.14.14.48,-1,/,-1
405,6,0,1.14.14.48,2,1.14.19.80,-1
766,6,0,1.14.14.48,-1,,-1
876,6,0,1.14.14.48,3,1.14.14.94,-1
1053,6,0,1.14.14.48,3,1.14.14.154,-1
1223,6,0,1.14.14.48,-1,/,-1
1282,6,1,1.14.14.48,0,,-1
97,7,0,1.14.14.49,1,1.-.-.-,-1
146,7,0,1.14.14.49,-1,,-1
403,7,0,1.14.14.49,2,1.14.19.-,-1
665,7,0,1.14.14.49,3,1.14.14.-,-1
795,7,0,1.14.14.49,3,1.14.14.16,-1
1065,7,0,1.14.14.49,-1,/,-1
1376,7,1,1.14.14.49,0,,-1
8,8,0,1.14.14.1,3,1.14.14.-,-1
11,8,0,1.14.14.1; 1.6.2.4,-1,,-1
15,8,0,1.14.14.1,3,1.14.14.44,-1
17,8,0,1.14.14.1; 4.2.1.152,3,1.14.14.87,-1
24,8,1,1.14.14.1,0,,-1
28,8,0,1.14.14.1; 1.6.2.4,-1,/,-1
34,8,0,1.14.14.1,2,1.14.15.18,-1
40,8,0,1.14.14.1/1.6.2.4,-1,/,-1
41,8,0,1.14.14.78,-1,,-1
42,8,1,1.14.14.1/1.6.2.4,0,,-1
56,8,0,1.14.14.1,3,1.14.14.60,-1
57,8,0,1.14.14.1/1.6.2.4,1,1.-.-.-,-1
64,8,0,1.14.14.1/1.6.2.4,-1,/,-1
65,8,0,1.14.14.1; 1.6.2.4,-1,,-1
69,8,0,1.14.14.1; 1.6.2.4,-1,/,-1
71,8,0,1.14.14.1/1.6.2.4,-1,/,-1
74,8,0,1.14.14.1/1.6.2.4,-1,,-1
75,8,0,1.14.14.1/1.6.2.4,-1,/,-1
84,8,0,1.14.14.1/1.6.2.4,-1,/,-1
89,8,0,4.2.1.152,-1,,-1
95,8,0,1.14.14.1,-1,,-1
98,8,0,1.14.14.1/1.6.2.4,-1,,-1
114,8,1,1.14.14.1/1.6.2.4,0,,-1
123,8,0,1.14.14.1,-1,,-1
125,8,0,1.14.14.1,-1,,-1
126,8,0,1.14.14.1/1.6.2.4,-1,,-1
127,8,0,1.14.14.1; 4.2.1.152,-1,,-1
132,8,0,1.14.13.n7; 1.14.14.1,-1,,-1
133,8,0,1.14.13.n7; 1.14.14.1,2,1.14.14.126,-1
137,8,0,1.14.14.1,-1,,-1
143,8,0,1.14.14.1/1.6.2.4,-1,,-1
148,8,0,1.14.14.1,-1,/,-1
149,8,0,1.14.14.24,-1,/,-1
152,8,0,1.14.14.1,3,1.14.14.58,-1
