Substrate Index,Enzyme Index,Label,Dock Index,positive_reactions
0,203,0,-1,-1
0,215,0,-1,-1
0,258,0,-1,-1
0,301,0,-1,-1
0,379,0,-1,-1
0,517,0,-1,-1
0,563,0,-1,-1
0,566,0,-1,-1
0,692,0,-1,-1
0,769,0,-1,-1
0,842,1,-1,0
0,843,1,-1,0
0,895,0,-1,-1
0,925,0,-1,-1
0,946,0,-1,-1
0,977,0,-1,-1
0,995,0,-1,-1
0,1124,0,-1,-1
0,1160,0,-1,-1
0,1231,0,-1,-1
0,1261,0,-1,-1
0,1579,0,-1,-1
1,115,0,-1,-1
1,153,0,-1,-1
1,156,0,-1,-1
1,176,0,-1,-1
1,288,0,-1,-1
1,521,0,-1,-1
1,535,0,-1,-1
1,596,0,-1,-1
1,650,0,-1,-1
1,663,0,-1,-1
1,721,0,-1,-1
1,723,0,-1,-1
1,804,0,-1,-1
1,838,0,-1,-1
1,884,0,-1,-1
1,930,1,-1,1
1,939,0,-1,-1
1,1086,0,-1,-1
1,1111,0,-1,-1
1,1112,1,-1,1
1,1202,1,-1,1
1,1216,0,-1,-1
1,1219,0,-1,-1
1,1336,0,-1,-1
1,1453,0,-1,-1
1,1580,0,-1,-1
1,1600,0,-1,-1
2,176,0,-1,-1
2,288,0,-1,-1
2,379,0,-1,-1
2,426,0,-1,-1
2,523,0,-1,-1
2,581,0,-1,-1
2,666,0,-1,-1
2,673,1,-1,2
2,745,0,-1,-1
2,762,0,-1,-1
2,800,0,-1,-1
2,838,0,-1,-1
2,848,0,-1,-1
2,877,0,-1,-1
2,922,0,-1,-1
2,968,0,-1,-1
2,1003,0,-1,-1
2,1059,0,-1,-1
2,1085,0,-1,-1
2,1093,0,-1,-1
2,1112,1,-1,2
2,1214,0,-1,-1
2,1346,0,-1,-1
2,1434,0,-1,-1
2,1504,0,-1,-1
2,1506,0,-1,-1
3,526,0,-1,-1
3,593,0,-1,-1
3,598,1,-1,3
3,625,0,-1,-1
3,663,0,-1,-1
3,675,1,-1,3
3,714,0,-1,-1
3,772,0,-1,-1
3,786,0,-1,-1
3,832,0,-1,-1
3,838,0,-1,-1
3,843,0,-1,-1
3,853,0,-1,-1
3,928,0,-1,-1
3,986,1,-1,3
3,994,0,-1,-1
3,1046,0,-1,-1
3,1064,0,-1,-1
3,1069,0,-1,-1
3,1095,0,-1,-1
3,1102,0,-1,-1
3,1160,0,-1,-1
3,1207,0,-1,-1
3,1245,0,-1,-1
3,1274,0,-1,-1
3,1291,0,-1,-1
3,1372,0,-1,-1
3,1440,0,-1,-1
3,1509,0,-1,-1
3,1523,0,-1,-1
3,1589,0,-1,-1
3,1600,0,-1,-1
4,28,0,-1,-1
4,199,0,-1,-1
4,253,0,-1,-1
4,258,0,-1,-1
4,347,0,-1,-1
4,434,0,-1,-1
4,508,0,-1,-1
4,625,0,-1,-1
4,674,0,-1,-1
4,739,1,-1,4
4,740,0,-1,-1
4,837,0,-1,-1
4,838,0,-1,-1
4,998,0,-1,-1
4,1262,0,-1,-1
5,12,0,-1,-1
5,135,0,-1,-1
5,258,0,-1,-1
5,456,0,-1,-1
5,491,0,-1,-1
5,679,1,-1,5
5,703,0,-1,-1
5,795,0,-1,-1
5,838,0,-1,-1
5,984,0,-1,-1
5,1214,0,-1,-1
5,1219,0,-1,-1
5,1225,0,-1,-1
5,1278,0,-1,-1
8,14,0,-1,-1
8,24,1,-1,8
8,32,0,-1,-1
8,34,0,-1,-1
8,35,0,-1,-1
8,42,1,-1,8
8,44,0,-1,-1
8,47,0,-1,-1
8,50,0,-1,-1
8,53,1,-1,8
8,62,0,-1,-1
8,74,0,-1,-1
8,108,0,-1,-1
8,113,1,-1,8
8,128,0,-1,-1
8,133,0,-1,-1
8,134,0,-1,-1
8,140,0,-1,-1
8,152,0,-1,-1
8,160,0,-1,-1
8,162,0,-1,-1
8,164,0,-1,-1
8,174,0,-1,-1
8,175,0,-1,-1
8,213,0,-1,-1
8,218,0,-1,-1
8,220,0,-1,-1
8,221,0,-1,-1
8,223,0,-1,-1
8,224,0,-1,-1
8,230,0,-1,-1
8,245,0,-1,-1
8,249,0,-1,-1
8,264,0,-1,-1
8,270,0,-1,-1
8,271,0,-1,-1
8,279,0,-1,-1
8,288,0,-1,-1
8,293,0,-1,-1
8,296,0,-1,-1
8,301,0,-1,-1
8,311,0,-1,-1
8,322,0,-1,-1
8,344,0,-1,-1
8,355,0,-1,-1
8,366,0,-1,-1
8,372,0,-1,-1
8,378,0,-1,-1
8,386,0,-1,-1
8,391,0,-1,-1
8,393,0,-1,-1
8,406,0,-1,-1
8,408,0,-1,-1
8,421,0,-1,-1
8,436,1,-1,8
8,438,0,-1,-1
8,448,0,-1,-1
8,454,0,-1,-1
8,462,0,-1,-1
8,464,0,-1,-1
8,465,0,-1,-1
8,481,0,-1,-1
8,485,0,-1,-1
8,490,0,-1,-1
8,494,0,-1,-1
8,495,0,-1,-1
8,497,0,-1,-1
8,508,0,-1,-1
8,513,0,-1,-1
8,517,0,-1,-1
8,526,0,-1,-1
8,533,0,-1,-1
8,546,0,-1,-1
8,563,0,-1,-1
8,567,0,-1,-1
8,579,0,-1,-1
8,581,0,-1,-1
8,583,0,-1,-1
8,589,0,-1,-1
8,614,0,-1,-1
8,619,0,-1,-1
8,631,0,-1,-1
8,636,0,-1,-1
8,641,0,-1,-1
8,648,0,-1,-1
8,651,1,-1,8
8,653,1,-1,8
8,667,0,-1,-1
8,671,0,-1,-1
8,690,1,-1,8
8,697,0,-1,-1
8,707,0,-1,-1
8,709,0,-1,-1
8,726,1,-1,8
8,727,1,-1,8
8,739,0,-1,-1
8,741,0,-1,-1
8,769,0,-1,-1
8,777,0,-1,-1
8,779,0,-1,-1
8,784,1,-1,8
8,787,0,-1,-1
8,793,1,-1,8
8,794,1,-1,8
8,820,0,-1,-1
8,825,0,-1,-1
8,827,1,-1,8
8,832,1,-1,8
8,833,0,-1,-1
8,838,1,-1,8
8,839,1,-1,8
8,841,0,-1,-1
8,852,0,-1,-1
8,862,1,-1,8
8,863,1,-1,8
8,864,0,-1,-1
8,869,0,-1,-1
