enzyme,reaction,label,ecnumber,difficulty,fake_ecnumber,structure_index
31,0,0,1.14.15.4,-1,/,-1
93,0,0,1.14.14.-,-1,,-1
204,0,0,1.14.14.126,-1,,-1
437,0,0,1.14.15.4,1,1.-.-.-,-1
477,0,0,1.14.15.4,-1,/,-1
547,0,0,1.14.15.4,-1,,-1
586,0,0,1.14.13.-,-1,,-1
683,0,0,1.14.15.4,2,1.14.14.166,-1
724,0,0,1.14.14.139,-1,,-1
842,0,1,1.14.15.4,0,,-1
843,0,1,1.14.15.4,0,,-1
854,0,1,1.14.15.4,0,,-1
870,0,1,1.14.15.4; 1.14.15.5,0,,-1
871,0,1,1.14.15.4,0,,-1
941,0,0,1.14.15.4,-1,,-1
1174,0,0,1.14.15.4,2,1.14.14.154,-1
1197,0,0,1.14.15.4,-1,,-1
1364,0,0,1.14.14.51,-1,,-1
51,1,0,1.14.14.154,1,1.-.-.-,-1
52,1,0,1.14.14.154,-1,,-1
106,1,0,1.14.14.154,-1,/,-1
114,1,0,1.14.14.154,3,1.14.14.1/1.6.2.4,-1
127,1,0,1.14.14.154,-1,,-1
128,1,0,1.14.14.154,-1,/,-1
170,1,0,1.14.14.154,-1,/,-1
204,1,0,1.14.14.154,3,1.14.14.126,-1
318,1,0,1.14.14.154,-1,/,-1
347,1,0,1.14.14.154,-1,,-1
351,1,0,,-1,,-1
380,1,0,1.14.14.154,-1,,-1
450,1,0,1.14.14.154,3,1.14.14.151,-1
526,1,0,1.14.14.154,3,1.14.14.148,-1
557,1,0,1.14.14.154,-1,/,-1
573,1,0,1.14.14.154,3,1.14.14.127,-1
576,1,0,1.14.14.154,-1,,-1
591,1,0,1.14.14.154,3,1.14.14.113,-1
636,1,0,1.14.14.150,-1,,-1
638,1,0,1.14.14.154,-1,,-1
647,1,0,1.14.14.154,-1,,-1
655,1,0,1.14.14.154,-1,/,-1
672,1,0,1.14.14.154,-1,/,-1
673,1,1,1.14.14.154,0,,-1
675,1,1,1.14.14.154,0,,-1
718,1,0,1.14.14.-,-1,,-1
732,1,0,1.14.14.154,-1,,-1
739,1,0,1.14.14.154,1,1.11.2.4,-1
762,1,0,1.14.14.45,-1,,-1
772,1,0,1.14.15.33,-1,,-1
888,1,0,1.14.15.3,-1,,-1
891,1,0,1.14.14.154,0,5.3.99.5,-1
986,1,1,1.14.14.154,0,,-1
1006,1,0,1.14.15.36,2,1.14.14.134,-1
1032,1,0,1.14.14.154,-1,,-1
1053,1,1,1.14.14.154,0,,-1
1071,1,0,1.14.14.154,2,1.14.-.-,-1
1081,1,0,1.14.14.154,3,1.14.14.81,-1
1097,1,0,/,-1,,-1
1112,1,1,1.14.14.154,0,,-1
1202,1,1,1.14.14.154,0,,-1
1266,1,0,1.14.14.154,3,1.14.14.107,-1
1299,1,0,1.14.14.154,2,1.14.15.39; 4.2.3.47,-1
1305,1,0,1.14.14.154,-1,,-1
1327,1,0,1.14.15.36,2,1.14.14.32,-1
1333,1,1,1.14.14.154,0,,-1
1384,1,0,1.14.14.154,-1,,-1
1489,1,0,1.14.14.154,-1,,-1
1505,1,0,1.14.14.154,-1,,-1
1538,1,0,1.14.14.154,-1,,-1
1557,1,0,,-1,,-1
1578,1,0,1.14.14.154,-1,,-1
1594,1,0,1.14.14.154,-1,,-1
130,2,0,1.14.14.154,-1,,-1
254,2,0,1.14.14.154,1,1.-.-.-,-1
258,2,0,,-1,,-1
470,2,0,1.14.14.154,-1,,-1
598,2,1,1.14.14.154,0,,-1
663,2,0,1.14.14.154,3,1.14.14.115,-1
838,2,0,1.14.14.1; 1.6.2.4,-1,,-1
887,2,0,1.14.14.43,-1,,-1
921,2,0,1.14.14.154,3,1.14.14.-,-1
959,2,0,1.14.14.154,3,1.14.14.111,-1
962,2,0,1.14.14.154,-1,/,-1
992,2,0,1.14.14.154,2,1.14.99.22,-1
998,2,0,1.14.14.154,2,1.14.99.15,-1
1001,2,0,1.14.14.154,-1,,-1
1041,2,0,1.14.14.154,3,1.14.14.109,-1
1069,2,0,1.14.14.154,-1,/,-1
1184,2,0,1.14.14.154,2,1.14.13.146,-1
1341,2,0,1.14.14.154,3,1.14.14.48,-1
1363,2,0,1.14.14.99,-1,,-1
1442,2,0,1.14.14.154,-1,/,-1
1536,2,0,1.14.14.154,-1,,-1
26,3,0,1.14.14.154,-1,/,-1
37,3,0,1.14.14.154,1,1.-.-.-,-1
182,3,0,1.14.14.154,1,1.-.-.-,-1
195,3,0,1.14.14.154,3,1.14.14.81,-1
200,3,0,1.14.14.154,1,1.-.-.-,-1
320,3,0,1.14.14.154,3,1.14.14.81,-1
439,3,0,1.14.14.1/1.6.2.4,-1,,-1
491,3,0,1.14.14.154,3,1.14.14.152,-1
598,3,1,1.14.14.154,0,,-1
631,3,0,1.14.14.154,3,1.14.14.82,-1
640,3,0,1.14.14.154,1,1.-.-.-,-1
673,3,1,1.14.14.154,0,,-1
733,3,0,1.14.14.107,-1,,-1
788,3,0,1.14.14.1; 4.2.1.152,-1,,-1
826,3,1,1.14.14.154,0,,-1
838,3,0,1.14.14.1; 1.6.2.4,-1,,-1
893,3,0,5.4.4.7,-1,,-1
962,3,0,1.14.14.154,-1,/,-1
986,3,1,1.14.14.154,0,,-1
1093,3,0,1.14.14.154,3,1.14.14.80,-1
1223,3,0,1.14.14.154,-1,/,-1
1263,3,0,1.14.14.154,-1,,-1
1307,3,0,1.14.14.154,-1,,-1
1308,3,0,1.14.14.154,3,1.14.14.58,-1
1309,3,0,,-1,,-1
1469,3,0,1.14.14.154,-1,,-1
1511,3,0,1.14.14.154,-1,,-1
1591,3,0,1.14.14.154,-1,,-1
266,4,0,,-1,,-1
303,4,0,1.11.2.4,1,1.-.-.-,-1
398,4,0,1.-.-.-,-1,,-1
838,4,0,1.14.14.1; 1.6.2.4,-1,,-1
862,4,0,1.14.14.1,-1,,-1
1471,4,0,1.11.2.4,-1,,-1
1481,4,0,1.11.2.4,-1,,-1
40,5,0,1.11.2.4,-1,/,-1
265,5,0,1.11.2.4,1,1.14.99.-,-1
287,5,0,1.11.2.4,-1,,-1
745,5,0,1.14.14.24,-1,,-1
868,5,0,1.11.2.4,1,1.14.15.22/1.14.-.-/1.14.-.-,-1
881,5,0,1.11.2.4,1,1.14.14.23,-1
921,5,0,1.14.14.-,-1,,-1
1326,5,0,1.11.2.4,-1,,-1
1610,5,0,1.11.2.4,-1,,-1
46,6,0,1.14.14.48,-1,,-1
458,6,0,1.14.14.154,-1,,-1
674,6,0,1.14.14.48,2,1.14.19.41,-1
678,6,0,/,-1,,-1
826,6,0,1.14.14.154,-1,,-1
838,6,0,1.14.14.1; 1.6.2.4,-1,,-1
1109,6,0,1.14.14.1,-1,,-1
1139,6,0,1.14.14.1,-1,,-1
1223,6,0,1.14.14.48,-1,/,-1
1378,6,0,,-1,,-1
255,7,0,1.6.2.4,-1,,-1
282,7,0,4.2.1.92,-1,,-1
340,7,0,1.14.14.-,-1,,-1
478,7,0,/,-1,,-1
660,7,0,,-1,,-1
779,7,0,1.14.15.1,-1,,-1
838,7,0,1.14.14.1; 1.6.2.4,-1,,-1
885,7,0,1.14.14.81,-1,,-1
1065,7,0,1.14.14.49,-1,/,-1
1376,7,1,1.14.14.49,0,,-1
1403,7,0,,-1,,-1
1594,7,0,,-1,,-1
24,8,1,1.14.14.1,0,,-1
36,8,0,1.14.14.1,-1,/,-1
46,8,0,1.14.14.56,-1,,-1
