Substrate Index,Enzyme Index,Label,Dock Index,positive_reactions
0,6,0,-1,-1
0,15,0,-1,-1
0,29,0,-1,-1
0,47,0,-1,-1
0,48,0,-1,-1
0,61,0,-1,-1
0,64,0,-1,-1
0,82,0,-1,-1
0,90,0,-1,-1
0,100,0,-1,-1
0,105,0,-1,-1
0,121,0,-1,-1
0,125,0,-1,-1
0,143,0,-1,-1
0,190,0,-1,-1
0,198,0,-1,-1
0,229,0,-1,-1
0,232,0,-1,-1
0,234,0,-1,-1
0,235,0,-1,-1
0,238,0,-1,-1
0,241,0,-1,-1
0,296,0,-1,-1
0,297,0,-1,-1
0,303,0,-1,-1
0,309,0,-1,-1
0,321,0,-1,-1
0,359,0,-1,-1
0,366,0,-1,-1
0,373,0,-1,-1
0,380,0,-1,-1
0,388,0,-1,-1
0,411,0,-1,-1
0,436,0,-1,-1
0,469,0,-1,-1
0,473,0,-1,-1
0,516,0,-1,-1
0,517,0,-1,-1
0,519,0,-1,-1
0,535,0,-1,-1
0,546,0,-1,-1
0,550,0,-1,-1
0,561,0,-1,-1
0,563,0,-1,-1
0,572,0,-1,-1
0,578,0,-1,-1
0,580,0,-1,-1
0,581,0,-1,-1
0,588,0,-1,-1
0,608,0,-1,-1
0,623,0,-1,-1
0,631,0,-1,-1
0,636,0,-1,-1
0,645,0,-1,-1
0,651,0,-1,-1
0,663,0,-1,-1
0,673,0,-1,-1
0,697,0,-1,-1
0,703,0,-1,-1
0,712,0,-1,-1
0,723,0,-1,-1
0,734,0,-1,-1
0,735,0,-1,-1
0,748,0,-1,-1
0,754,0,-1,-1
0,761,0,-1,-1
0,772,0,-1,-1
0,774,0,-1,-1
0,786,0,-1,-1
0,790,0,-1,-1
0,792,0,-1,-1
0,808,0,-1,-1
0,809,0,-1,-1
0,813,0,-1,-1
0,818,0,-1,-1
0,819,0,-1,-1
0,825,0,-1,-1
0,838,0,-1,-1
0,841,1,-1,0
0,842,1,-1,0
0,843,1,-1,0
0,847,0,-1,-1
0,850,0,-1,-1
0,854,1,-1,0
0,856,0,-1,-1
0,859,0,-1,-1
0,860,0,-1,-1
0,862,0,-1,-1
0,863,0,-1,-1
0,866,0,-1,-1
0,870,1,-1,0
0,871,1,-1,0
0,874,0,-1,-1
0,875,0,-1,-1
0,890,0,-1,-1
0,899,0,-1,-1
0,923,0,-1,-1
0,942,0,-1,-1
0,943,0,-1,-1
0,960,0,-1,-1
0,990,0,-1,-1
0,994,0,-1,-1
0,1011,0,-1,-1
0,1019,0,-1,-1
0,1030,0,-1,-1
0,1033,0,-1,-1
0,1039,0,-1,-1
0,1040,0,-1,-1
0,1062,0,-1,-1
0,1085,0,-1,-1
0,1094,0,-1,-1
0,1095,0,-1,-1
0,1099,0,-1,-1
0,1110,0,-1,-1
0,1112,0,-1,-1
0,1114,0,-1,-1
0,1125,0,-1,-1
0,1139,0,-1,-1
0,1154,0,-1,-1
0,1172,0,-1,-1
0,1181,0,-1,-1
0,1216,0,-1,-1
0,1223,0,-1,-1
0,1251,0,-1,-1
0,1259,0,-1,-1
0,1261,0,-1,-1
0,1268,0,-1,-1
0,1278,0,-1,-1
0,1282,0,-1,-1
0,1296,0,-1,-1
0,1309,0,-1,-1
0,1311,0,-1,-1
0,1322,0,-1,-1
0,1327,0,-1,-1
0,1336,0,-1,-1
0,1344,0,-1,-1
0,1346,0,-1,-1
0,1376,0,-1,-1
0,1392,0,-1,-1
0,1412,0,-1,-1
0,1414,0,-1,-1
0,1417,0,-1,-1
0,1420,0,-1,-1
0,1433,0,-1,-1
0,1435,0,-1,-1
0,1478,0,-1,-1
0,1481,0,-1,-1
0,1486,0,-1,-1
0,1500,0,-1,-1
0,1508,0,-1,-1
0,1526,0,-1,-1
0,1538,0,-1,-1
0,1542,0,-1,-1
0,1546,0,-1,-1
0,1555,0,-1,-1
0,1574,0,-1,-1
0,1611,0,-1,-1
1,1,0,-1,-1
1,4,0,-1,-1
1,8,0,-1,-1
1,9,0,-1,-1
1,12,0,-1,-1
1,14,0,-1,-1
1,18,0,-1,-1
1,19,0,-1,-1
1,21,0,-1,-1
1,26,0,-1,-1
1,30,0,-1,-1
1,31,0,-1,-1
1,42,0,-1,-1
1,51,0,-1,-1
1,53,0,-1,-1
1,55,0,-1,-1
1,56,0,-1,-1
1,63,0,-1,-1
1,69,0,-1,-1
1,73,0,-1,-1
1,76,0,-1,-1
1,78,0,-1,-1
1,80,0,-1,-1
1,83,0,-1,-1
1,85,0,-1,-1
1,100,0,-1,-1
1,102,0,-1,-1
1,108,0,-1,-1
1,114,0,-1,-1
1,115,0,-1,-1
1,125,0,-1,-1
1,133,0,-1,-1
1,135,0,-1,-1
1,140,0,-1,-1
1,142,0,-1,-1
1,143,0,-1,-1
1,152,0,-1,-1
1,154,0,-1,-1
1,156,0,-1,-1
1,161,0,-1,-1
1,165,0,-1,-1
1,167,0,-1,-1
1,176,0,-1,-1
1,180,0,-1,-1
1,188,0,-1,-1
1,196,0,-1,-1
1,199,0,-1,-1
1,210,0,-1,-1
1,214,0,-1,-1
1,219,0,-1,-1
1,222,0,-1,-1
1,223,0,-1,-1
1,235,0,-1,-1
1,247,0,-1,-1
1,258,0,-1,-1
1,264,0,-1,-1
1,270,0,-1,-1
1,272,0,-1,-1
1,295,0,-1,-1
1,296,0,-1,-1
1,298,0,-1,-1
1,305,0,-1,-1
1,310,0,-1,-1
1,313,0,-1,-1
1,316,0,-1,-1
1,320,0,-1,-1
1,343,0,-1,-1
1,355,0,-1,-1
1,364,0,-1,-1
1,365,0,-1,-1
1,369,0,-1,-1
1,370,0,-1,-1
1,377,0,-1,-1
1,385,0,-1,-1
1,389,0,-1,-1
1,391,0,-1,-1
1,400,0,-1,-1
1,403,0,-1,-1
1,415,0,-1,-1
1,419,0,-1,-1
1,430,0,-1,-1
1,450,0,-1,-1
1,451,0,-1,-1
1,472,0,-1,-1
1,487,0,-1,-1
1,492,0,-1,-1
1,498,0,-1,-1
1,513,0,-1,-1
1,520,0,-1,-1
1,522,0,-1,-1
1,523,0,-1,-1
1,524,0,-1,-1
1,526,0,-1,-1
1,531,0,-1,-1
1,533,0,-1,-1
1,552,0,-1,-1
1,553,0,-1,-1
1,560,0,-1,-1
1,577,0,-1,-1
1,579,0,-1,-1
1,584,0,-1,-1
1,592,0,-1,-1
1,595,0,-1,-1
1,597,0,-1,-1
1,598,1,-1,1
1,610,0,-1,-1
1,617,0,-1,-1
1,619,0,-1,-1
1,620,0,-1,-1
1,622,0,-1,-1
1,624,0,-1,-1
1,630,0,-1,-1
1,631,0,-1,-1
1,632,0,-1,-1
1,651,0,-1,-1
1,653,0,-1,-1
1,654,0,-1,-1
1,655,0,-1,-1
1,673,1,-1,1
1,675,1,-1,1
1,680,0,-1,-1
1,682,0,-1,-1
1,691,0,-1,-1
1,697,0,-1,-1
1,698,0,-1,-1
1,703,0,-1,-1
1,706,0,-1,-1
1,712,0,-1,-1
1,718,0,-1,-1
1,721,0,-1,-1
1,727,0,-1,-1
1,753,0,-1,-1
1,754,0,-1,-1
1,756,0,-1,-1
1,763,0,-1,-1
1,780,0,-1,-1
1,784,0,-1,-1
1,789,0,-1,-1
1,790,0,-1,-1
1,794,0,-1,-1
1,799,0,-1,-1
1,808,0,-1,-1
1,810,0,-1,-1
1,812,0,-1,-1
1,816,0,-1,-1
1,820,0,-1,-1
1,821,0,-1,-1
1,825,1,-1,1
1,826,1,-1,1
1,827,0,-1,-1
1,829,0,-1,-1
1,830,0,-1,-1
1,831,0,-1,-1
1,832,0,-1,-1
1,837,0,-1,-1
1,838,0,-1,-1
1,845,0,-1,-1
1,846,0,-1,-1
1,848,0,-1,-1
1,851,0,-1,-1
1,856,0,-1,-1
1,857,0,-1,-1
1,859,0,-1,-1
1,869,0,-1,-1
1,870,0,-1,-1
1,882,0,-1,-1
1,893,0,-1,-1
1,895,0,-1,-1
1,912,0,-1,-1
1,913,0,-1,-1
1,922,0,-1,-1
1,930,1,-1,1
1,932,0,-1,-1
1,933,0,-1,-1
1,934,0,-1,-1
1,936,0,-1,-1
1,939,0,-1,-1
1,942,0,-1,-1
1,946,0,-1,-1
1,947,0,-1,-1
1,948,0,-1,-1
1,949,1,-1,1
1,953,0,-1,-1
1,954,0,-1,-1
1,961,0,-1,-1
1,963,0,-1,-1
1,967,0,-1,-1
1,968,0,-1,-1
1,972,0,-1,-1
1,979,0,-1,-1
1,984,1,-1,1
1,986,1,-1,1
1,994,0,-1,-1
1,998,0,-1,-1
1,1010,0,-1,-1
1,1019,0,-1,-1
1,1022,0,-1,-1
1,1024,0,-1,-1
1,1036,0,-1,-1
1,1039,0,-1,-1
1,1042,0,-1,-1
1,1047,0,-1,-1
1,1048,0,-1,-1
1,1053,1,-1,1
1,1055,0,-1,-1
1,1059,0,-1,-1
1,1060,0,-1,-1
1,1063,0,-1,-1
1,1068,0,-1,-1
1,1071,0,-1,-1
1,1076,0,-1,-1
1,1086,0,-1,-1
1,1088,0,-1,-1
1,1099,0,-1,-1
1,1102,0,-1,-1
1,1105,0,-1,-1
1,1107,0,-1,-1
1,1109,0,-1,-1
1,1112,1,-1,1
1,1115,0,-1,-1
1,1118,0,-1,-1
1,1119,0,-1,-1
1,1124,0,-1,-1
1,1140,0,-1,-1
1,1143,0,-1,-1
1,1145,0,-1,-1
1,1152,0,-1,-1
1,1159,0,-1,-1
1,1170,0,-1,-1
1,1174,1,-1,1
1,1198,0,-1,-1
1,1202,1,-1,1
1,1210,0,-1,-1
1,1224,0,-1,-1
1,1230,0,-1,-1
1,1233,0,-1,-1
1,1237,0,-1,-1
1,1247,0,-1,-1
1,1249,0,-1,-1
1,1251,0,-1,-1
1,1278,0,-1,-1
1,1283,0,-1,-1
1,1286,0,-1,-1
1,1287,0,-1,-1
1,1292,0,-1,-1
1,1297,0,-1,-1
1,1299,0,-1,-1
1,1300,0,-1,-1
1,1301,0,-1,-1
1,1321,0,-1,-1
1,1333,1,-1,1
1,1339,0,-1,-1
1,1355,0,-1,-1
1,1356,0,-1,-1
1,1358,0,-1,-1
1,1362,0,-1,-1
1,1366,0,-1,-1
1,1377,0,-1,-1
1,1394,0,-1,-1
1,1403,0,-1,-1
1,1405,0,-1,-1
1,1411,0,-1,-1
1,1421,0,-1,-1
1,1423,0,-1,-1
1,1428,0,-1,-1
1,1432,0,-1,-1
1,1450,0,-1,-1
1,1452,0,-1,-1
1,1459,0,-1,-1
1,1461,0,-1,-1
1,1469,0,-1,-1
1,1486,0,-1,-1
1,1493,0,-1,-1
1,1498,0,-1,-1
1,1509,0,-1,-1
1,1518,0,-1,-1
1,1524,0,-1,-1
1,1537,0,-1,-1
1,1538,0,-1,-1
1,1551,0,-1,-1
1,1562,0,-1,-1
1,1564,0,-1,-1
1,1565,0,-1,-1
1,1576,0,-1,-1
1,1580,0,-1,-1
1,1592,0,-1,-1
1,1594,0,-1,-1
1,1616,0,-1,-1
1,1621,0,-1,-1
2,5,0,-1,-1
2,10,0,-1,-1
2,17,0,-1,-1
2,18,0,-1,-1
2,31,0,-1,-1
2,38,0,-1,-1
2,76,0,-1,-1
2,93,0,-1,-1
2,96,0,-1,-1
2,97,0,-1,-1
2,103,0,-1,-1
2,109,0,-1,-1
2,112,0,-1,-1
2,125,0,-1,-1
2,148,0,-1,-1
2,162,0,-1,-1
2,166,0,-1,-1
2,172,0,-1,-1
2,175,0,-1,-1
2,179,0,-1,-1
2,203,0,-1,-1
2,204,0,-1,-1
2,213,0,-1,-1
2,242,0,-1,-1
2,258,0,-1,-1
2,284,0,-1,-1
2,292,0,-1,-1
2,298,0,-1,-1
2,303,0,-1,-1
2,308,0,-1,-1
2,324,0,-1,-1
2,343,0,-1,-1
2,346,0,-1,-1
2,349,0,-1,-1
2,368,0,-1,-1
2,377,0,-1,-1
2,385,0,-1,-1
2,410,0,-1,-1
2,416,0,-1,-1
2,419,0,-1,-1
2,430,0,-1,-1
2,442,0,-1,-1
2,447,0,-1,-1
2,448,0,-1,-1
2,449,0,-1,-1
2,451,0,-1,-1
2,456,0,-1,-1
2,464,0,-1,-1
2,483,0,-1,-1
2,484,0,-1,-1
2,488,0,-1,-1
2,490,0,-1,-1
2,505,0,-1,-1
2,509,0,-1,-1
2,510,0,-1,-1
2,512,0,-1,-1
2,528,0,-1,-1
2,540,0,-1,-1
2,546,0,-1,-1
2,549,0,-1,-1
2,569,0,-1,-1
2,595,0,-1,-1
2,598,1,-1,2
2,599,0,-1,-1
2,612,0,-1,-1
2,620,0,-1,-1
2,627,0,-1,-1
2,645,0,-1,-1
2,667,0,-1,-1
2,672,0,-1,-1
2,673,1,-1,2
2,675,1,-1,2
